model,encoding,mse,mae,r2,f1
LSTM-AE,direct,0.665454,0.366688,0.334606,0.000000
LSTM-AE,latency,0.068830,0.095240,0.663907,0.000000
LSTM-AE,poisson,0.062399,0.077005,0.282319,0.000000
SNN-conv1d,direct,0.007121,0.047375,0.990478,0.043405
SNN-conv1d,latency,0.022552,0.050942,0.428650,0.018492
SNN-conv1d,poisson,0.050435,0.142870,-1.880192,0.241775
SNN-dense,direct,0.016256,0.060444,0.983744,0.041730
SNN-dense,latency,0.011831,0.035363,0.462472,0.024837
SNN-dense,poisson,0.069167,0.168469,-1.329125,0.259995
SNN-recurrent,direct,0.022536,0.034027,0.743849,0.010980
SNN-recurrent,latency,0.011620,0.032781,0.292333,0.016239
SNN-recurrent,poisson,0.061705,0.150998,-1.441851,0.248714
gru-ae,direct,0.670681,0.369372,0.329378,0.000000
gru-ae,latency,0.068903,0.104519,0.661281,0.000000
gru-ae,poisson,0.061720,0.074654,0.299632,0.000000
transformer-ae,direct,0.676538,0.365712,0.323521,0.000000
transformer-ae,latency,0.068652,0.099340,0.675895,0.000000
transformer-ae,poisson,0.056521,0.064407,0.425491,0.000000
