model encoding architecture v_th alpha mse mae r2 f1 spike_rate energy infer_ms train_ms param_count macs
gru-ae direct gru 0.000000 0.000000 0.6942 0.3930 0.3056 0.0000 0.0000 8893440.0000 2166.1313 598448.0500 93032.0000 889344.0000
gru-ae latency gru 0.000000 0.000000 0.0727 0.1103 0.6442 0.0000 0.0000 8893440.0000 3008.7250 924895.9125 93032.0000 889344.0000
gru-ae poisson gru 0.000000 0.000000 0.0612 0.0773 0.2659 0.0000 0.0000 8893440.0000 1497.6264 459706.0938 93032.0000 889344.0000
lstm-ae direct lstm 0.000000 0.000000 0.6707 0.3845 0.3291 0.0000 0.0000 11842560.0000 1444.9354 985762.9750 122472.0000 1184256.0000
lstm-ae latency lstm 0.000000 0.000000 0.0910 0.1188 0.5734 0.0000 0.0000 11842560.0000 1107.8006 471920.9813 122472.0000 1184256.0000
lstm-ae poisson lstm 0.000000 0.000000 0.0622 0.0754 0.2553 0.0000 0.0000 11842560.0000 1081.8204 461235.8281 122472.0000 1184256.0000
snn-ae direct conv1d 0.500000 0.800000 0.0764 0.1532 0.8972 0.4349 0.1430 379621.0000 23.8965 29625.0125 37286.0000 36864.0000
snn-ae direct conv1d 0.500000 0.900000 0.0651 0.1394 0.9123 0.3597 0.1064 376814.8000 14.3610 37362.9051 37286.0000 36864.0000
snn-ae direct conv1d 0.500000 0.990000 0.0677 0.1487 0.9088 0.3313 0.1160 377552.6000 24.5153 26020.8225 37286.0000 36864.0000
snn-ae direct conv1d 1.000000 0.800000 0.1171 0.1877 0.8424 0.6175 0.1829 382686.2000 26.1260 33618.4203 37286.0000 36864.0000
snn-ae direct conv1d 1.000000 0.900000 0.0818 0.1587 0.8899 0.4628 0.1450 379772.8000 32.0658 27428.8570 37286.0000 36864.0000
snn-ae direct conv1d 1.000000 0.990000 0.0628 0.1343 0.9155 0.3383 0.0968 376075.2000 39.9305 31713.6402 37286.0000 36864.0000
snn-ae direct conv1d 1.500000 0.800000 0.0993 0.1738 0.8664 0.6028 0.1796 382432.6000 65.9122 39070.0457 37286.0000 36864.0000
snn-ae direct conv1d 1.500000 0.900000 0.1021 0.1790 0.8626 0.5772 0.1684 381571.6000 67.7989 36126.4652 37286.0000 36864.0000
snn-ae direct conv1d 1.500000 0.990000 0.0651 0.1422 0.9124 0.3531 0.1072 376873.4000 14.1099 30155.8977 37286.0000 36864.0000
snn-ae direct dense 0.500000 0.800000 0.1025 0.1771 0.8975 0.4934 0.1269 378388.8000 34.8799 44648.6367 37286.0000 36864.0000
snn-ae direct dense 0.500000 0.900000 0.0824 0.1533 0.9176 0.4043 0.0846 375139.2000 22.7594 45906.8457 37286.0000 36864.0000
snn-ae direct dense 0.500000 0.990000 0.0814 0.1530 0.9186 0.3626 0.0713 374112.2000 13.8480 44511.2176 37286.0000 36864.0000
snn-ae direct dense 1.000000 0.800000 0.1193 0.1888 0.8807 0.5566 0.1447 379751.4000 22.0506 40686.3637 37286.0000 36864.0000
snn-ae direct dense 1.000000 0.900000 0.0913 0.1685 0.9087 0.4339 0.1132 377333.4000 13.0013 30086.9672 37286.0000 36864.0000
snn-ae direct dense 1.000000 0.990000 0.0821 0.1546 0.9180 0.3908 0.0823 374961.6000 12.9181 33729.6273 37286.0000 36864.0000
snn-ae direct dense 1.500000 0.800000 0.1218 0.1950 0.8782 0.5871 0.1612 381021.2000 11.8399 37196.2367 37286.0000 36864.0000
snn-ae direct dense 1.500000 0.900000 0.1142 0.1863 0.8858 0.5537 0.1405 379428.4000 29.0904 30589.8348 37286.0000 36864.0000
snn-ae direct dense 1.500000 0.990000 0.0857 0.1724 0.9143 0.3962 0.1016 376441.8000 13.4572 19024.1936 37286.0000 36864.0000
snn-ae direct recurrent 0.500000 0.800000 0.0398 0.0697 0.6222 0.1331 0.5452 410513.2000 1329.1311 168399.4039 37286.0000 36864.0000
