# model=snn-ae encoding=direct architecture=conv1d v_th=1 alpha=0.99 run=4
epoch train_loss val_loss
1 0.109185 0.011519
2 0.045178 0.006846
3 0.045185 0.008790
4 0.044996 0.010849
5 0.044647 0.007525
6 0.043173 0.006161
7 0.042120 0.012364
8 0.041628 0.007831
9 0.040925 0.005158
10 0.040101 0.006163
11 0.039609 0.004968
12 0.039868 0.007538
13 0.039123 0.006061
14 0.038934 0.004747
15 0.037955 0.006349
16 0.038403 0.004814
17 0.037869 0.005012
18 0.038120 0.004631
19 0.038244 0.004979
20 0.038137 0.004637
21 0.037636 0.006412
22 0.038024 0.004401
23 0.038652 0.006269
24 0.038582 0.004302
25 0.038528 0.004461
26 0.038787 0.004719
27 0.038464 0.004466
28 0.038348 0.004506
29 0.038236 0.005114
