# model=snn-ae encoding=direct architecture=conv1d v_th=1.5 alpha=0.8 run=2
epoch train_loss val_loss
1 0.121983 0.101387
2 0.054108 0.093575
3 0.053662 0.094751
4 0.052078 0.091486
5 0.049097 0.090139
6 0.047066 0.084542
7 0.045052 0.084022
8 0.042439 0.081301
9 0.041382 0.081764
10 0.040330 0.080466
11 0.039509 0.079266
12 0.039216 0.081157
13 0.038401 0.081109
14 0.038548 0.080669
15 0.037080 0.079394
16 0.037056 0.078739
17 0.037372 0.081400
18 0.037145 0.082669
19 0.036336 0.081047
20 0.036361 0.082928
21 0.035314 0.085548
