# model=snn-ae encoding=direct architecture=dense v_th=1 alpha=0.8 run=3
epoch train_loss val_loss
1 0.134611 0.025636
2 0.056117 0.014748
3 0.056022 0.016065
4 0.055726 0.020153
5 0.054644 0.025465
6 0.053443 0.018401
7 0.051410 0.014156
8 0.049797 0.018604
9 0.047576 0.018513
10 0.046131 0.015576
11 0.045017 0.014388
12 0.044514 0.013483
13 0.044164 0.014340
14 0.044337 0.012392
15 0.044460 0.012188
16 0.044506 0.015323
17 0.043862 0.012001
18 0.044393 0.013703
19 0.043752 0.014024
20 0.043567 0.011897
21 0.043304 0.011969
22 0.043402 0.012602
23 0.044415 0.011510
24 0.043704 0.011914
25 0.043223 0.013259
26 0.043799 0.011531
27 0.043221 0.011079
28 0.043669 0.012946
29 0.043286 0.011813
30 0.043056 0.011861
