# model=snn-ae encoding=direct architecture=dense v_th=1.5 alpha=0.99 run=1
epoch train_loss val_loss
1 0.135221 0.117538
2 0.062731 0.108379
3 0.061431 0.103262
4 0.059896 0.106120
5 0.059280 0.107132
6 0.058120 0.100944
7 0.056883 0.098769
8 0.056357 0.098325
9 0.056218 0.106070
10 0.055051 0.097492
11 0.055334 0.097131
12 0.053802 0.099451
13 0.054511 0.099538
14 0.054275 0.099046
15 0.054433 0.100865
16 0.053393 0.097111
17 0.053557 0.099061
18 0.053308 0.099300
19 0.053000 0.097741
20 0.053097 0.099648
21 0.052633 0.097460
