# model=snn-ae encoding=direct architecture=recurrent v_th=0.5 alpha=0.8 run=5
epoch train_loss val_loss
1 0.062827 0.006727
2 0.014427 0.002800
3 0.013322 0.001331
4 0.012429 0.001982
5 0.012211 0.001365
6 0.011969 0.002228
7 0.011891 0.001028
8 0.011782 0.001015
9 0.012008 0.001024
10 0.012105 0.001015
11 0.011895 0.001112
12 0.011832 0.000932
13 0.011766 0.000945
14 0.011601 0.000943
15 0.011625 0.000952
16 0.011611 0.000919
17 0.011542 0.001019
18 0.011604 0.000989
19 0.011547 0.000980
20 0.011587 0.001081
21 0.011570 0.000961
