# Batch convergence for: model=snn-ae encoding=direct architecture=recurrent v_th=1 alpha=0.9 run=1
batch_num epoch batch_loss
0 1 0.165006
1 1 0.506585
2 1 0.407256
3 1 0.383845
4 1 0.342946
5 1 0.295559
6 1 0.330978
7 1 0.363425
8 1 0.296966
9 1 0.228196
10 1 0.307126
11 1 0.251345
12 1 0.266173
13 1 0.297985
14 1 0.194820
15 1 0.454219
16 1 0.201289
17 1 0.194040
18 1 0.116948
19 1 0.161560
20 1 0.181086
21 1 0.154159
22 1 0.197405
23 1 0.208089
24 1 0.227950
25 1 0.132345
26 1 0.266616
27 1 0.151486
28 1 0.182535
29 1 0.133993
30 1 0.154337
31 1 0.120446
32 1 0.217274
33 1 0.185545
34 1 0.176100
35 1 0.112476
36 1 0.197171
37 1 0.172875
38 1 0.235919
39 1 0.107609
40 1 0.136569
41 1 0.110274
42 1 0.195605
43 1 0.174238
44 1 0.132422
45 1 0.139304
46 1 0.170594
47 1 0.182665
48 1 0.123130
49 1 0.121461
50 1 0.154737
51 1 0.132380
52 1 0.141903
53 1 0.106254
54 1 0.164465
55 1 0.138885
56 1 0.161981
57 1 0.131375
58 1 0.212257
59 1 0.136602
60 1 0.181427
61 1 0.180996
62 1 0.149912
63 1 0.155547
64 1 0.176736
65 1 0.160109
66 1 0.115188
67 1 0.172876
68 1 0.149807
69 1 0.101846
70 1 0.172295
71 1 0.132061
72 1 0.193606
73 1 0.154696
74 1 0.123509
75 1 0.088923
76 1 0.131938
77 1 0.105121
78 1 0.174338
79 1 0.108724
80 1 0.144897
81 1 0.137942
82 1 0.154579
83 1 0.110383
84 1 0.117831
85 1 0.159390
86 1 0.126450
87 1 0.139749
88 1 0.130903
89 1 0.165546
90 1 0.147393
91 1 0.092595
92 1 0.190788
93 1 0.137679
94 1 0.234847
95 1 0.139035
96 1 0.155649
97 1 0.106379
98 1 0.226276
99 1 0.195680
100 1 0.183687
101 1 0.155301
102 1 0.151442
103 1 0.102013
104 1 0.140417
105 1 0.156673
106 1 0.158924
107 1 0.161695
108 1 0.135608
109 1 0.100066
