# model=snn-ae encoding=direct architecture=recurrent v_th=1 alpha=0.99 run=2
epoch train_loss val_loss
1 0.043540 0.010036
2 0.004400 0.001663
3 0.003467 0.005553
4 0.003199 0.002731
5 0.002503 0.002072
6 0.002124 0.002179
7 0.002107 0.000627
8 0.001672 0.000601
9 0.001503 0.000567
10 0.001372 0.000953
11 0.001285 0.000175
12 0.001431 0.000152
13 0.001193 0.001045
14 0.001001 0.002127
15 0.001019 0.000091
16 0.001029 0.001535
17 0.001105 0.000190
18 0.001008 0.000882
19 0.001100 0.000457
20 0.001008 0.000065
21 0.001085 0.001128
22 0.001020 0.000151
23 0.000830 0.000059
24 0.000889 0.000083
25 0.000915 0.005073
26 0.001788 0.003536
27 0.001149 0.000141
28 0.000925 0.000368
