# model=snn-ae encoding=latency architecture=conv1d v_th=0.5 alpha=0.9 run=2
epoch train_loss val_loss
1 0.045869 0.020802
2 0.018461 0.022128
3 0.015963 0.047653
4 0.016417 0.043613
5 0.017024 0.015078
6 0.016337 0.023585
7 0.017341 0.023090
8 0.017102 0.016406
9 0.016760 0.013942
10 0.017398 0.013179
11 0.016993 0.010587
12 0.016710 0.015954
13 0.016663 0.009865
14 0.016491 0.010543
15 0.015945 0.008160
16 0.015763 0.007835
17 0.015541 0.008114
18 0.015777 0.007449
19 0.017021 0.011644
20 0.016676 0.012799
21 0.016367 0.007344
22 0.015887 0.007060
23 0.016175 0.006828
24 0.016552 0.007347
25 0.016646 0.008795
26 0.016068 0.008880
27 0.015614 0.006852
28 0.015565 0.006971
