# model=snn-ae encoding=latency architecture=conv1d v_th=1 alpha=0.8 run=1
epoch train_loss val_loss
1 0.049012 0.027976
2 0.018488 0.015257
3 0.013452 0.024317
4 0.012107 0.014506
5 0.011807 0.014139
6 0.011776 0.024455
7 0.011734 0.008842
8 0.011483 0.007717
9 0.011215 0.011061
10 0.011061 0.006951
11 0.011231 0.017287
12 0.011253 0.004824
13 0.011244 0.006247
14 0.011118 0.005010
15 0.011313 0.003300
16 0.011315 0.005746
17 0.010788 0.004653
18 0.010847 0.002677
19 0.011136 0.003091
20 0.011512 0.003357
21 0.011051 0.003517
22 0.010957 0.004276
23 0.010834 0.002934
