# Batch convergence for: model=snn-ae encoding=latency architecture=dense v_th=1 alpha=0.9 run=2
batch_num epoch batch_loss
0 1 0.345917
1 1 0.466683
2 1 0.007784
3 1 0.429012
4 1 0.404105
5 1 0.134437
6 1 0.046537
7 1 0.057321
8 1 0.202345
9 1 0.044898
10 1 0.372851
11 1 0.141839
12 1 0.231901
13 1 0.401330
14 1 0.019068
15 1 0.423809
16 1 0.148932
17 1 0.108093
18 1 0.030340
19 1 0.059180
20 1 0.110437
21 1 0.208643
22 1 0.162882
23 1 0.015049
24 1 0.387396
25 1 0.112880
26 1 0.043176
27 1 0.022408
28 1 0.147234
29 1 0.113230
30 1 0.279681
31 1 0.007503
32 1 0.018539
33 1 0.124903
34 1 0.204203
35 1 0.022193
36 1 0.014767
37 1 0.227944
38 1 0.133407
39 1 0.054830
40 1 0.044931
41 1 0.007423
42 1 0.074118
43 1 0.042305
44 1 0.007396
45 1 0.036616
46 1 0.071181
47 1 0.236069
48 1 0.090415
49 1 0.114918
50 1 0.029379
51 1 0.007332
52 1 0.060438
53 1 0.007313
54 1 0.017966
55 1 0.007293
56 1 0.007282
57 1 0.115122
58 1 0.260405
59 1 0.007252
60 1 0.159069
61 1 0.163266
62 1 0.078298
63 1 0.059407
64 1 0.028511
65 1 0.007200
66 1 0.032067
67 1 0.017673
68 1 0.157938
69 1 0.170965
70 1 0.082587
71 1 0.088750
72 1 0.329911
73 1 0.080279
74 1 0.007130
75 1 0.141829
76 1 0.091830
77 1 0.088835
78 1 0.010515
79 1 0.049381
80 1 0.007098
81 1 0.010478
82 1 0.116563
83 1 0.007076
84 1 0.007068
85 1 0.007059
86 1 0.035873
87 1 0.054006
88 1 0.007031
89 1 0.323630
90 1 0.203196
91 1 0.013723
92 1 0.106470
93 1 0.169978
94 1 0.043320
95 1 0.049178
96 1 0.134352
97 1 0.010287
98 1 0.016981
99 1 0.149316
100 1 0.248992
101 1 0.051770
102 1 0.037594
103 1 0.023663
104 1 0.151937
105 1 0.033561
106 1 0.044346
107 1 0.006952
108 1 0.127611
109 1 0.088479
110 1 0.038330
111 1 0.006937
112 1 0.006932
113 1 0.006926
114 1 0.033576
115 1 0.202009
116 1 0.045577
117 1 0.047040
118 1 0.374997
119 1 0.122690
120 1 0.169297
121 1 0.013283
122 1 0.047453
123 1 0.029784
124 1 0.029271
125 1 0.006886
126 1 0.010020
127 1 0.006877
128 1 0.006870
129 1 0.101659
130 1 0.060179
131 1 0.039732
132 1 0.009956
133 1 0.100459
134 1 0.060342
135 1 0.043674
136 1 0.006825
137 1 0.009901
138 1 0.006812
139 1 0.085125
140 1 0.028329
141 1 0.066427
142 1 0.083968
143 1 0.037315
144 1 0.209568
145 1 0.296366
146 1 0.006766
147 1 0.038825
148 1 0.009798
149 1 0.040172
150 1 0.158174
151 1 0.038847
152 1 0.028388
153 1 0.279450
154 1 0.032027
155 1 0.012804
156 1 0.006740
157 1 0.048963
158 1 0.028591
159 1 0.069135
160 1 0.168989
161 1 0.038419
162 1 0.035918
163 1 0.138014
164 1 0.113242
165 1 0.012662
166 1 0.009646
167 1 0.006718
168 1 0.009627
169 1 0.006709
170 1 0.079578
171 1 0.376619
172 1 0.009590
173 1 0.053237
174 1 0.238893
175 1 0.098676
176 1 0.127524
177 1 0.006709
178 1 0.071953
179 1 0.028876
180 1 0.055635
181 1 0.012491
182 1 0.040584
183 1 0.006717
184 1 0.009534
185 1 0.006712
186 1 0.012431
187 1 0.009504
188 1 0.047300
189 1 0.303336
190 1 0.045826
191 1 0.306760
192 1 0.323191
193 1 0.027672
194 1 0.024342
195 1 0.095567
196 1 0.009460
197 1 0.006716
198 1 0.044485
199 1 0.151485
200 1 0.117239
201 1 0.009575
202 1 0.033486
203 1 0.119693
204 1 0.009441
205 1 0.009437
206 1 0.050817
207 1 0.118201
208 1 0.055978
209 1 0.076511
210 1 0.053227
211 1 0.196440
212 1 0.219445
213 1 0.072137
214 1 0.030130
215 1 0.181622
216 1 0.006785
217 1 0.009417
218 1 0.009416
219 1 0.154226
220 1 0.119220
221 1 0.158721
222 1 0.352212
223 1 0.009424
224 1 0.213418
225 1 0.070414
226 1 0.225334
227 1 0.056881
228 1 0.449654
229 1 0.105567
230 1 0.183987
231 1 0.031448
232 1 0.143681
233 1 0.194584
234 1 0.097464
235 1 0.164069
236 1 0.053026
237 1 0.012316
238 1 0.009622
239 1 0.252195
240 1 0.015068
241 1 0.009647
242 1 0.094984
243 1 0.030257
244 1 0.015053
245 1 0.009660
246 1 0.139964
247 1 0.007198
248 1 0.118410
249 1 0.135775
250 1 0.035082
251 1 0.012296
252 1 0.059862
253 1 0.096036
254 1 0.065612
255 1 0.009639
256 1 0.097222
257 1 0.046061
258 1 0.035492
259 1 0.068010
260 1 0.039738
261 1 0.026139
262 1 0.156799
263 1 0.007232
264 1 0.083111
265 1 0.236184
266 1 0.144074
267 1 0.091014
268 1 0.029654
269 1 0.279946
270 1 0.009598
271 1 0.026020
272 1 0.007276
273 1 0.108288
274 1 0.020211
275 1 0.168404
276 1 0.119322
277 1 0.148885
278 1 0.020159
279 1 0.046726
280 1 0.012135
281 1 0.007337
282 1 0.093347
283 1 0.031706
284 1 0.037158
285 1 0.050264
286 1 0.051561
287 1 0.201632
288 1 0.032968
289 1 0.007346
290 1 0.007344
291 1 0.063105
292 1 0.014574
293 1 0.032518
294 1 0.083457
295 1 0.068895
296 1 0.007314
297 1 0.044028
298 1 0.053081
299 1 0.007294
300 1 0.022447
301 1 0.007279
302 1 0.233016
303 1 0.160894
304 1 0.011881
305 1 0.007271
306 1 0.052982
307 1 0.024517
308 1 0.044375
309 1 0.323177
310 1 0.070083
311 1 0.097016
312 1 0.023054
313 1 0.110497
314 1 0.074735
315 1 0.110354
316 1 0.093444
317 1 0.052601
318 1 0.085639
319 1 0.064661
320 1 0.030889
321 1 0.081957
322 1 0.090539
323 1 0.031559
324 1 0.007315
325 1 0.007316
326 1 0.116367
327 1 0.038598
328 1 0.009407
329 1 0.102409
330 1 0.294669
331 1 0.007313
332 1 0.160889
333 1 0.016671
334 1 0.009391
335 1 0.007315
336 1 0.213700
337 1 0.007311
338 1 0.036297
339 1 0.095979
340 1 0.009361
341 1 0.121009
342 1 0.067400
343 1 0.062942
344 1 0.055426
345 1 0.216962
346 1 0.021728
347 1 0.042910
348 1 0.030286
349 1 0.016485
350 1 0.023613
351 1 0.125399
352 1 0.007310
353 1 0.020324
354 1 0.013929
355 1 0.064869
356 1 0.013982
357 1 0.092127
358 1 0.120091
359 1 0.007274
360 1 0.065005
361 1 0.007270
362 1 0.101941
363 1 0.036320
364 1 0.007265
365 1 0.030139
366 1 0.007254
367 1 0.097420
368 1 0.028876
369 1 0.011403
370 1 0.128626
371 1 0.205290
372 1 0.038114
373 1 0.089499
374 1 0.199949
375 1 0.009175
376 1 0.007239
377 1 0.033101
378 1 0.066456
379 1 0.013708
