# model=snn-ae encoding=latency architecture=dense v_th=1 alpha=0.99 run=2
epoch train_loss val_loss
1 0.057006 0.059994
2 0.023474 0.059767
3 0.022791 0.056212
4 0.025613 0.070352
5 0.025458 0.054477
6 0.027388 0.051780
7 0.028469 0.040252
8 0.027821 0.039973
9 0.027094 0.040923
10 0.027272 0.038669
11 0.026573 0.040409
12 0.027084 0.040062
13 0.027319 0.040069
14 0.027049 0.037912
15 0.026567 0.035686
16 0.026027 0.039282
17 0.025629 0.036145
18 0.025565 0.039707
19 0.026042 0.041292
20 0.025984 0.038142
