# model=snn-ae encoding=latency architecture=dense v_th=1.5 alpha=0.99 run=4
epoch train_loss val_loss
1 0.056252 0.101596
2 0.024942 0.086117
3 0.024731 0.050335
4 0.025910 0.043188
5 0.025649 0.048695
6 0.026881 0.051092
7 0.027482 0.041616
8 0.025312 0.049850
9 0.025689 0.044451
10 0.026253 0.040740
11 0.025970 0.041298
12 0.026309 0.042775
13 0.026336 0.039746
14 0.026105 0.038519
15 0.026827 0.037081
16 0.027293 0.042329
17 0.026365 0.041621
18 0.025434 0.040242
19 0.025660 0.041893
20 0.026038 0.039449
