# Batch convergence for: model=snn-ae encoding=latency architecture=recurrent v_th=1 alpha=0.8 run=2
batch_num epoch batch_loss
0 1 0.195312
1 1 0.201689
2 1 0.007804
3 1 0.306881
4 1 0.094339
5 1 0.175838
6 1 0.136164
7 1 0.048915
8 1 0.047137
9 1 0.168239
10 1 0.454682
11 1 0.100193
12 1 0.007698
13 1 0.266993
14 1 0.015325
15 1 0.514757
16 1 0.038264
17 1 0.019031
18 1 0.022852
19 1 0.007615
20 1 0.080307
21 1 0.355046
22 1 0.037979
23 1 0.011320
24 1 0.365029
25 1 0.157738
26 1 0.030165
27 1 0.011255
28 1 0.018757
29 1 0.030170
30 1 0.014948
31 1 0.033834
32 1 0.014939
33 1 0.063978
34 1 0.316749
35 1 0.014825
36 1 0.018479
37 1 0.300466
38 1 0.029633
39 1 0.014793
40 1 0.011039
41 1 0.007391
42 1 0.088284
43 1 0.018280
44 1 0.007357
45 1 0.010955
46 1 0.010938
47 1 0.152180
48 1 0.014567
49 1 0.018291
50 1 0.014574
51 1 0.007275
52 1 0.007273
53 1 0.010816
54 1 0.014494
55 1 0.007228
56 1 0.007215
57 1 0.066829
58 1 0.018104
59 1 0.007178
60 1 0.119154
61 1 0.071386
62 1 0.134081
63 1 0.014312
64 1 0.021517
65 1 0.007149
66 1 0.025125
67 1 0.014227
68 1 0.049607
69 1 0.084096
70 1 0.053767
71 1 0.024954
72 1 0.228141
73 1 0.017688
74 1 0.007019
75 1 0.014045
76 1 0.058080
77 1 0.050646
78 1 0.007021
79 1 0.067451
80 1 0.006965
81 1 0.006991
82 1 0.010377
83 1 0.006972
84 1 0.042831
85 1 0.010339
86 1 0.010325
87 1 0.031688
88 1 0.017213
89 1 0.238767
90 1 0.024306
91 1 0.031776
92 1 0.061050
93 1 0.054261
94 1 0.006869
95 1 0.039038
96 1 0.064702
97 1 0.006844
98 1 0.006799
99 1 0.087504
100 1 0.017049
101 1 0.020534
102 1 0.027611
103 1 0.016978
104 1 0.105703
105 1 0.006742
106 1 0.034512
107 1 0.006726
108 1 0.191875
109 1 0.010012
110 1 0.006700
111 1 0.006690
112 1 0.006735
113 1 0.016771
114 1 0.027062
115 1 0.059905
116 1 0.023490
117 1 0.009907
118 1 0.211332
119 1 0.059774
120 1 0.253077
121 1 0.006670
122 1 0.016581
123 1 0.023279
124 1 0.006593
125 1 0.006587
126 1 0.009812
127 1 0.006571
128 1 0.006562
129 1 0.006616
130 1 0.016290
131 1 0.030371
132 1 0.009737
133 1 0.044134
134 1 0.088085
135 1 0.051710
136 1 0.026735
137 1 0.006556
138 1 0.006470
139 1 0.072118
140 1 0.006454
141 1 0.067929
142 1 0.047682
143 1 0.012799
144 1 0.279096
145 1 0.251667
146 1 0.006412
147 1 0.009568
148 1 0.006499
149 1 0.009549
150 1 0.029740
151 1 0.029704
152 1 0.032949
153 1 0.315853
154 1 0.025880
155 1 0.009483
156 1 0.056122
157 1 0.016004
158 1 0.022342
159 1 0.025701
160 1 0.012577
161 1 0.029312
162 1 0.035547
163 1 0.048712
164 1 0.123774
165 1 0.006445
166 1 0.006440
167 1 0.006298
168 1 0.006428
169 1 0.006289
170 1 0.081223
171 1 0.276902
172 1 0.006405
173 1 0.029189
174 1 0.337796
175 1 0.025171
176 1 0.081793
177 1 0.042966
178 1 0.040244
179 1 0.009265
180 1 0.036785
181 1 0.018712
182 1 0.051721
183 1 0.006248
184 1 0.012265
185 1 0.038294
186 1 0.009189
187 1 0.006220
188 1 0.035533
189 1 0.384559
190 1 0.061048
191 1 0.271784
192 1 0.361880
193 1 0.021680
194 1 0.018432
195 1 0.059598
196 1 0.012535
197 1 0.006194
198 1 0.205684
199 1 0.182418
200 1 0.056628
201 1 0.012062
202 1 0.012052
203 1 0.112004
204 1 0.006339
205 1 0.014879
206 1 0.009057
207 1 0.035569
208 1 0.009175
209 1 0.038078
210 1 0.014796
211 1 0.036126
212 1 0.178087
213 1 0.058042
214 1 0.011954
215 1 0.224881
216 1 0.015484
217 1 0.006308
218 1 0.006306
219 1 0.120421
220 1 0.034186
221 1 0.140968
222 1 0.296738
223 1 0.006304
224 1 0.122982
225 1 0.052472
226 1 0.139500
227 1 0.020829
228 1 0.359746
229 1 0.080548
230 1 0.294620
231 1 0.006194
232 1 0.062131
233 1 0.172984
234 1 0.066458
235 1 0.071334
236 1 0.017754
237 1 0.008960
238 1 0.006402
239 1 0.267080
240 1 0.011764
241 1 0.006423
242 1 0.067178
243 1 0.014895
244 1 0.006435
245 1 0.006436
246 1 0.048662
247 1 0.035553
248 1 0.085343
249 1 0.196585
250 1 0.011710
251 1 0.014803
252 1 0.008955
253 1 0.036712
254 1 0.042865
255 1 0.006423
256 1 0.039652
257 1 0.040060
258 1 0.033689
259 1 0.122276
260 1 0.008913
261 1 0.008906
262 1 0.086579
263 1 0.006282
264 1 0.064003
265 1 0.230716
266 1 0.067921
267 1 0.033705
268 1 0.006274
269 1 0.279421
270 1 0.006395
271 1 0.019987
272 1 0.033589
273 1 0.048897
274 1 0.033927
275 1 0.164850
276 1 0.165699
277 1 0.024950
278 1 0.014443
279 1 0.011439
280 1 0.008832
281 1 0.006399
282 1 0.045880
283 1 0.014367
284 1 0.006391
285 1 0.020106
286 1 0.014314
287 1 0.136425
288 1 0.023205
289 1 0.006284
290 1 0.006281
291 1 0.072473
292 1 0.011281
293 1 0.046853
294 1 0.033148
295 1 0.020974
296 1 0.006254
297 1 0.049495
298 1 0.036239
299 1 0.006236
300 1 0.016850
301 1 0.008686
302 1 0.218562
303 1 0.247997
304 1 0.008664
305 1 0.006209
306 1 0.028556
307 1 0.013562
308 1 0.008637
309 1 0.302000
310 1 0.008623
311 1 0.035834
312 1 0.006297
313 1 0.093394
314 1 0.013992
315 1 0.075784
316 1 0.157590
317 1 0.057057
318 1 0.062717
319 1 0.045010
320 1 0.058182
321 1 0.165781
322 1 0.056602
323 1 0.023413
324 1 0.006186
325 1 0.042753
326 1 0.035911
327 1 0.048775
328 1 0.006285
329 1 0.041566
330 1 0.244972
331 1 0.028224
332 1 0.137664
333 1 0.059222
334 1 0.080269
335 1 0.006158
336 1 0.229778
337 1 0.018832
338 1 0.087976
339 1 0.046070
340 1 0.008464
341 1 0.101117
342 1 0.034537
343 1 0.006277
344 1 0.016273
345 1 0.173517
346 1 0.016243
347 1 0.045179
348 1 0.006288
349 1 0.043620
350 1 0.006289
351 1 0.030306
352 1 0.006159
353 1 0.006156
354 1 0.010747
355 1 0.034194
356 1 0.010672
357 1 0.079965
358 1 0.086377
359 1 0.078200
360 1 0.099214
361 1 0.010678
362 1 0.064535
363 1 0.013737
364 1 0.027571
365 1 0.006250
366 1 0.006115
367 1 0.250888
368 1 0.006237
369 1 0.008329
370 1 0.142809
371 1 0.304433
372 1 0.018284
373 1 0.137106
374 1 0.167469
375 1 0.006231
376 1 0.008320
377 1 0.024553
378 1 0.083206
379 1 0.010578
380 1 0.291898
381 1 0.043728
382 1 0.013438
383 1 0.010571
384 1 0.092946
385 1 0.089412
386 1 0.008315
387 1 0.006267
388 1 0.064406
389 1 0.092499
390 1 0.006140
391 1 0.105418
392 1 0.103920
393 1 0.006276
394 1 0.158312
395 1 0.033610
396 1 0.006145
397 1 0.015689
398 1 0.097957
399 1 0.049657
400 1 0.036699
401 1 0.214610
402 1 0.058565
403 1 0.013332
404 1 0.024065
405 1 0.209550
406 1 0.305327
407 1 0.206282
408 1 0.011315
409 1 0.051450
410 1 0.082229
411 1 0.006176
412 1 0.008262
413 1 0.013324
414 1 0.237489
415 1 0.056026
416 1 0.017685
417 1 0.044893
418 1 0.045833
419 1 0.006213
420 1 0.040554
421 1 0.091965
422 1 0.057622
423 1 0.172643
424 1 0.038994
425 1 0.053377
426 1 0.008239
427 1 0.017766
428 1 0.031539
429 1 0.063941
430 1 0.122040
431 1 0.146191
432 1 0.017687
433 1 0.006419
434 1 0.006417
435 1 0.038081
436 1 0.134526
437 1 0.019845
438 1 0.008197
439 1 0.012216
440 1 0.054827
441 1 0.031256
442 1 0.039563
443 1 0.023454
444 1 0.035240
445 1 0.008152
446 1 0.012098
447 1 0.031135
448 1 0.090249
449 1 0.006164
450 1 0.008106
451 1 0.006359
452 1 0.013035
453 1 0.088101
454 1 0.034955
455 1 0.207346
456 1 0.006336
457 1 0.020628
458 1 0.006330
459 1 0.006324
460 1 0.006110
461 1 0.012824
462 1 0.010135
463 1 0.008011
464 1 0.050785
465 1 0.007991
466 1 0.019287
467 1 0.026603
468 1 0.098526
469 1 0.017055
470 1 0.053582
471 1 0.202550
472 1 0.066747
473 1 0.006245
474 1 0.051306
475 1 0.090248
476 1 0.006238
477 1 0.063752
478 1 0.006002
479 1 0.022858
480 1 0.020448
481 1 0.076149
482 1 0.129911
483 1 0.011595
484 1 0.033836
485 1 0.039268
486 1 0.008327
487 1 0.109621
488 1 0.124750
489 1 0.006215
490 1 0.076101
491 1 0.014578
492 1 0.179087
493 1 0.065280
494 1 0.009889
495 1 0.020448
496 1 0.014529
497 1 0.009871
498 1 0.061310
499 1 0.012397
500 1 0.022314
501 1 0.070581
502 1 0.016688
503 1 0.029755
504 1 0.005973
505 1 0.016631
506 1 0.147801
507 1 0.104633
508 1 0.005964
509 1 0.092078
510 1 0.009749
511 1 0.012391
512 1 0.012494
513 1 0.005946
514 1 0.095011
515 1 0.107232
516 1 0.033438
517 1 0.170572
518 1 0.080894
519 1 0.096395
520 1 0.075284
521 1 0.029015
522 1 0.006215
523 1 0.012408
524 1 0.006213
525 1 0.086474
526 1 0.078761
527 1 0.079608
528 1 0.005930
529 1 0.006212
530 1 0.014138
531 1 0.119329
532 1 0.224145
533 1 0.099074
534 1 0.137764
535 1 0.049289
536 1 0.033748
537 1 0.046284
538 1 0.140948
539 1 0.249013
540 1 0.146779
541 1 0.006233
542 1 0.171453
543 1 0.005949
544 1 0.014049
545 1 0.005950
546 1 0.006239
547 1 0.140778
548 1 0.030838
549 1 0.006238
550 1 0.005943
551 1 0.072758
552 1 0.046343
553 1 0.109424
554 1 0.171852
555 1 0.007675
556 1 0.005936
557 1 0.052912
558 1 0.009649
559 1 0.019338
560 1 0.025364
561 1 0.069259
562 1 0.006235
563 1 0.013937
564 1 0.079969
565 1 0.011062
566 1 0.098867
567 1 0.192570
568 1 0.051343
569 1 0.006208
570 1 0.019720
571 1 0.292755
572 1 0.006188
573 1 0.005851
574 1 0.054673
575 1 0.308443
576 1 0.019696
577 1 0.112959
578 1 0.100212
579 1 0.007532
580 1 0.006161
581 1 0.079199
582 1 0.134548
583 1 0.058205
584 1 0.033144
585 1 0.012198
586 1 0.111918
587 1 0.158719
588 1 0.019505
589 1 0.005809
590 1 0.076003
591 1 0.006136
592 1 0.006133
593 1 0.007460
594 1 0.130164
595 1 0.043356
596 1 0.024955
597 1 0.013679
598 1 0.009314
599 1 0.009100
600 1 0.088046
601 1 0.022993
602 1 0.006111
603 1 0.129326
604 1 0.042469
605 1 0.006106
606 1 0.026071
607 1 0.028355
608 1 0.038944
609 1 0.093393
610 1 0.048095
611 1 0.018465
612 1 0.133318
613 1 0.006095
614 1 0.014519
615 1 0.057709
616 1 0.195275
617 1 0.042467
618 1 0.212410
619 1 0.034627
620 1 0.141517
621 1 0.006115
622 1 0.029373
623 1 0.007407
624 1 0.012023
625 1 0.121404
626 1 0.065779
627 1 0.007398
628 1 0.005804
629 1 0.018609
630 1 0.041362
631 1 0.128143
632 1 0.023997
633 1 0.009224
634 1 0.039387
635 1 0.006131
636 1 0.011979
637 1 0.011971
638 1 0.007351
639 1 0.043986
640 1 0.035992
641 1 0.080655
642 1 0.165320
643 1 0.062861
644 1 0.094699
645 1 0.009716
646 1 0.006113
647 1 0.019281
648 1 0.017178
649 1 0.132488
650 1 0.007300
651 1 0.188317
652 1 0.122534
653 1 0.028770
654 1 0.005765
655 1 0.060641
656 1 0.151226
657 1 0.011772
658 1 0.007259
659 1 0.029638
660 1 0.006083
661 1 0.005743
662 1 0.091512
663 1 0.005734
664 1 0.012121
665 1 0.005724
666 1 0.048071
667 1 0.007199
668 1 0.030191
669 1 0.006047
670 1 0.074054
671 1 0.158117
672 1 0.027620
673 1 0.006031
674 1 0.007151
675 1 0.005670
676 1 0.007130
677 1 0.074782
678 1 0.028570
679 1 0.109318
680 1 0.023693
681 1 0.005995
682 1 0.185676
683 1 0.008973
684 1 0.005612
685 1 0.010141
686 1 0.028459
687 1 0.005968
688 1 0.007042
689 1 0.079415
690 1 0.078465
691 1 0.051744
692 1 0.142545
693 1 0.008906
694 1 0.029762
695 1 0.020869
696 1 0.010040
697 1 0.059776
698 1 0.014762
699 1 0.005515
700 1 0.005915
701 1 0.194695
702 1 0.077851
703 1 0.020793
704 1 0.005903
705 1 0.006937
706 1 0.030701
707 1 0.015207
708 1 0.006923
709 1 0.005891
710 1 0.017296
711 1 0.028118
712 1 0.034050
713 1 0.012148
714 1 0.006881
715 1 0.012900
716 1 0.021217
717 1 0.084176
718 1 0.075470
719 1 0.005427
720 1 0.126832
721 1 0.050098
722 1 0.011552
723 1 0.005856
724 1 0.035236
725 1 0.043799
726 1 0.037656
727 1 0.084277
728 1 0.115818
729 1 0.054684
730 1 0.037681
731 1 0.183990
732 1 0.078004
733 1 0.037159
734 1 0.005858
735 1 0.061915
736 1 0.128628
737 1 0.005865
738 1 0.214031
739 1 0.022672
740 1 0.075846
741 1 0.266669
742 1 0.005451
743 1 0.005453
744 1 0.176612
745 1 0.109183
746 1 0.101199
747 1 0.048557
748 1 0.005883
749 1 0.048387
750 1 0.005473
751 1 0.005887
752 1 0.073050
753 1 0.006885
754 1 0.116793
755 1 0.045850
756 1 0.014816
757 1 0.005882
758 1 0.056294
759 1 0.043234
760 1 0.009717
761 1 0.052643
762 1 0.108374
763 1 0.015114
764 1 0.012855
765 1 0.005478
766 1 0.015097
767 1 0.006893
768 1 0.036446
769 1 0.163168
770 1 0.024608
771 1 0.005462
772 1 0.031810
773 1 0.009616
774 1 0.110277
775 1 0.005854
776 1 0.005455
777 1 0.186806
778 1 0.028715
779 1 0.027273
780 1 0.008570
781 1 0.086416
782 1 0.190657
783 1 0.011436
784 1 0.005849
785 1 0.019609
786 1 0.005842
787 1 0.024310
788 1 0.185052
789 1 0.172268
790 1 0.107252
791 1 0.186370
792 1 0.006828
793 1 0.050775
794 1 0.005421
795 1 0.132557
796 1 0.065834
797 1 0.024891
798 1 0.034779
799 1 0.014035
800 1 0.008453
801 1 0.060992
802 1 0.105308
803 1 0.008441
804 1 0.068549
805 1 0.005816
806 1 0.005404
807 1 0.022361
808 1 0.090980
809 1 0.005810
810 1 0.137729
811 1 0.158558
812 1 0.070584
813 1 0.005799
814 1 0.006773
815 1 0.005376
816 1 0.195161
817 1 0.040057
818 1 0.005775
819 1 0.005354
820 1 0.015879
821 1 0.022997
822 1 0.006737
823 1 0.006216
824 1 0.071033
825 1 0.115549
826 1 0.052929
827 1 0.005745
828 1 0.018802
829 1 0.005305
830 1 0.013441
831 1 0.005730
832 1 0.011231
833 1 0.036648
834 1 0.005714
835 1 0.054459
836 1 0.029486
837 1 0.065440
838 1 0.011194
839 1 0.005690
840 1 0.005258
841 1 0.043612
842 1 0.039222
843 1 0.115024
844 1 0.108578
845 1 0.088362
846 1 0.066496
847 1 0.005659
848 1 0.071881
849 1 0.006636
850 1 0.013119
851 1 0.152187
852 1 0.052031
853 1 0.046108
854 1 0.112084
855 1 0.011822
856 1 0.005233
857 1 0.038003
858 1 0.005639
859 1 0.066904
860 1 0.005634
861 1 0.008091
862 1 0.022025
863 1 0.095881
864 1 0.037109
865 1 0.015674
866 1 0.021839
867 1 0.025916
868 1 0.054361
869 1 0.006592
870 1 0.005606
871 1 0.020584
872 1 0.008029
873 1 0.024210
874 1 0.054607
875 1 0.010992
876 1 0.005186
877 1 0.026861
878 1 0.047000
879 1 0.201087
880 1 0.024999
881 1 0.132002
882 1 0.005159
883 1 0.124735
884 1 0.110918
885 1 0.133661
886 1 0.011779
887 1 0.014023
888 1 0.010959
889 1 0.007909
890 1 0.062096
891 1 0.025863
892 1 0.035568
893 1 0.071973
894 1 0.013963
895 1 0.012237
896 1 0.007860
897 1 0.019841
898 1 0.021415
899 1 0.021057
900 1 0.018046
901 1 0.010867
902 1 0.157988
903 1 0.022402
904 1 0.127110
905 1 0.056110
906 1 0.005103
907 1 0.008897
908 1 0.005528
909 1 0.010900
910 1 0.045944
911 1 0.031595
912 1 0.017721
913 1 0.037906
914 1 0.022728
915 1 0.096219
916 1 0.120741
917 1 0.007703
918 1 0.006407
919 1 0.021751
920 1 0.021964
921 1 0.077181
922 1 0.006389
923 1 0.021002
924 1 0.042492
925 1 0.080678
926 1 0.044161
927 1 0.163601
928 1 0.144391
929 1 0.024503
930 1 0.011714
931 1 0.005081
932 1 0.050864
933 1 0.031896
934 1 0.016005
935 1 0.010601
936 1 0.127438
937 1 0.134202
938 1 0.021830
939 1 0.018307
940 1 0.024835
941 1 0.054136
942 1 0.081877
943 1 0.187885
944 1 0.080206
945 1 0.019703
946 1 0.017728
947 1 0.006375
948 1 0.005116
949 1 0.014129
950 1 0.031994
951 1 0.015100
952 1 0.005472
953 1 0.019623
954 1 0.021557
955 1 0.006359
956 1 0.045125
957 1 0.005473
958 1 0.080053
959 1 0.149613
960 1 0.008669
961 1 0.054251
962 1 0.010394
963 1 0.005463
964 1 0.008890
965 1 0.006340
966 1 0.021251
967 1 0.040736
968 1 0.010345
969 1 0.005117
970 1 0.031374
971 1 0.015018
972 1 0.026321
973 1 0.034855
974 1 0.062152
975 1 0.127518
976 1 0.018018
977 1 0.145715
978 1 0.005422
979 1 0.053500
980 1 0.079073
981 1 0.008615
982 1 0.010739
983 1 0.144564
984 1 0.017270
985 1 0.005409
986 1 0.010237
987 1 0.024414
988 1 0.005399
989 1 0.005125
990 1 0.005388
991 1 0.032634
992 1 0.013314
993 1 0.010842
994 1 0.075766
995 1 0.017394
996 1 0.019890
997 1 0.029284
998 1 0.006310
999 1 0.005107
1000 1 0.042047
1001 1 0.018644
1002 1 0.006296
