# model=snn-ae encoding=latency architecture=recurrent v_th=1 alpha=0.9 run=3
epoch train_loss val_loss
1 0.043692 0.089348
2 0.020737 0.068302
3 0.016180 0.054061
4 0.015473 0.044726
5 0.014824 0.047233
6 0.014887 0.043432
7 0.014759 0.042540
8 0.014721 0.044267
9 0.014894 0.043306
10 0.014654 0.045456
11 0.014483 0.043786
12 0.014871 0.038272
13 0.014799 0.038819
14 0.014611 0.039768
15 0.014788 0.038466
16 0.014663 0.037802
17 0.014632 0.039919
18 0.014223 0.038331
19 0.014008 0.038816
20 0.014055 0.039029
21 0.014237 0.037484
22 0.014211 0.039081
23 0.014195 0.037968
24 0.014266 0.036870
25 0.014369 0.037187
26 0.014345 0.036775
27 0.014237 0.037002
28 0.014232 0.037088
29 0.014027 0.037103
30 0.013852 0.036059
