# model=snn-ae encoding=latency architecture=recurrent v_th=1.5 alpha=0.8 run=1
epoch train_loss val_loss
1 0.034495 0.070728
2 0.025341 0.039515
3 0.016822 0.028597
4 0.013708 0.022068
5 0.012108 0.020984
6 0.011637 0.021149
7 0.011172 0.020978
8 0.010805 0.020785
9 0.010951 0.020405
10 0.010946 0.022536
11 0.010516 0.019890
12 0.010800 0.019205
13 0.010247 0.020375
14 0.010707 0.019402
15 0.010504 0.020563
16 0.010711 0.018836
17 0.010466 0.019531
18 0.010528 0.019103
19 0.010438 0.018940
20 0.010400 0.019371
21 0.010251 0.019582
