# model=snn-ae encoding=poisson architecture=conv1d v_th=1 alpha=0.9 run=3
epoch train_loss val_loss
1 0.022695 0.010202
2 0.006862 0.006860
3 0.005462 0.005904
4 0.004877 0.005738
5 0.004449 0.004988
6 0.004177 0.004805
7 0.003743 0.004468
8 0.003588 0.004465
9 0.003461 0.004354
10 0.003333 0.004382
11 0.003289 0.004331
12 0.003351 0.004221
13 0.003346 0.004290
14 0.003277 0.004260
15 0.003457 0.004203
16 0.003278 0.004280
17 0.003355 0.004389
18 0.003310 0.004289
19 0.003459 0.004538
20 0.003552 0.004633
