# model=snn-ae encoding=poisson architecture=conv1d v_th=1.5 alpha=0.8 run=2
epoch train_loss val_loss
1 0.019414 0.007051
2 0.006386 0.003548
3 0.005599 0.003382
4 0.004723 0.003569
5 0.004519 0.003126
6 0.003923 0.002206
7 0.003615 0.002061
8 0.003374 0.001880
9 0.003225 0.002317
10 0.002928 0.001598
11 0.002809 0.001723
12 0.002635 0.001572
13 0.002616 0.001503
14 0.002572 0.001403
15 0.002512 0.001400
16 0.002582 0.001198
17 0.002551 0.001384
18 0.002543 0.001431
19 0.002576 0.001369
20 0.002520 0.001405
21 0.002587 0.001255
