# Batch convergence for: model=snn-ae encoding=poisson architecture=conv1d v_th=1.5 alpha=0.99 run=5
batch_num epoch batch_loss
0 1 0.013672
1 1 0.021436
2 1 0.011158
3 1 0.136561
4 1 0.052557
5 1 0.114079
6 1 0.090394
7 1 0.190618
8 1 0.192542
9 1 0.142330
10 1 0.052417
11 1 0.071151
12 1 0.089851
13 1 0.155338
14 1 0.214834
15 1 0.147040
16 1 0.012170
17 1 0.074365
18 1 0.044316
19 1 0.174750
20 1 0.107262
21 1 0.131253
22 1 0.135731
23 1 0.026486
24 1 0.005553
25 1 0.007258
26 1 0.112142
27 1 0.020242
28 1 0.108693
29 1 0.170926
30 1 0.109376
31 1 0.009558
32 1 0.083059
33 1 0.040765
34 1 0.013162
35 1 0.011242
36 1 0.069979
37 1 0.014360
38 1 0.022043
39 1 0.009664
40 1 0.100816
41 1 0.015020
42 1 0.010120
43 1 0.074054
44 1 0.087104
45 1 0.018243
46 1 0.039392
47 1 0.027002
48 1 0.008557
49 1 0.018106
50 1 0.011055
51 1 0.039533
52 1 0.091920
53 1 0.009751
54 1 0.038497
55 1 0.042571
56 1 0.012213
57 1 0.010970
58 1 0.032995
59 1 0.068106
60 1 0.021772
61 1 0.015620
62 1 0.043708
63 1 0.042433
64 1 0.034406
65 1 0.008565
66 1 0.216889
67 1 0.120413
68 1 0.013863
69 1 0.011785
70 1 0.016661
71 1 0.017656
72 1 0.039955
73 1 0.008901
74 1 0.073974
75 1 0.048947
76 1 0.013650
77 1 0.045684
78 1 0.014789
79 1 0.071026
80 1 0.009134
81 1 0.041320
82 1 0.017981
83 1 0.009932
84 1 0.006768
85 1 0.040062
86 1 0.032151
87 1 0.177624
88 1 0.011862
89 1 0.017637
90 1 0.018441
91 1 0.044987
92 1 0.017638
93 1 0.041972
94 1 0.018994
95 1 0.086661
96 1 0.042074
97 1 0.007008
98 1 0.006354
99 1 0.022748
100 1 0.074884
101 1 0.032033
102 1 0.083833
103 1 0.014560
104 1 0.032732
105 1 0.012620
106 1 0.011957
107 1 0.016413
108 1 0.015137
109 1 0.040057
110 1 0.005760
111 1 0.090346
112 1 0.038460
113 1 0.093978
114 1 0.014097
115 1 0.031203
116 1 0.097648
117 1 0.010976
118 1 0.045086
119 1 0.006459
120 1 0.103863
121 1 0.009615
122 1 0.014730
123 1 0.015787
124 1 0.012932
125 1 0.032987
126 1 0.012126
127 1 0.028407
128 1 0.035308
129 1 0.046001
130 1 0.006938
131 1 0.042916
132 1 0.011118
133 1 0.070398
134 1 0.016064
135 1 0.012657
136 1 0.064400
137 1 0.081519
138 1 0.007014
139 1 0.036689
140 1 0.015842
141 1 0.009967
142 1 0.010017
143 1 0.018962
144 1 0.010489
145 1 0.061374
146 1 0.005271
147 1 0.087165
148 1 0.067829
149 1 0.012733
150 1 0.010667
151 1 0.067329
152 1 0.067253
153 1 0.021236
154 1 0.006853
155 1 0.007841
156 1 0.017618
157 1 0.016328
158 1 0.056301
159 1 0.037746
160 1 0.059832
161 1 0.010758
162 1 0.014814
163 1 0.079976
164 1 0.019644
165 1 0.016481
166 1 0.014135
167 1 0.017009
168 1 0.017977
169 1 0.012650
170 1 0.057768
171 1 0.035927
172 1 0.098542
173 1 0.031211
174 1 0.053235
175 1 0.009148
176 1 0.014388
177 1 0.035353
178 1 0.050005
179 1 0.004854
180 1 0.040352
181 1 0.007270
182 1 0.039878
183 1 0.014535
184 1 0.015766
185 1 0.012799
186 1 0.035226
187 1 0.034360
188 1 0.016474
189 1 0.053464
190 1 0.077004
191 1 0.046876
192 1 0.017448
193 1 0.031033
194 1 0.033541
