# model=snn-ae encoding=poisson architecture=dense v_th=1 alpha=0.8 run=3
epoch train_loss val_loss
1 0.034602 0.024077
2 0.012307 0.019259
3 0.009857 0.014957
4 0.008004 0.013299
5 0.006762 0.012207
6 0.005588 0.011314
7 0.005020 0.010716
8 0.004442 0.010631
9 0.004186 0.010408
10 0.003884 0.010285
11 0.003765 0.010078
12 0.004002 0.010246
13 0.003876 0.010280
14 0.004008 0.010262
15 0.003944 0.010167
16 0.003935 0.009989
17 0.003999 0.010318
18 0.003969 0.010583
19 0.004110 0.010731
20 0.004240 0.010409
21 0.004157 0.010375
