# model=snn-ae encoding=poisson architecture=dense v_th=1.5 alpha=0.99 run=2
epoch train_loss val_loss
1 0.028557 0.012307
2 0.010005 0.008525
3 0.008308 0.007881
4 0.007515 0.006677
5 0.006913 0.006025
6 0.005833 0.005362
7 0.005585 0.007120
8 0.005558 0.005017
9 0.005582 0.005590
10 0.005462 0.005548
11 0.005371 0.004952
12 0.005482 0.005713
13 0.005398 0.004845
14 0.005429 0.006279
15 0.005307 0.004575
16 0.005307 0.004974
17 0.005153 0.005166
18 0.005350 0.004899
19 0.005139 0.005090
20 0.005278 0.005148
