# model=snn-ae encoding=poisson architecture=recurrent v_th=0.5 alpha=0.99 run=5
epoch train_loss val_loss
1 0.041637 0.026228
2 0.020505 0.024557
3 0.019609 0.023996
4 0.018773 0.022596
5 0.017912 0.022613
6 0.017520 0.025640
7 0.017899 0.022224
8 0.017425 0.026068
9 0.018082 0.022233
10 0.017461 0.021619
11 0.017392 0.021955
12 0.017518 0.021500
13 0.017093 0.021266
14 0.016998 0.021856
15 0.016890 0.021150
16 0.016979 0.020590
17 0.016503 0.021315
18 0.016443 0.020602
19 0.016293 0.021195
20 0.016623 0.020750
21 0.016523 0.020028
22 0.015669 0.019660
23 0.015692 0.020068
24 0.015544 0.020051
25 0.015981 0.020531
26 0.016152 0.020997
27 0.015722 0.020006
