# model=snn-ae encoding=poisson architecture=recurrent v_th=1 alpha=0.99 run=3
epoch train_loss val_loss
1 0.025838 0.017423
2 0.010216 0.015695
3 0.009082 0.014668
4 0.008338 0.016145
5 0.007961 0.013755
6 0.007653 0.014803
7 0.007411 0.021153
8 0.007677 0.013544
9 0.007363 0.013517
10 0.007240 0.013914
11 0.007236 0.013265
12 0.007355 0.013147
13 0.007277 0.013323
14 0.007364 0.013348
15 0.007234 0.013157
16 0.007089 0.013038
17 0.007199 0.013029
18 0.006918 0.013007
19 0.006976 0.013277
20 0.007106 0.012974
21 0.006850 0.012906
22 0.006816 0.012982
23 0.007029 0.013047
24 0.006897 0.012945
25 0.006921 0.013035
26 0.007048 0.013158
