Rank,Loss Type,LR,BS,HS,LS,Final Train Loss,Mean Val Loss,Best Val Loss,Epochs
1,mae,0.0010,32,32,64,0.706658,0.704623,0.704623,8
2,mae,0.0010,32,64,64,0.706658,0.704623,0.704623,8
3,mae,0.0010,32,128,64,0.706658,0.704623,0.704623,8
4,mae,0.0010,64,32,64,0.706658,0.704623,0.704623,8
5,mae,0.0010,64,64,64,0.706658,0.704623,0.704623,8
6,mae,0.0010,64,128,64,0.706658,0.704623,0.704623,8
7,mae,0.0010,32,32,64,0.706658,0.704623,0.704623,8
8,mae,0.0010,32,64,64,0.706658,0.704623,0.704623,8
9,mae,0.0010,32,128,64,0.706658,0.704623,0.704623,8
10,mae,0.0010,64,32,64,0.706658,0.704623,0.704623,8
11,mae,0.0010,64,64,64,0.706658,0.704623,0.704623,8
12,mae,0.0010,64,128,64,0.706658,0.704623,0.704623,8
13,mae,0.0010,16,32,16,0.703800,0.705212,0.705212,8
14,mae,0.0010,16,64,16,0.703800,0.705212,0.705212,8
15,mae,0.0010,16,128,16,0.703800,0.705212,0.705212,8
16,mae,0.0010,16,32,16,0.703800,0.705212,0.705212,8
17,mae,0.0010,16,64,16,0.703800,0.705212,0.705212,8
18,mae,0.0010,16,128,16,0.703800,0.705212,0.705212,8
19,mae,0.0005,16,32,16,0.710034,0.706852,0.706852,8
20,mae,0.0005,16,64,16,0.710034,0.706852,0.706852,8
21,mae,0.0005,16,128,16,0.710034,0.706852,0.706852,8
22,mae,0.0005,16,32,16,0.710034,0.706852,0.706852,8
23,mae,0.0005,16,64,16,0.710034,0.706852,0.706852,8
24,mae,0.0005,16,128,16,0.710034,0.706852,0.706852,8
25,mae,0.0003,32,32,16,0.708088,0.707069,0.707069,8
26,mae,0.0003,32,64,16,0.708088,0.707069,0.707069,8
27,mae,0.0003,32,128,16,0.708088,0.707069,0.707069,8
28,mae,0.0003,64,32,16,0.708088,0.707069,0.707069,8
29,mae,0.0003,64,64,16,0.708088,0.707069,0.707069,8
30,mae,0.0003,64,128,16,0.708088,0.707069,0.707069,8
31,mae,0.0003,32,32,16,0.708088,0.707069,0.707069,8
32,mae,0.0003,32,64,16,0.708088,0.707069,0.707069,8
33,mae,0.0003,32,128,16,0.708088,0.707069,0.707069,8
34,mae,0.0003,64,32,16,0.708088,0.707069,0.707069,8
35,mae,0.0003,64,64,16,0.708088,0.707069,0.707069,8
36,mae,0.0003,64,128,16,0.708088,0.707069,0.707069,8
37,mae,0.0010,32,32,32,0.713884,0.707113,0.707113,8
38,mae,0.0010,32,64,32,0.713884,0.707113,0.707113,8
39,mae,0.0010,32,128,32,0.713884,0.707113,0.707113,8
40,mae,0.0010,64,32,32,0.713884,0.707113,0.707113,8
41,mae,0.0010,64,64,32,0.713884,0.707113,0.707113,8
42,mae,0.0010,64,128,32,0.713884,0.707113,0.707113,8
43,mae,0.0010,32,32,32,0.713884,0.707113,0.707113,8
