Rank,Loss Type,LR,BS,HS,LS,Final Train Loss,Mean Val Loss,Best Val Loss,Epochs
1,mae,0.0001,32,32,16,0.753283,0.753174,0.753174,8
2,mae,0.0001,32,32,16,0.753283,0.753174,0.753174,8
3,mae,0.0003,32,32,16,0.753828,0.754291,0.754291,8
4,mae,0.0003,32,32,16,0.753828,0.754291,0.754291,8
5,mae,0.0005,32,32,16,0.755071,0.755298,0.755298,8
6,mae,0.0005,32,32,16,0.755071,0.755298,0.755298,8
7,mae,0.0001,16,32,16,0.755593,0.755511,0.755511,8
8,mae,0.0001,16,32,16,0.755593,0.755511,0.755511,8
9,mae,0.0005,16,32,16,0.756214,0.757218,0.757218,8
10,mae,0.0005,16,32,16,0.756214,0.757218,0.757218,8
11,mae,0.0003,16,32,16,0.755863,0.758917,0.758917,8
12,mae,0.0003,16,32,16,0.755863,0.758917,0.758917,8
13,mae,0.0001,8,32,16,0.767122,0.767068,0.767068,8
14,mae,0.0001,8,32,16,0.767122,0.767068,0.767068,8
15,mae,0.0003,8,32,16,0.768649,0.767943,0.767943,8
16,mae,0.0003,8,32,16,0.768649,0.767943,0.767943,8
17,mae,0.0005,8,32,16,0.772685,0.768809,0.768809,8
18,mae,0.0005,8,32,16,0.772685,0.768809,0.768809,8
19,mse,0.0001,16,32,16,0.998190,0.998010,0.998010,8
20,mse,0.0001,16,32,16,0.998190,0.998010,0.998010,8
21,mse,0.0001,32,32,16,0.998618,0.998873,0.998873,8
22,mse,0.0001,32,32,16,0.998618,0.998873,0.998873,8
23,mse,0.0001,8,32,16,0.998025,0.999958,0.999958,8
24,mse,0.0001,8,32,16,0.998025,0.999958,0.999958,8
25,mse,0.0003,32,32,16,1.001250,1.001530,1.001530,8
26,mse,0.0003,32,32,16,1.001250,1.001530,1.001530,8
27,mse,0.0003,8,32,16,1.001940,1.003000,1.003000,8
28,mse,0.0003,8,32,16,1.001940,1.003000,1.003000,8
29,mse,0.0005,32,32,16,1.002180,1.003110,1.003110,8
30,mse,0.0005,32,32,16,1.002180,1.003110,1.003110,8
31,mse,0.0005,8,32,16,1.004340,1.003190,1.003190,8
32,mse,0.0005,8,32,16,1.004340,1.003190,1.003190,8
33,mse,0.0003,16,32,16,1.004040,1.008050,1.008050,8
34,mse,0.0003,16,32,16,1.004040,1.008050,1.008050,8
35,mse,0.0005,16,32,16,1.017740,1.008220,1.008220,8
36,mse,0.0005,16,32,16,1.017740,1.008220,1.008220,8
