Rank,Profile,Modality,Loss Type,LR,BS,HS,LS,Final Train Loss,Final Val Loss,Mean Val Loss,Best Val Loss,Epochs,Status,Error
1,20260413_025835_audio-window-snn_grid_257_lr0_0010_bs32_hs32_ls64_mae,audio-window,mae,0.0010,32,32,64,0.706658,0.704623,0.704623,0.704623,8,Success,
2,20260413_030044_audio-window-snn_grid_263_lr0_0010_bs32_hs64_ls64_mae,audio-window,mae,0.0010,32,64,64,0.706658,0.704623,0.704623,0.704623,8,Success,
3,20260413_030311_audio-window-snn_grid_269_lr0_0010_bs32_hs128_ls64_mae,audio-window,mae,0.0010,32,128,64,0.706658,0.704623,0.704623,0.704623,8,Success,
4,20260413_030603_audio-window-snn_grid_275_lr0_0010_bs64_hs32_ls64_mae,audio-window,mae,0.0010,64,32,64,0.706658,0.704623,0.704623,0.704623,8,Success,
5,20260413_030819_audio-window-snn_grid_281_lr0_0010_bs64_hs64_ls64_mae,audio-window,mae,0.0010,64,64,64,0.706658,0.704623,0.704623,0.704623,8,Success,
6,20260413_030953_audio-window-snn_grid_287_lr0_0010_bs64_hs128_ls64_mae,audio-window,mae,0.0010,64,128,64,0.706658,0.704623,0.704623,0.704623,8,Success,
7,20260413_072710_audio-window-snn_grid_257_lr0_0010_bs32_hs32_ls64_mae,audio-window,mae,0.0010,32,32,64,0.706658,0.704623,0.704623,0.704623,8,Success,
8,20260413_073715_audio-window-snn_grid_263_lr0_0010_bs32_hs64_ls64_mae,audio-window,mae,0.0010,32,64,64,0.706658,0.704623,0.704623,0.704623,8,Success,
9,20260413_074719_audio-window-snn_grid_269_lr0_0010_bs32_hs128_ls64_mae,audio-window,mae,0.0010,32,128,64,0.706658,0.704623,0.704623,0.704623,8,Success,
10,20260413_075722_audio-window-snn_grid_275_lr0_0010_bs64_hs32_ls64_mae,audio-window,mae,0.0010,64,32,64,0.706658,0.704623,0.704623,0.704623,8,Success,
11,20260413_080724_audio-window-snn_grid_281_lr0_0010_bs64_hs64_ls64_mae,audio-window,mae,0.0010,64,64,64,0.706658,0.704623,0.704623,0.704623,8,Success,
12,20260413_081726_audio-window-snn_grid_287_lr0_0010_bs64_hs128_ls64_mae,audio-window,mae,0.0010,64,128,64,0.706658,0.704623,0.704623,0.704623,8,Success,
13,20260413_025103_audio-window-snn_grid_235_lr0_0010_bs16_hs32_ls16_mae,audio-window,mae,0.0010,16,32,16,0.703800,0.705212,0.705212,0.705212,8,Success,
14,20260413_025239_audio-window-snn_grid_241_lr0_0010_bs16_hs64_ls16_mae,audio-window,mae,0.0010,16,64,16,0.703800,0.705212,0.705212,0.705212,8,Success,
15,20260413_025419_audio-window-snn_grid_247_lr0_0010_bs16_hs128_ls16_mae,audio-window,mae,0.0010,16,128,16,0.703800,0.705212,0.705212,0.705212,8,Success,
16,20260413_065732_audio-window-snn_grid_235_lr0_0010_bs16_hs32_ls16_mae,audio-window,mae,0.0010,16,32,16,0.703800,0.705212,0.705212,0.705212,8,Success,
17,20260413_070451_audio-window-snn_grid_241_lr0_0010_bs16_hs64_ls16_mae,audio-window,mae,0.0010,16,64,16,0.703800,0.705212,0.705212,0.705212,8,Success,
18,20260413_071211_audio-window-snn_grid_247_lr0_0010_bs16_hs128_ls16_mae,audio-window,mae,0.0010,16,128,16,0.703800,0.705212,0.705212,0.705212,8,Success,
19,20260413_022705_audio-window-snn_grid_163_lr0_0005_bs16_hs32_ls16_mae,audio-window,mae,0.0005,16,32,16,0.710034,0.706852,0.706852,0.706852,8,Success,
20,20260413_022828_audio-window-snn_grid_169_lr0_0005_bs16_hs64_ls16_mae,audio-window,mae,0.0005,16,64,16,0.710034,0.706852,0.706852,0.706852,8,Success,
21,20260413_023032_audio-window-snn_grid_175_lr0_0005_bs16_hs128_ls16_mae,audio-window,mae,0.0005,16,128,16,0.710034,0.706852,0.706852,0.706852,8,Success,
22,20260413_051734_audio-window-snn_grid_163_lr0_0005_bs16_hs32_ls16_mae,audio-window,mae,0.0005,16,32,16,0.710034,0.706852,0.706852,0.706852,8,Success,
23,20260413_052453_audio-window-snn_grid_169_lr0_0005_bs16_hs64_ls16_mae,audio-window,mae,0.0005,16,64,16,0.710034,0.706852,0.706852,0.706852,8,Success,
24,20260413_053210_audio-window-snn_grid_175_lr0_0005_bs16_hs128_ls16_mae,audio-window,mae,0.0005,16,128,16,0.710034,0.706852,0.706852,0.706852,8,Success,
25,20260413_020859_audio-window-snn_grid_109_lr0_0003_bs32_hs32_ls16_mae,audio-window,mae,0.0003,32,32,16,0.708088,0.707069,0.707069,0.707069,8,Success,
26,20260413_021120_audio-window-snn_grid_115_lr0_0003_bs32_hs64_ls16_mae,audio-window,mae,0.0003,32,64,16,0.708088,0.707069,0.707069,0.707069,8,Success,
27,20260413_021342_audio-window-snn_grid_121_lr0_0003_bs32_hs128_ls16_mae,audio-window,mae,0.0003,32,128,16,0.708088,0.707069,0.707069,0.707069,8,Success,
28,20260413_021557_audio-window-snn_grid_127_lr0_0003_bs64_hs32_ls16_mae,audio-window,mae,0.0003,64,32,16,0.708088,0.707069,0.707069,0.707069,8,Success,
29,20260413_021842_audio-window-snn_grid_133_lr0_0003_bs64_hs64_ls16_mae,audio-window,mae,0.0003,64,64,16,0.708088,0.707069,0.707069,0.707069,8,Success,
