Rank,Profile,Profile Signature,Modality,Loss Type,LR,BS,HS,LS,Final Train Loss,Final Val Loss,Mean Val Loss,Best Val Loss,Epochs,Status,Error,Duplicate Runs
1,20260413_025835_audio-window-snn_grid_257_lr0_0010_bs32_hs32_ls64_mae,audio-window-snn_grid_257_lr0_0010_bs32_hs32_ls64_mae,audio-window,mae,0.0010,32,32,64,0.706658,0.704623,0.704623,0.704623,8,Success,,2
2,20260413_030044_audio-window-snn_grid_263_lr0_0010_bs32_hs64_ls64_mae,audio-window-snn_grid_263_lr0_0010_bs32_hs64_ls64_mae,audio-window,mae,0.0010,32,64,64,0.706658,0.704623,0.704623,0.704623,8,Success,,2
3,20260413_030311_audio-window-snn_grid_269_lr0_0010_bs32_hs128_ls64_mae,audio-window-snn_grid_269_lr0_0010_bs32_hs128_ls64_mae,audio-window,mae,0.0010,32,128,64,0.706658,0.704623,0.704623,0.704623,8,Success,,2
4,20260413_075722_audio-window-snn_grid_275_lr0_0010_bs64_hs32_ls64_mae,audio-window-snn_grid_275_lr0_0010_bs64_hs32_ls64_mae,audio-window,mae,0.0010,64,32,64,0.706658,0.704623,0.704623,0.704623,8,Success,,2
5,20260413_080724_audio-window-snn_grid_281_lr0_0010_bs64_hs64_ls64_mae,audio-window-snn_grid_281_lr0_0010_bs64_hs64_ls64_mae,audio-window,mae,0.0010,64,64,64,0.706658,0.704623,0.704623,0.704623,8,Success,,2
6,20260413_081726_audio-window-snn_grid_287_lr0_0010_bs64_hs128_ls64_mae,audio-window-snn_grid_287_lr0_0010_bs64_hs128_ls64_mae,audio-window,mae,0.0010,64,128,64,0.706658,0.704623,0.704623,0.704623,8,Success,,2
7,20260413_025103_audio-window-snn_grid_235_lr0_0010_bs16_hs32_ls16_mae,audio-window-snn_grid_235_lr0_0010_bs16_hs32_ls16_mae,audio-window,mae,0.0010,16,32,16,0.703800,0.705212,0.705212,0.705212,8,Success,,2
8,20260413_025239_audio-window-snn_grid_241_lr0_0010_bs16_hs64_ls16_mae,audio-window-snn_grid_241_lr0_0010_bs16_hs64_ls16_mae,audio-window,mae,0.0010,16,64,16,0.703800,0.705212,0.705212,0.705212,8,Success,,2
9,20260413_025419_audio-window-snn_grid_247_lr0_0010_bs16_hs128_ls16_mae,audio-window-snn_grid_247_lr0_0010_bs16_hs128_ls16_mae,audio-window,mae,0.0010,16,128,16,0.703800,0.705212,0.705212,0.705212,8,Success,,2
10,20260413_022705_audio-window-snn_grid_163_lr0_0005_bs16_hs32_ls16_mae,audio-window-snn_grid_163_lr0_0005_bs16_hs32_ls16_mae,audio-window,mae,0.0005,16,32,16,0.710034,0.706852,0.706852,0.706852,8,Success,,2
