Hyperparameter,Value,Avg Val Loss,Best Val Loss,Count
Learning Rate,0.0001,0.723899,0.709470,47
Learning Rate,0.0003,0.727916,0.707069,72
Learning Rate,0.0005,0.729111,0.706852,72
Learning Rate,0.001,0.725253,0.704623,72
Batch Size,8,0.778161,0.775442,63
Batch Size,16,0.711150,0.705212,63
Batch Size,32,0.710385,0.704623,65
Batch Size,64,0.710358,0.704623,72
Hidden Size,32,0.726929,0.704623,87
Hidden Size,64,0.726929,0.704623,87
Hidden Size,128,0.726537,0.704623,89
Latent Size,16,0.726455,0.705212,87
Latent Size,32,0.725543,0.707113,88
Latent Size,64,0.728387,0.704623,88
