Hyperparameter,Value,Avg Val Loss,Best Val Loss,Count
Learning Rate,0.0001,0.975983,0.954851,40
Learning Rate,0.0003,0.983335,0.955240,34
Learning Rate,0.0005,0.997169,0.997169,1
Batch Size,8,0.997832,0.996440,19
Batch Size,16,1.009027,1.005400,18
Batch Size,32,0.956676,0.954851,20
Batch Size,64,0.956393,0.954851,18
Hidden Size,32,0.978895,0.954851,27
Hidden Size,64,0.980136,0.954851,24
Hidden Size,128,0.979852,0.954851,24
Latent Size,16,0.979147,0.954894,26
Latent Size,32,0.978143,0.954851,25
Latent Size,64,0.981604,0.955838,24
