Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
3	:	1776047963.529	   129.435	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_002_lr0.0001_bs8_hs32_ls32_mse.json
1	:	1776047963.520	   133.085	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_000_lr0.0001_bs8_hs32_ls16_mse.json
2	:	1776047963.524	   137.735	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_001_lr0.0001_bs8_hs32_ls16_mae.json
4	:	1776047963.533	   142.282	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_003_lr0.0001_bs8_hs32_ls32_mae.json
8	:	1776048105.821	    19.730	0	0	143	15	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_007_lr0.0001_bs8_hs64_ls16_mae.json
5	:	1776048092.972	    32.585	0	0	143	15	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_004_lr0.0001_bs8_hs32_ls64_mse.json
6	:	1776048096.612	    28.946	0	0	143	15	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_005_lr0.0001_bs8_hs32_ls64_mae.json
7	:	1776048101.266	    24.292	0	0	143	15	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_006_lr0.0001_bs8_hs64_ls16_mse.json
12	:	1776048125.676	    74.229	0	0	143	15	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_011_lr0.0001_bs8_hs64_ls64_mae.json
9	:	1776048125.557	    74.354	0	0	143	15	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_008_lr0.0001_bs8_hs64_ls32_mse.json
10	:	1776048125.562	    74.349	0	0	143	15	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_009_lr0.0001_bs8_hs64_ls32_mae.json
11	:	1776048125.635	    74.276	0	0	143	15	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_010_lr0.0001_bs8_hs64_ls64_mse.json
