backend,profile,dataset,model,encoding,architecture,layers,v_th,alpha,run,seed,config_hash,mse,mae,r2,precision,recall,f1,spike_rate,energy,train_ms,infer_ms,param_count,macs
xtensor,article_snn_conv1d,fsdd,lstm-ae,direct,lstm,1,0.000000,0.000000,1,42,1907081217213120053,0.996841,0.705411,0.003158,0.000000,0.000000,0.000000,0.000000,85238400.000000,302992.218750,1190.620239,120225,8523840
xtensor,article_snn_conv1d,fsdd,snn-ae,direct,conv1d,2,0.500000,0.800000,1,42,1907081217213120053,0.777647,0.623612,-0.077312,0.000000,0.000000,0.000000,0.504167,372512.000000,2809.678711,1.828588,37286,36864
xtensor,article_snn_conv1d,fsdd,snn-ae,direct,conv1d,2,0.500000,0.900000,1,42,1907081217213120053,0.793725,0.616916,-0.099585,0.000000,0.000000,0.000000,0.473828,372279.000000,1581.316772,1.865884,37286,36864
xtensor,article_snn_conv1d,fsdd,snn-ae,direct,conv1d,2,0.500000,0.990000,1,42,1907081217213120053,0.885999,0.671859,-0.227417,0.000000,0.000000,0.000000,0.500781,372486.000000,878.086243,1.818042,37286,36864
xtensor,article_snn_conv1d,fsdd,snn-ae,direct,conv1d,2,1.000000,0.800000,1,42,1907081217213120053,0.759052,0.603268,-0.051550,0.000000,0.000000,0.000000,0.480990,372334.000000,2176.242676,4.516855,37286,36864
xtensor,article_snn_conv1d,fsdd,snn-ae,direct,conv1d,2,1.000000,0.900000,1,42,1907081217213120053,0.789954,0.638234,-0.094360,0.000000,0.000000,0.000000,0.485807,372371.000000,2622.844971,1.784728,37286,36864
xtensor,article_snn_conv1d,fsdd,snn-ae,direct,conv1d,2,1.000000,0.990000,1,42,1907081217213120053,0.838678,0.651802,-0.161859,0.000000,0.000000,0.000000,0.491536,372415.000000,2257.636719,1.847515,37286,36864
xtensor,article_snn_conv1d,fsdd,snn-ae,direct,conv1d,2,1.500000,0.800000,1,42,1907081217213120053,0.764022,0.627981,-0.058436,0.000000,0.000000,0.000000,0.498307,372467.000000,2627.322510,1.831522,37286,36864
xtensor,article_snn_conv1d,fsdd,snn-ae,direct,conv1d,2,1.500000,0.900000,1,42,1907081217213120053,0.780412,0.627737,-0.081141,0.000000,0.000000,0.000000,0.485417,372368.000000,2854.171143,1.831172,37286,36864
xtensor,article_snn_conv1d,fsdd,snn-ae,direct,conv1d,2,1.500000,0.990000,1,42,1907081217213120053,0.853324,0.661369,-0.182150,0.000000,0.000000,0.000000,0.486068,372373.000000,1474.722656,1.757909,37286,36864
xtensor,article_snn_conv1d,fsdd,lstm-ae,direct,lstm,1,0.000000,0.000000,2,43,1907081217213120053,0.996841,0.705411,0.003158,0.000000,0.000000,0.000000,0.000000,85238400.000000,302617.875000,1169.259766,120225,8523840
xtensor,article_snn_conv1d,fsdd,snn-ae,direct,conv1d,2,0.500000,0.800000,2,43,1907081217213120053,0.789662,0.623110,-0.093957,0.000000,0.000000,0.000000,0.497656,372462.000000,1208.994507,4.832267,37286,36864
xtensor,article_snn_conv1d,fsdd,snn-ae,direct,conv1d,2,0.500000,0.900000,2,43,1907081217213120053,0.782416,0.633156,-0.083918,0.000000,0.000000,0.000000,0.495573,372446.000000,1921.816284,1.799887,37286,36864
xtensor,article_snn_conv1d,fsdd,snn-ae,direct,conv1d,2,0.500000,0.990000,2,43,1907081217213120053,0.847844,0.643995,-0.174558,0.000000,0.000000,0.000000,0.480078,372327.000000,857.322876,1.836343,37286,36864
xtensor,article_snn_conv1d,fsdd,snn-ae,direct,conv1d,2,1.000000,0.800000,2,43,1907081217213120053,0.785986,0.632731,-0.088862,0.000000,0.000000,0.000000,0.485156,372366.000000,2113.217773,1.820559,37286,36864
xtensor,article_snn_conv1d,fsdd,snn-ae,direct,conv1d,2,1.000000,0.900000,2,43,1907081217213120053,0.803268,0.627333,-0.112807,0.000000,0.000000,0.000000,0.479818,372325.000000,2002.646240,1.920363,37286,36864
xtensor,article_snn_conv1d,fsdd,snn-ae,direct,conv1d,2,1.000000,0.990000,2,43,1907081217213120053,0.853552,0.650950,-0.182464,0.000000,0.000000,0.000000,0.473047,372273.000000,981.471680,2.824812,37286,36864
xtensor,article_snn_conv1d,fsdd,snn-ae,direct,conv1d,2,1.500000,0.800000,2,43,1907081217213120053,0.776711,0.630877,-0.076015,0.000000,0.000000,0.000000,0.494661,372439.000000,2765.672852,1.715937,37286,36864
xtensor,article_snn_conv1d,fsdd,snn-ae,direct,conv1d,2,1.500000,0.900000,2,43,1907081217213120053,0.774886,0.624165,-0.073488,0.000000,0.000000,0.000000,0.502214,372497.000000,1806.794067,1.847938,37286,36864
xtensor,article_snn_conv1d,fsdd,snn-ae,direct,conv1d,2,1.500000,0.990000,2,43,1907081217213120053,0.824937,0.640769,-0.142823,0.000000,0.000000,0.000000,0.485807,372371.000000,1467.219360,1.766712,37286,36864
xtensor,article_snn_conv1d,fsdd,lstm-ae,direct,lstm,1,0.000000,0.000000,3,44,1907081217213120053,0.996841,0.705411,0.003158,0.000000,0.000000,0.000000,0.000000,85238400.000000,303071.093750,1200.468506,120225,8523840
xtensor,article_snn_conv1d,fsdd,snn-ae,direct,conv1d,2,0.500000,0.800000,3,44,1907081217213120053,0.822874,0.635287,-0.139966,0.000000,0.000000,0.000000,0.482812,372348.000000,754.378052,1.818048,37286,36864
xtensor,article_snn_conv1d,fsdd,snn-ae,direct,conv1d,2,0.500000,0.900000,3,44,1907081217213120053,0.793759,0.642712,-0.099635,0.000000,0.000000,0.000000,0.496224,372451.000000,2314.788818,1.823635,37286,36864
xtensor,article_snn_conv1d,fsdd,snn-ae,direct,conv1d,2,0.500000,0.990000,3,44,1907081217213120053,0.842043,0.641087,-0.166521,0.000000,0.000000,0.000000,0.486979,372380.000000,1636.492676,1.742898,37286,36864
xtensor,article_snn_conv1d,fsdd,snn-ae,direct,conv1d,2,1.000000,0.800000,3,44,1907081217213120053,0.754873,0.614498,-0.045760,0.000000,0.000000,0.000000,0.489583,372400.000000,2763.937744,1.846263,37286,36864
xtensor,article_snn_conv1d,fsdd,snn-ae,direct,conv1d,2,1.000000,0.900000,3,44,1907081217213120053,0.814881,0.628622,-0.128893,0.000000,0.000000,0.000000,0.492969,372426.000000,1411.133667,1.840397,37286,36864
