backend,profile,dataset,model,encoding,architecture,layers,v_th,alpha,run,seed,config_hash,mse,mae,r2,precision,recall,f1,spike_rate,energy,train_ms,infer_ms,param_count,macs
xtensor,article_snn_dense,fsdd,lstm-ae,direct,lstm,1,0.000000,0.000000,1,42,9318088442253209148,0.995452,0.704841,0.004549,0.000000,0.000000,0.000000,0.000000,85238400.000000,599436.750000,1489.577759,120225,8523840
xtensor,article_snn_dense,fsdd,snn-ae,direct,dense,2,0.500000,0.800000,1,42,9318088442253209148,0.951253,0.741383,0.048748,0.500000,1.000000,0.666667,0.498307,372467.000000,2841.100342,1.984065,37286,36864
xtensor,article_snn_dense,fsdd,snn-ae,direct,dense,2,0.500000,0.900000,1,42,9318088442253209148,0.998680,0.759104,0.001322,0.500000,1.000000,0.666667,0.474219,372282.000000,3418.802979,1.913804,37286,36864
xtensor,article_snn_dense,fsdd,snn-ae,direct,dense,2,0.500000,0.990000,1,42,9318088442253209148,1.135423,0.788310,-0.135425,0.500000,1.000000,0.666667,0.489583,372400.000000,2724.804688,2.049087,37286,36864
xtensor,article_snn_dense,fsdd,snn-ae,direct,dense,2,1.000000,0.800000,1,42,9318088442253209148,0.910211,0.713346,0.089788,0.500000,1.000000,0.666667,0.488802,372394.000000,3693.327393,1.987348,37286,36864
xtensor,article_snn_dense,fsdd,snn-ae,direct,dense,2,1.000000,0.900000,1,42,9318088442253209148,0.941193,0.734682,0.058805,0.500000,1.000000,0.666667,0.489062,372396.000000,2704.546387,2.129964,37286,36864
xtensor,article_snn_dense,fsdd,snn-ae,direct,dense,2,1.000000,0.990000,1,42,9318088442253209148,1.109237,0.793848,-0.109235,0.500000,1.000000,0.666667,0.490365,372406.000000,2482.698975,2.216149,37286,36864
xtensor,article_snn_dense,fsdd,snn-ae,direct,dense,2,1.500000,0.800000,1,42,9318088442253209148,0.917895,0.727414,0.082108,0.500000,1.000000,0.666667,0.484375,372360.000000,3535.222412,2.071646,37286,36864
xtensor,article_snn_dense,fsdd,snn-ae,direct,dense,2,1.500000,0.900000,1,42,9318088442253209148,0.907910,0.714292,0.092088,0.500000,1.000000,0.666667,0.481641,372339.000000,3169.506348,4.217814,37286,36864
xtensor,article_snn_dense,fsdd,snn-ae,direct,dense,2,1.500000,0.990000,1,42,9318088442253209148,1.092410,0.786754,-0.092411,0.500000,1.000000,0.666667,0.481641,372339.000000,2566.660400,1.927562,37286,36864
xtensor,article_snn_dense,fsdd,lstm-ae,direct,lstm,1,0.000000,0.000000,2,43,9318088442253209148,0.995452,0.704841,0.004549,0.000000,0.000000,0.000000,0.000000,85238400.000000,595926.000000,1420.769531,120225,8523840
xtensor,article_snn_dense,fsdd,snn-ae,direct,dense,2,0.500000,0.800000,2,43,9318088442253209148,0.922507,0.720164,0.077493,0.500000,1.000000,0.666667,0.495182,372443.000000,2586.144043,2.014725,37286,36864
xtensor,article_snn_dense,fsdd,snn-ae,direct,dense,2,0.500000,0.900000,2,43,9318088442253209148,0.968921,0.737718,0.031082,0.500000,1.000000,0.666667,0.477214,372305.000000,2726.768066,2.035748,37286,36864
xtensor,article_snn_dense,fsdd,snn-ae,direct,dense,2,0.500000,0.990000,2,43,9318088442253209148,1.076915,0.768647,-0.076914,0.500000,1.000000,0.666667,0.479036,372319.000000,2373.536377,1.942369,37286,36864
xtensor,article_snn_dense,fsdd,snn-ae,direct,dense,2,1.000000,0.800000,2,43,9318088442253209148,0.920021,0.725752,0.079981,0.500000,1.000000,0.666667,0.476172,372297.000000,3255.605469,1.924070,37286,36864
xtensor,article_snn_dense,fsdd,snn-ae,direct,dense,2,1.000000,0.900000,2,43,9318088442253209148,0.933834,0.727066,0.066165,0.500000,1.000000,0.666667,0.495052,372442.000000,2498.593994,1.957316,37286,36864
xtensor,article_snn_dense,fsdd,snn-ae,direct,dense,2,1.000000,0.990000,2,43,9318088442253209148,1.112916,0.779650,-0.112916,0.500000,1.000000,0.666667,0.505208,372520.000000,1074.675049,2.023036,37286,36864
xtensor,article_snn_dense,fsdd,snn-ae,direct,dense,2,1.500000,0.800000,2,43,9318088442253209148,0.902470,0.713761,0.097531,0.500000,1.000000,0.666667,0.471224,372259.000000,3144.712646,2.053557,37286,36864
xtensor,article_snn_dense,fsdd,snn-ae,direct,dense,2,1.500000,0.900000,2,43,9318088442253209148,0.898259,0.713645,0.101742,0.500000,1.000000,0.666667,0.467578,372231.000000,3181.075195,1.968351,37286,36864
xtensor,article_snn_dense,fsdd,snn-ae,direct,dense,2,1.500000,0.990000,2,43,9318088442253209148,1.081726,0.784277,-0.081726,0.500000,1.000000,0.666667,0.491797,372417.000000,2534.490723,1.953474,37286,36864
xtensor,article_snn_dense,fsdd,lstm-ae,direct,lstm,1,0.000000,0.000000,3,44,9318088442253209148,0.995452,0.704841,0.004549,0.000000,0.000000,0.000000,0.000000,85238400.000000,591811.437500,1419.180908,120225,8523840
xtensor,article_snn_dense,fsdd,snn-ae,direct,dense,2,0.500000,0.800000,3,44,9318088442253209148,0.952263,0.734927,0.047738,0.500000,1.000000,0.666667,0.477344,372306.000000,1966.584351,2.179971,37286,36864
xtensor,article_snn_dense,fsdd,snn-ae,direct,dense,2,0.500000,0.900000,3,44,9318088442253209148,0.979488,0.753454,0.020513,0.500000,1.000000,0.666667,0.492969,372426.000000,3147.998047,1.890267,37286,36864
xtensor,article_snn_dense,fsdd,snn-ae,direct,dense,2,0.500000,0.990000,3,44,9318088442253209148,1.106580,0.789375,-0.106581,0.500000,1.000000,0.666667,0.486328,372375.000000,1741.130981,1.995309,37286,36864
xtensor,article_snn_dense,fsdd,snn-ae,direct,dense,2,1.000000,0.800000,3,44,9318088442253209148,0.928382,0.723460,0.071616,0.500000,1.000000,0.666667,0.482943,372349.000000,2927.477539,2.983500,37286,36864
xtensor,article_snn_dense,fsdd,snn-ae,direct,dense,2,1.000000,0.900000,3,44,9318088442253209148,0.949471,0.738052,0.050529,0.500000,1.000000,0.666667,0.497135,372458.000000,2501.374512,3.167533,37286,36864
xtensor,article_snn_dense,fsdd,snn-ae,direct,dense,2,1.000000,0.990000,3,44,9318088442253209148,1.085895,0.786172,-0.085894,0.500000,1.000000,0.666667,0.476042,372296.000000,2839.591797,1.913245,37286,36864
xtensor,article_snn_dense,fsdd,snn-ae,direct,dense,2,1.500000,0.800000,3,44,9318088442253209148,0.913544,0.716510,0.086455,0.500000,1.000000,0.666667,0.462500,372192.000000,3286.405029,2.229488,37286,36864
