backend,profile,dataset,model,encoding,architecture,layers,v_th,alpha,run,seed,config_hash,mse,mae,r2,precision,recall,f1,spike_rate,energy,train_ms,infer_ms,param_count,macs
xtensor,article_snn_recurrent,fsdd,lstm-ae,direct,lstm,1,0.000000,0.000000,1,42,3101891589530776636,0.995452,0.704841,0.004549,0.000000,0.000000,0.000000,0.000000,85238400.000000,588682.312500,1440.689819,120225,8523840
xtensor,article_snn_recurrent,fsdd,snn-ae,direct,recurrent,2,0.500000,0.800000,1,42,3101891589530776636,0.211623,0.380054,-0.161663,0.500000,1.000000,0.666667,0.837240,375070.000000,15159.301758,85.507469,37286,36864
xtensor,article_snn_recurrent,fsdd,snn-ae,direct,recurrent,2,0.500000,0.900000,1,42,3101891589530776636,0.176494,0.333719,-0.003971,0.500000,1.000000,0.666667,0.895964,375521.000000,12612.829102,88.179764,37286,36864
xtensor,article_snn_recurrent,fsdd,snn-ae,direct,recurrent,2,0.500000,0.990000,1,42,3101891589530776636,0.090578,0.195688,0.200859,1.000000,0.500000,0.666667,0.888672,375465.000000,12179.105469,90.052498,37286,36864
xtensor,article_snn_recurrent,fsdd,snn-ae,direct,recurrent,2,1.000000,0.800000,1,42,3101891589530776636,0.141006,0.268086,-0.103471,0.500000,1.000000,0.666667,0.782552,374650.000000,14959.008789,85.936722,37286,36864
xtensor,article_snn_recurrent,fsdd,snn-ae,direct,recurrent,2,1.000000,0.900000,1,42,3101891589530776636,0.143581,0.278443,-0.154433,0.500000,1.000000,0.666667,0.800391,374787.000000,12376.607422,83.490448,37286,36864
xtensor,article_snn_recurrent,fsdd,snn-ae,direct,recurrent,2,1.000000,0.990000,1,42,3101891589530776636,0.057572,0.126603,0.203038,0.000000,0.000000,0.000000,0.899740,375550.000000,11425.887695,85.433510,37286,36864
xtensor,article_snn_recurrent,fsdd,snn-ae,direct,recurrent,2,1.500000,0.800000,1,42,3101891589530776636,0.091965,0.178251,-0.020662,0.000000,0.000000,0.000000,0.939583,375856.000000,4541.423828,84.653519,37286,36864
xtensor,article_snn_recurrent,fsdd,snn-ae,direct,recurrent,2,1.500000,0.900000,1,42,3101891589530776636,0.094275,0.199237,-0.048764,1.000000,0.500000,0.666667,0.803906,374814.000000,13465.250977,83.473755,37286,36864
xtensor,article_snn_recurrent,fsdd,snn-ae,direct,recurrent,2,1.500000,0.990000,1,42,3101891589530776636,0.048292,0.116829,0.059568,1.000000,0.500000,0.666667,0.870573,375326.000000,12485.269531,93.131195,37286,36864
