backend,profile,dataset,model,encoding,architecture,layers,v_th,alpha,run,seed,config_hash,mse,mae,r2,precision,recall,f1,spike_rate,energy,train_ms,infer_ms,param_count,macs
xtensor,article_snn_conv1d,fsdd,lstm-ae,direct,lstm,1,0.000000,0.000000,1,42,7961421272389609069,0.948429,0.704444,0.051572,0.000000,0.000000,0.000000,0.000000,11842560.000000,103510.632812,233.860992,122472,1184256
xtensor,article_snn_conv1d,fsdd,snn-ae,direct,conv1d,2,0.500000,0.800000,1,42,7961421272389609069,0.665004,0.605628,0.078739,0.500000,1.000000,0.666667,0.486849,372379.000000,4065.595459,2.099439,37286,36864
xtensor,article_snn_conv1d,fsdd,snn-ae,direct,conv1d,2,0.500000,0.900000,1,42,7961421272389609069,0.709347,0.612710,0.017306,0.500000,1.000000,0.666667,0.495313,372444.000000,3432.274658,5.546333,37286,36864
xtensor,article_snn_conv1d,fsdd,snn-ae,direct,conv1d,2,0.500000,0.990000,1,42,7961421272389609069,0.801038,0.648356,-0.109716,0.500000,1.000000,0.666667,0.483464,372353.000000,4392.274414,6.211506,37286,36864
xtensor,article_snn_conv1d,fsdd,snn-ae,direct,conv1d,2,1.000000,0.800000,1,42,7961421272389609069,0.668588,0.609448,0.073772,0.500000,1.000000,0.666667,0.480469,372330.000000,3401.973877,2.125211,37286,36864
xtensor,article_snn_conv1d,fsdd,snn-ae,direct,conv1d,2,1.000000,0.900000,1,42,7961421272389609069,0.691433,0.622578,0.042127,0.500000,1.000000,0.666667,0.494401,372437.000000,3562.482178,3.211388,37286,36864
xtensor,article_snn_conv1d,fsdd,snn-ae,direct,conv1d,2,1.000000,0.990000,1,42,7961421272389609069,0.797300,0.655116,-0.104537,0.500000,1.000000,0.666667,0.474870,372287.000000,3547.910156,4.668983,37286,36864
xtensor,article_snn_conv1d,fsdd,snn-ae,direct,conv1d,2,1.500000,0.800000,1,42,7961421272389609069,0.622937,0.588980,0.137017,0.500000,1.000000,0.666667,0.468880,372241.000000,4154.993164,2.054741,37286,36864
xtensor,article_snn_conv1d,fsdd,snn-ae,direct,conv1d,2,1.500000,0.900000,1,42,7961421272389609069,0.705054,0.633455,0.023254,0.500000,1.000000,0.666667,0.485547,372369.000000,4262.352539,3.270963,37286,36864
xtensor,article_snn_conv1d,fsdd,snn-ae,direct,conv1d,2,1.500000,0.990000,1,42,7961421272389609069,0.819446,0.667067,-0.135215,0.500000,1.000000,0.666667,0.480339,372329.000000,2954.021484,2.158526,37286,36864
