backend,profile,dataset,model,encoding,architecture,layers,v_th,alpha,run,seed,config_hash,mse,mae,r2,precision,recall,f1,spike_rate,energy,train_ms,infer_ms,param_count,macs
xtensor,article_snn_dense,fsdd,lstm-ae,direct,lstm,1,0.000000,0.000000,1,42,9783383050935234930,0.948429,0.704444,0.051572,0.000000,0.000000,0.000000,0.000000,11842560.000000,120858.992188,213.348892,122472,1184256
xtensor,article_snn_dense,fsdd,snn-ae,direct,dense,2,0.500000,0.800000,1,42,9783383050935234930,0.951253,0.741383,0.048748,0.500000,1.000000,0.666667,0.498307,372467.000000,4332.917969,1.924418,37286,36864
xtensor,article_snn_dense,fsdd,snn-ae,direct,dense,2,0.500000,0.900000,1,42,9783383050935234930,0.998680,0.759104,0.001322,0.500000,1.000000,0.666667,0.474219,372282.000000,4624.305176,3.752103,37286,36864
xtensor,article_snn_dense,fsdd,snn-ae,direct,dense,2,0.500000,0.990000,1,42,9783383050935234930,1.135423,0.788310,-0.135425,0.500000,1.000000,0.666667,0.489583,372400.000000,3851.533936,2.037351,37286,36864
xtensor,article_snn_dense,fsdd,snn-ae,direct,dense,2,1.000000,0.800000,1,42,9783383050935234930,0.910211,0.713346,0.089788,0.500000,1.000000,0.666667,0.488802,372394.000000,4760.864258,2.096019,37286,36864
xtensor,article_snn_dense,fsdd,snn-ae,direct,dense,2,1.000000,0.900000,1,42,9783383050935234930,0.941193,0.734682,0.058805,0.500000,1.000000,0.666667,0.489062,372396.000000,3497.092285,1.780334,37286,36864
xtensor,article_snn_dense,fsdd,snn-ae,direct,dense,2,1.000000,0.990000,1,42,9783383050935234930,1.109237,0.793848,-0.109235,0.500000,1.000000,0.666667,0.490365,372406.000000,3489.965820,2.461989,37286,36864
xtensor,article_snn_dense,fsdd,snn-ae,direct,dense,2,1.500000,0.800000,1,42,9783383050935234930,0.917895,0.727414,0.082108,0.500000,1.000000,0.666667,0.484375,372360.000000,4744.269531,2.404648,37286,36864
xtensor,article_snn_dense,fsdd,snn-ae,direct,dense,2,1.500000,0.900000,1,42,9783383050935234930,0.907910,0.714292,0.092088,0.500000,1.000000,0.666667,0.481641,372339.000000,4329.131836,12.221872,37286,36864
xtensor,article_snn_dense,fsdd,snn-ae,direct,dense,2,1.500000,0.990000,1,42,9783383050935234930,1.092410,0.786754,-0.092411,0.500000,1.000000,0.666667,0.481641,372339.000000,3002.604980,3.513594,37286,36864
xtensor,article_snn_dense,fsdd,lstm-ae,direct,lstm,1,0.000000,0.000000,2,43,9783383050935234930,0.948429,0.704444,0.051572,0.000000,0.000000,0.000000,0.000000,11842560.000000,118299.562500,231.464615,122472,1184256
xtensor,article_snn_dense,fsdd,snn-ae,direct,dense,2,0.500000,0.800000,2,43,9783383050935234930,0.922507,0.720164,0.077493,0.500000,1.000000,0.666667,0.495182,372443.000000,4233.884277,2.237797,37286,36864
xtensor,article_snn_dense,fsdd,snn-ae,direct,dense,2,0.500000,0.900000,2,43,9783383050935234930,0.968921,0.737718,0.031082,0.500000,1.000000,0.666667,0.477214,372305.000000,4260.905762,2.076672,37286,36864
xtensor,article_snn_dense,fsdd,snn-ae,direct,dense,2,0.500000,0.990000,2,43,9783383050935234930,1.076915,0.768647,-0.076914,0.500000,1.000000,0.666667,0.479036,372319.000000,3908.359863,5.150263,37286,36864
xtensor,article_snn_dense,fsdd,snn-ae,direct,dense,2,1.000000,0.800000,2,43,9783383050935234930,0.920021,0.725752,0.079981,0.500000,1.000000,0.666667,0.476172,372297.000000,5344.583008,8.972278,37286,36864
xtensor,article_snn_dense,fsdd,snn-ae,direct,dense,2,1.000000,0.900000,2,43,9783383050935234930,0.933834,0.727066,0.066165,0.500000,1.000000,0.666667,0.495052,372442.000000,3656.691650,3.497042,37286,36864
xtensor,article_snn_dense,fsdd,snn-ae,direct,dense,2,1.000000,0.990000,2,43,9783383050935234930,1.112916,0.779650,-0.112916,0.500000,1.000000,0.666667,0.505208,372520.000000,2324.489746,2.502636,37286,36864
xtensor,article_snn_dense,fsdd,snn-ae,direct,dense,2,1.500000,0.800000,2,43,9783383050935234930,0.902470,0.713761,0.097531,0.500000,1.000000,0.666667,0.471224,372259.000000,5630.163574,2.035256,37286,36864
xtensor,article_snn_dense,fsdd,snn-ae,direct,dense,2,1.500000,0.900000,2,43,9783383050935234930,0.898259,0.713645,0.101742,0.500000,1.000000,0.666667,0.467578,372231.000000,6328.544434,2.112990,37286,36864
xtensor,article_snn_dense,fsdd,snn-ae,direct,dense,2,1.500000,0.990000,2,43,9783383050935234930,1.081726,0.784277,-0.081726,0.500000,1.000000,0.666667,0.491797,372417.000000,5137.711426,4.880256,37286,36864
xtensor,article_snn_dense,fsdd,lstm-ae,direct,lstm,1,0.000000,0.000000,3,44,9783383050935234930,0.948429,0.704444,0.051572,0.000000,0.000000,0.000000,0.000000,11842560.000000,114282.242188,212.002884,122472,1184256
xtensor,article_snn_dense,fsdd,snn-ae,direct,dense,2,0.500000,0.800000,3,44,9783383050935234930,0.952263,0.734927,0.047738,0.500000,1.000000,0.666667,0.477344,372306.000000,2860.862305,2.154196,37286,36864
xtensor,article_snn_dense,fsdd,snn-ae,direct,dense,2,0.500000,0.900000,3,44,9783383050935234930,0.979488,0.753454,0.020513,0.500000,1.000000,0.666667,0.492969,372426.000000,4131.291992,2.380693,37286,36864
xtensor,article_snn_dense,fsdd,snn-ae,direct,dense,2,0.500000,0.990000,3,44,9783383050935234930,1.106580,0.789375,-0.106581,0.500000,1.000000,0.666667,0.486328,372375.000000,3963.879639,4.909309,37286,36864
xtensor,article_snn_dense,fsdd,snn-ae,direct,dense,2,1.000000,0.800000,3,44,9783383050935234930,0.928382,0.723460,0.071616,0.500000,1.000000,0.666667,0.482943,372349.000000,9523.943359,2.189606,37286,36864
xtensor,article_snn_dense,fsdd,snn-ae,direct,dense,2,1.000000,0.900000,3,44,9783383050935234930,0.949471,0.738052,0.050529,0.500000,1.000000,0.666667,0.497135,372458.000000,5061.313965,9.830981,37286,36864
xtensor,article_snn_dense,fsdd,snn-ae,direct,dense,2,1.000000,0.990000,3,44,9783383050935234930,1.085895,0.786172,-0.085894,0.500000,1.000000,0.666667,0.476042,372296.000000,5853.174316,2.105307,37286,36864
xtensor,article_snn_dense,fsdd,snn-ae,direct,dense,2,1.500000,0.800000,3,44,9783383050935234930,0.913544,0.716510,0.086455,0.500000,1.000000,0.666667,0.462500,372192.000000,5488.549316,2.567658,37286,36864
xtensor,article_snn_dense,fsdd,snn-ae,direct,dense,2,1.500000,0.900000,3,44,9783383050935234930,0.931350,0.730571,0.068650,0.500000,1.000000,0.666667,0.476042,372296.000000,3187.173584,1.898785,37286,36864
xtensor,article_snn_dense,fsdd,snn-ae,direct,dense,2,1.500000,0.990000,3,44,9783383050935234930,1.117223,0.797785,-0.117225,0.500000,1.000000,0.666667,0.468490,372238.000000,2561.184570,8.204369,37286,36864
xtensor,article_snn_dense,fsdd,lstm-ae,poisson,lstm,1,0.000000,0.000000,1,42,9783383050935234930,0.111658,0.216888,0.023234,0.000000,0.000000,0.000000,0.000000,11842560.000000,69279.265625,242.483444,122472,1184256
xtensor,article_snn_dense,fsdd,snn-ae,poisson,dense,2,0.500000,0.800000,1,42,9783383050935234930,0.116587,0.209624,-0.019889,1.000000,0.500000,0.666667,0.988672,376233.000000,3325.181396,2.717120,37286,36864
xtensor,article_snn_dense,fsdd,snn-ae,poisson,dense,2,0.500000,0.900000,1,42,9783383050935234930,0.115370,0.214254,-0.009240,1.000000,0.500000,0.666667,0.997526,376301.000000,3581.261719,2.289409,37286,36864
xtensor,article_snn_dense,fsdd,snn-ae,poisson,dense,2,0.500000,0.990000,1,42,9783383050935234930,0.131950,0.258126,-0.154280,1.000000,0.500000,0.666667,0.998958,376312.000000,3734.828613,3.206779,37286,36864
xtensor,article_snn_dense,fsdd,snn-ae,poisson,dense,2,1.000000,0.800000,1,42,9783383050935234930,0.123594,0.236555,-0.081182,0.500000,0.500000,0.500000,0.845443,375133.000000,7060.698730,5.278562,37286,36864
xtensor,article_snn_dense,fsdd,snn-ae,poisson,dense,2,1.000000,0.900000,1,42,9783383050935234930,0.117261,0.214501,-0.025785,1.000000,0.500000,0.666667,0.987630,376225.000000,1897.924316,5.311457,37286,36864
xtensor,article_snn_dense,fsdd,snn-ae,poisson,dense,2,1.000000,0.990000,1,42,9783383050935234930,0.114796,0.216566,-0.004218,1.000000,0.500000,0.666667,0.999219,376314.000000,3484.397705,2.041961,37286,36864
xtensor,article_snn_dense,fsdd,snn-ae,poisson,dense,2,1.500000,0.800000,1,42,9783383050935234930,0.123484,0.210544,-0.080222,0.500000,0.500000,0.500000,0.946094,375906.000000,1027.033447,5.136644,37286,36864
xtensor,article_snn_dense,fsdd,snn-ae,poisson,dense,2,1.500000,0.900000,1,42,9783383050935234930,0.117001,0.197146,-0.023511,1.000000,0.500000,0.666667,1.000000,376320.000000,2089.906006,5.320188,37286,36864
xtensor,article_snn_dense,fsdd,snn-ae,poisson,dense,2,1.500000,0.990000,1,42,9783383050935234930,0.123672,0.227819,-0.081862,1.000000,0.500000,0.666667,0.999349,376315.000000,3487.625488,5.348753,37286,36864
xtensor,article_snn_dense,fsdd,lstm-ae,poisson,lstm,1,0.000000,0.000000,2,43,9783383050935234930,0.112465,0.219878,0.013585,0.000000,0.000000,0.000000,0.000000,11842560.000000,84039.890625,264.196564,122472,1184256
xtensor,article_snn_dense,fsdd,snn-ae,poisson,dense,2,0.500000,0.800000,2,43,9783383050935234930,0.122494,0.223861,-0.074371,1.000000,0.500000,0.666667,0.962891,376035.000000,3564.815918,2.365816,37286,36864
xtensor,article_snn_dense,fsdd,snn-ae,poisson,dense,2,0.500000,0.900000,2,43,9783383050935234930,0.121954,0.230384,-0.069639,1.000000,0.500000,0.666667,0.989974,376243.000000,5598.763672,2.500401,37286,36864
