backend,profile,dataset,model,encoding,architecture,layers,v_th,alpha,run,seed,config_hash,mse,mae,r2,precision,recall,f1,spike_rate,energy,train_ms,infer_ms,param_count,macs
xtensor,article_snn_recurrent,fsdd,lstm-ae,direct,lstm,1,0.000000,0.000000,1,42,7096950814052064792,0.996841,0.705411,0.003158,0.000000,0.000000,0.000000,0.000000,85238400.000000,302794.500000,1183.978149,120225,8523840
xtensor,article_snn_recurrent,fsdd,snn-ae,direct,recurrent,2,0.500000,0.800000,1,42,7096950814052064792,0.234842,0.306083,-0.289110,0.000000,0.000000,0.000000,0.843490,375118.000000,7219.572266,67.840599,37286,36864
xtensor,article_snn_recurrent,fsdd,snn-ae,direct,recurrent,2,0.500000,0.900000,1,42,7096950814052064792,0.217318,0.285868,-0.236199,0.000000,0.000000,0.000000,0.892448,375494.000000,6817.538086,74.000015,37286,36864
xtensor,article_snn_recurrent,fsdd,snn-ae,direct,recurrent,2,0.500000,0.990000,1,42,7096950814052064792,0.121993,0.169570,-0.076293,0.000000,0.000000,0.000000,0.956771,375988.000000,8165.398438,72.756065,37286,36864
xtensor,article_snn_recurrent,fsdd,snn-ae,direct,recurrent,2,1.000000,0.800000,1,42,7096950814052064792,0.137440,0.203070,-0.075564,0.000000,0.000000,0.000000,0.960417,376016.000000,11147.941406,76.420860,37286,36864
xtensor,article_snn_recurrent,fsdd,snn-ae,direct,recurrent,2,1.000000,0.900000,1,42,7096950814052064792,0.135116,0.179512,-0.086371,0.000000,0.000000,0.000000,0.976432,376139.000000,7310.650879,73.760666,37286,36864
xtensor,article_snn_recurrent,fsdd,snn-ae,direct,recurrent,2,1.000000,0.990000,1,42,7096950814052064792,0.072461,0.101916,-0.003064,0.000000,0.000000,0.000000,0.972656,376110.000000,8248.593750,102.097816,37286,36864
xtensor,article_snn_recurrent,fsdd,snn-ae,direct,recurrent,2,1.500000,0.800000,1,42,7096950814052064792,0.096619,0.130287,-0.072307,0.000000,0.000000,0.000000,0.981771,376180.000000,5887.182129,102.907837,37286,36864
xtensor,article_snn_recurrent,fsdd,snn-ae,direct,recurrent,2,1.500000,0.900000,1,42,7096950814052064792,0.092934,0.133084,-0.033838,0.000000,0.000000,0.000000,0.996094,376290.000000,8156.883301,74.496727,37286,36864
xtensor,article_snn_recurrent,fsdd,snn-ae,direct,recurrent,2,1.500000,0.990000,1,42,7096950814052064792,0.050704,0.075639,0.012589,0.000000,0.000000,0.000000,0.957031,375990.000000,8033.954102,91.272911,37286,36864
xtensor,article_snn_recurrent,fsdd,lstm-ae,direct,lstm,1,0.000000,0.000000,2,43,7096950814052064792,0.996841,0.705411,0.003158,0.000000,0.000000,0.000000,0.000000,85238400.000000,305148.406250,1198.183716,120225,8523840
xtensor,article_snn_recurrent,fsdd,snn-ae,direct,recurrent,2,0.500000,0.800000,2,43,7096950814052064792,0.217509,0.307196,-0.193972,0.000000,0.000000,0.000000,0.886589,375449.000000,10209.405273,72.209541,37286,36864
xtensor,article_snn_recurrent,fsdd,snn-ae,direct,recurrent,2,0.500000,0.900000,2,43,7096950814052064792,0.231087,0.295419,-0.314526,0.000000,0.000000,0.000000,0.877214,375377.000000,6519.041016,73.310532,37286,36864
xtensor,article_snn_recurrent,fsdd,snn-ae,direct,recurrent,2,0.500000,0.990000,2,43,7096950814052064792,0.122492,0.164944,-0.080709,0.000000,0.000000,0.000000,0.939974,375859.000000,7030.630371,74.176147,37286,36864
xtensor,article_snn_recurrent,fsdd,snn-ae,direct,recurrent,2,1.000000,0.800000,2,43,7096950814052064792,0.140713,0.201394,-0.101178,0.000000,0.000000,0.000000,0.935677,375826.000000,7500.348633,73.321777,37286,36864
xtensor,article_snn_recurrent,fsdd,snn-ae,direct,recurrent,2,1.000000,0.900000,2,43,7096950814052064792,0.130129,0.204550,-0.046273,0.000000,0.000000,0.000000,0.988802,376234.000000,13048.791016,71.142990,37286,36864
