dataset,model,encoding,architecture,layers,v_th,alpha,run,seed,config_hash,mse,mae,r2,precision,recall,f1,spike_rate,energy,train_ms,infer_ms,param_count,macs
fsdd,lstm-ae,direct,lstm,1,0.000000,0.000000,1,42,17735587455430495871,1.454996,0.942768,-0.069850,0.000000,0.000000,0.000000,0.000000,2788000.000000,117667.546875,8.442375,3561,278800
fsdd,snn-ae,direct,dense,1,1.000000,0.900000,1,42,17735587455430495871,1.393162,0.896650,-0.024384,0.200000,1.000000,0.333333,0.510156,82573.000000,2365.989014,0.052381,8750,8192
fsdd,lstm-ae,direct,lstm,1,0.000000,0.000000,2,42,17735587455430495871,1.454996,0.942768,-0.069850,0.000000,0.000000,0.000000,0.000000,2788000.000000,119671.554688,8.254501,3561,278800
fsdd,snn-ae,direct,dense,1,1.000000,0.900000,2,42,17735587455430495871,1.393162,0.896650,-0.024384,0.200000,1.000000,0.333333,0.510156,82573.000000,2176.166260,0.034781,8750,8192
fsdd,lstm-ae,direct,lstm,1,0.000000,0.000000,3,42,17735587455430495871,1.454996,0.942768,-0.069850,0.000000,0.000000,0.000000,0.000000,2788000.000000,119126.226562,7.961586,3561,278800
fsdd,snn-ae,direct,dense,1,1.000000,0.900000,3,42,17735587455430495871,1.393162,0.896650,-0.024384,0.200000,1.000000,0.333333,0.510156,82573.000000,2927.147949,0.048401,8750,8192
fsdd,lstm-ae,direct,lstm,1,0.000000,0.000000,4,42,17735587455430495871,1.454996,0.942768,-0.069850,0.000000,0.000000,0.000000,0.000000,2788000.000000,117028.078125,8.298782,3561,278800
fsdd,snn-ae,direct,dense,1,1.000000,0.900000,4,42,17735587455430495871,1.393162,0.896650,-0.024384,0.200000,1.000000,0.333333,0.510156,82573.000000,3006.660645,0.034641,8750,8192
fsdd,lstm-ae,direct,lstm,1,0.000000,0.000000,5,42,17735587455430495871,1.454996,0.942768,-0.069850,0.000000,0.000000,0.000000,0.000000,2788000.000000,118090.953125,9.421974,3561,278800
fsdd,snn-ae,direct,dense,1,1.000000,0.900000,5,42,17735587455430495871,1.393162,0.896650,-0.024384,0.200000,1.000000,0.333333,0.510156,82573.000000,2952.424561,0.039740,8750,8192
fsdd,lstm-ae,direct,lstm,1,0.000000,0.000000,6,42,17735587455430495871,1.454996,0.942768,-0.069850,0.000000,0.000000,0.000000,0.000000,2788000.000000,118662.234375,8.979737,3561,278800
fsdd,snn-ae,direct,dense,1,1.000000,0.900000,6,42,17735587455430495871,1.393162,0.896650,-0.024384,0.200000,1.000000,0.333333,0.510156,82573.000000,2361.282471,0.055873,8750,8192
fsdd,lstm-ae,direct,lstm,1,0.000000,0.000000,7,42,17735587455430495871,1.454996,0.942768,-0.069850,0.000000,0.000000,0.000000,0.000000,2788000.000000,117155.281250,8.092261,3561,278800
fsdd,snn-ae,direct,dense,1,1.000000,0.900000,7,42,17735587455430495871,1.393162,0.896650,-0.024384,0.200000,1.000000,0.333333,0.510156,82573.000000,2882.484619,0.049168,8750,8192
fsdd,lstm-ae,direct,lstm,1,0.000000,0.000000,8,42,17735587455430495871,1.454996,0.942768,-0.069850,0.000000,0.000000,0.000000,0.000000,2788000.000000,121569.148438,8.618028,3561,278800
fsdd,snn-ae,direct,dense,1,1.000000,0.900000,8,42,17735587455430495871,1.393162,0.896650,-0.024384,0.200000,1.000000,0.333333,0.510156,82573.000000,2334.242676,0.042953,8750,8192
fsdd,lstm-ae,direct,lstm,1,0.000000,0.000000,9,42,17735587455430495871,1.454996,0.942768,-0.069850,0.000000,0.000000,0.000000,0.000000,2788000.000000,118274.085938,8.372675,3561,278800
fsdd,snn-ae,direct,dense,1,1.000000,0.900000,9,42,17735587455430495871,1.393162,0.896650,-0.024384,0.200000,1.000000,0.333333,0.510156,82573.000000,2243.046387,0.041835,8750,8192
fsdd,lstm-ae,direct,lstm,1,0.000000,0.000000,10,42,17735587455430495871,1.454996,0.942768,-0.069850,0.000000,0.000000,0.000000,0.000000,2788000.000000,118372.843750,8.410249,3561,278800
fsdd,snn-ae,direct,dense,1,1.000000,0.900000,10,42,17735587455430495871,1.393162,0.896650,-0.024384,0.200000,1.000000,0.333333,0.510156,82573.000000,2452.348145,0.036666,8750,8192
