backend,profile,dataset,model,encoding,architecture,layers,v_th,alpha,run,seed,config_hash,split,cv_fold,mse,mae,r2,precision,recall,f1,spike_rate,energy,train_ms,infer_ms,param_count,macs
xtensor,meeting01_loso,audiomnist,lstm-ae,direct,lstm,1,0.000000,0.000000,1,42,3555943625641351436,val,0,0.011317,0.024989,0.988684,0.000000,0.000000,0.000000,0.000000,11842560.000000,438344.406250,2214.077148,122472,1184256
xtensor,meeting01_loso,audiomnist,lstm-ae,direct,lstm,1,0.000000,0.000000,1,42,3555943625641351436,test,0,0.014037,0.028724,0.985955,0.000000,0.000000,0.000000,0.000000,11842560.000000,0.000000,0.000000,122472,1184256
xtensor,meeting01_loso,audiomnist,gru-ae,direct,gru,1,0.000000,0.000000,1,42,3555943625641351436,val,0,0.001162,0.008693,0.998838,0.000000,0.000000,0.000000,0.000000,8893440.000000,470022.781250,3262.815430,93032,889344
xtensor,meeting01_loso,audiomnist,gru-ae,direct,gru,1,0.000000,0.000000,1,42,3555943625641351436,test,0,0.003466,0.012358,0.996530,0.000000,0.000000,0.000000,0.000000,8893440.000000,0.000000,0.000000,93032,889344
xtensor,meeting01_loso,audiomnist,transformer-ae,direct,transformer,1,0.000000,0.000000,1,42,3555943625641351436,val,0,0.001109,0.007741,0.998891,0.000000,0.000000,0.000000,0.000000,47554560.000000,125823.921875,603.899170,139176,4755456
xtensor,meeting01_loso,audiomnist,transformer-ae,direct,transformer,1,0.000000,0.000000,1,42,3555943625641351436,test,0,0.003309,0.010990,0.996688,0.000000,0.000000,0.000000,0.000000,47554560.000000,0.000000,0.000000,139176,4755456
xtensor,meeting01_loso,audiomnist,snn-ae,direct,dense,2,0.500000,0.800000,1,42,3555943625641351436,val,0,0.001180,0.006687,0.998820,0.000000,0.000000,0.000000,0.046875,372240.000000,14113.863281,11.786076,37286,36864
xtensor,meeting01_loso,audiomnist,snn-ae,direct,dense,2,0.500000,0.900000,1,42,3555943625641351436,val,0,0.001201,0.006521,0.998799,0.000000,0.000000,0.000000,0.046875,372240.000000,12883.685547,10.759192,37286,36864
xtensor,meeting01_loso,audiomnist,snn-ae,direct,dense,2,0.500000,0.990000,1,42,3555943625641351436,val,0,0.001228,0.008915,0.998772,0.000000,0.000000,0.000000,0.046875,372240.000000,13435.416992,10.923181,37286,36864
xtensor,meeting01_loso,audiomnist,snn-ae,direct,dense,2,1.000000,0.800000,1,42,3555943625641351436,val,0,0.001206,0.006928,0.998794,0.000000,0.000000,0.000000,0.046875,372240.000000,13457.297852,11.039258,37286,36864
xtensor,meeting01_loso,audiomnist,snn-ae,direct,dense,2,1.000000,0.900000,1,42,3555943625641351436,val,0,0.000887,0.009134,0.999113,0.000000,0.000000,0.000000,0.046875,372240.000000,13342.431641,11.849212,37286,36864
xtensor,meeting01_loso,audiomnist,snn-ae,direct,dense,2,1.000000,0.990000,1,42,3555943625641351436,val,0,0.000564,0.005490,0.999436,0.000000,0.000000,0.000000,0.046875,372240.000000,32467.353516,11.222941,37286,36864
xtensor,meeting01_loso,audiomnist,snn-ae,direct,dense,2,1.500000,0.800000,1,42,3555943625641351436,val,0,0.000743,0.016799,0.999257,0.000000,0.000000,0.000000,0.046875,372240.000000,34569.957031,10.403906,37286,36864
xtensor,meeting01_loso,audiomnist,snn-ae,direct,dense,2,1.500000,0.900000,1,42,3555943625641351436,val,0,0.002330,0.023515,0.997670,0.000000,0.000000,0.000000,0.046875,372240.000000,36057.578125,11.127117,37286,36864
xtensor,meeting01_loso,audiomnist,snn-ae,direct,dense,2,1.500000,0.990000,1,42,3555943625641351436,val,0,0.001200,0.006516,0.998800,0.000000,0.000000,0.000000,0.046875,372240.000000,12984.610352,12.344320,37286,36864
xtensor,meeting01_loso,audiomnist,snn-ae,direct,conv1d,2,0.500000,0.800000,1,42,3555943625641351436,val,0,0.000337,0.005723,0.999554,0.000000,0.000000,0.000000,0.074219,374340.000000,14213.265625,158.654892,37286,36864
xtensor,meeting01_loso,audiomnist,snn-ae,direct,conv1d,2,0.500000,0.900000,1,42,3555943625641351436,val,0,0.000409,0.007383,0.999458,0.000000,0.000000,0.000000,0.074219,374340.000000,14702.993164,51.540417,37286,36864
xtensor,meeting01_loso,audiomnist,snn-ae,direct,conv1d,2,0.500000,0.990000,1,42,3555943625641351436,val,0,0.000389,0.006126,0.999484,0.000000,0.000000,0.000000,0.074219,374340.000000,14696.048828,12.067397,37286,36864
xtensor,meeting01_loso,audiomnist,snn-ae,direct,conv1d,2,1.000000,0.800000,1,42,3555943625641351436,val,0,0.000333,0.005720,0.999559,0.000000,0.000000,0.000000,0.074219,374340.000000,13592.322266,12.320503,37286,36864
xtensor,meeting01_loso,audiomnist,snn-ae,direct,conv1d,2,1.000000,0.900000,1,42,3555943625641351436,val,0,0.000332,0.006006,0.999560,0.000000,0.000000,0.000000,0.074219,374340.000000,13040.226562,12.159239,37286,36864
xtensor,meeting01_loso,audiomnist,snn-ae,direct,conv1d,2,1.000000,0.990000,1,42,3555943625641351436,val,0,0.000336,0.005656,0.999555,0.000000,0.000000,0.000000,0.074219,374340.000000,13333.758789,13.323850,37286,36864
xtensor,meeting01_loso,audiomnist,snn-ae,direct,conv1d,2,1.500000,0.800000,1,42,3555943625641351436,val,0,0.000392,0.006223,0.999480,0.000000,0.000000,0.000000,0.074219,374340.000000,14712.042969,36.108952,37286,36864
xtensor,meeting01_loso,audiomnist,snn-ae,direct,conv1d,2,1.500000,0.900000,1,42,3555943625641351436,val,0,0.000339,0.006096,0.999550,0.000000,0.000000,0.000000,0.074219,374340.000000,13426.938477,12.054337,37286,36864
xtensor,meeting01_loso,audiomnist,snn-ae,direct,conv1d,2,1.500000,0.990000,1,42,3555943625641351436,val,0,0.000349,0.006298,0.999537,0.000000,0.000000,0.000000,0.074219,374340.000000,12938.712891,12.218884,37286,36864
xtensor,meeting01_loso,audiomnist,snn-ae,direct,recurrent,2,0.500000,0.800000,1,42,3555943625641351436,val,0,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.433594,401940.000000,50071.351562,1003.357544,37286,36864
xtensor,meeting01_loso,audiomnist,snn-ae,direct,recurrent,2,0.500000,0.900000,1,42,3555943625641351436,val,0,0.000000,0.000011,0.999999,0.000000,0.000000,0.000000,0.585925,413639.000000,174339.718750,1028.438599,37286,36864
xtensor,meeting01_loso,audiomnist,snn-ae,direct,recurrent,2,0.500000,0.990000,1,42,3555943625641351436,val,0,0.000125,0.000908,0.999300,0.000000,0.000000,0.000000,0.637578,417606.000000,102283.429688,1006.851013,37286,36864
xtensor,meeting01_loso,audiomnist,snn-ae,direct,recurrent,2,1.000000,0.800000,1,42,3555943625641351436,val,0,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.445312,402840.000000,70286.398438,924.853821,37286,36864
xtensor,meeting01_loso,audiomnist,snn-ae,direct,recurrent,2,1.000000,0.900000,1,42,3555943625641351436,val,0,0.000000,0.000161,0.999997,0.000000,0.000000,0.000000,0.452969,403428.000000,96657.210938,1004.422058,37286,36864
xtensor,meeting01_loso,audiomnist,snn-ae,direct,recurrent,2,1.000000,0.990000,1,42,3555943625641351436,val,0,0.000001,0.000314,0.999988,0.000000,0.000000,0.000000,0.574922,412794.000000,153491.828125,1100.552856,37286,36864
xtensor,meeting01_loso,audiomnist,snn-ae,direct,recurrent,2,1.500000,0.800000,1,42,3555943625641351436,val,0,0.000000,0.000224,0.999995,0.000000,0.000000,0.000000,0.536406,409836.000000,110417.796875,967.792297,37286,36864
xtensor,meeting01_loso,audiomnist,snn-ae,direct,recurrent,2,1.500000,0.900000,1,42,3555943625641351436,val,0,0.000013,0.000242,0.999823,0.000000,0.000000,0.000000,0.523906,408876.000000,90858.296875,995.715088,37286,36864
xtensor,meeting01_loso,audiomnist,snn-ae,direct,recurrent,2,1.500000,0.990000,1,42,3555943625641351436,val,0,0.000162,0.000357,0.998381,0.000000,0.000000,0.000000,0.382812,398040.000000,43958.148438,969.605713,37286,36864
xtensor,meeting01_loso,audiomnist,snn-ae,direct,recurrent,2,0.500000,0.800000,1,42,3555943625641351436,test,0,0.003200,0.045845,0.964903,0.000000,0.000000,0.000000,0.535156,574140.000000,58115.257812,1056.283081,37286,36864
xtensor,meeting01_loso,audiomnist,lstm-ae,direct,lstm,1,0.000000,0.000000,2,43,3555943625641351436,val,0,0.011317,0.024989,0.988684,0.000000,0.000000,0.000000,0.000000,11842560.000000,436784.875000,1957.175049,122472,1184256
xtensor,meeting01_loso,audiomnist,lstm-ae,direct,lstm,1,0.000000,0.000000,2,43,3555943625641351436,test,0,0.014037,0.028724,0.985955,0.000000,0.000000,0.000000,0.000000,11842560.000000,0.000000,0.000000,122472,1184256
xtensor,meeting01_loso,audiomnist,gru-ae,direct,gru,1,0.000000,0.000000,2,43,3555943625641351436,val,0,0.001162,0.008693,0.998838,0.000000,0.000000,0.000000,0.000000,8893440.000000,477480.437500,3660.448730,93032,889344
xtensor,meeting01_loso,audiomnist,gru-ae,direct,gru,1,0.000000,0.000000,2,43,3555943625641351436,test,0,0.003466,0.012358,0.996530,0.000000,0.000000,0.000000,0.000000,8893440.000000,0.000000,0.000000,93032,889344
xtensor,meeting01_loso,audiomnist,transformer-ae,direct,transformer,1,0.000000,0.000000,2,43,3555943625641351436,val,0,0.001109,0.007741,0.998891,0.000000,0.000000,0.000000,0.000000,47554560.000000,120894.390625,521.354065,139176,4755456
xtensor,meeting01_loso,audiomnist,transformer-ae,direct,transformer,1,0.000000,0.000000,2,43,3555943625641351436,test,0,0.003309,0.010990,0.996688,0.000000,0.000000,0.000000,0.000000,47554560.000000,0.000000,0.000000,139176,4755456
xtensor,meeting01_loso,audiomnist,snn-ae,direct,dense,2,0.500000,0.800000,2,43,3555943625641351436,val,0,0.001198,0.006453,0.998802,0.000000,0.000000,0.000000,0.046875,372240.000000,13045.814453,16.030626,37286,36864
xtensor,meeting01_loso,audiomnist,snn-ae,direct,dense,2,0.500000,0.900000,2,43,3555943625641351436,val,0,0.000888,0.006303,0.999112,0.000000,0.000000,0.000000,0.046875,372240.000000,13004.127930,11.470173,37286,36864
xtensor,meeting01_loso,audiomnist,snn-ae,direct,dense,2,0.500000,0.990000,2,43,3555943625641351436,val,0,0.001203,0.006640,0.998797,0.000000,0.000000,0.000000,0.046875,372240.000000,12926.564453,11.183054,37286,36864
xtensor,meeting01_loso,audiomnist,snn-ae,direct,dense,2,1.000000,0.800000,2,43,3555943625641351436,val,0,0.000442,0.006673,0.999558,0.000000,0.000000,0.000000,0.046875,372240.000000,40497.488281,10.967802,37286,36864
xtensor,meeting01_loso,audiomnist,snn-ae,direct,dense,2,1.000000,0.900000,2,43,3555943625641351436,val,0,0.002598,0.024096,0.997402,0.000000,0.000000,0.000000,0.046875,372240.000000,19533.591797,12.212800,37286,36864
xtensor,meeting01_loso,audiomnist,snn-ae,direct,dense,2,1.000000,0.990000,2,43,3555943625641351436,val,0,0.001205,0.008446,0.998795,0.000000,0.000000,0.000000,0.046875,372240.000000,13169.875977,72.739502,37286,36864
xtensor,meeting01_loso,audiomnist,snn-ae,direct,dense,2,1.500000,0.800000,2,43,3555943625641351436,val,0,0.001172,0.022223,0.998828,0.000000,0.000000,0.000000,0.046875,372240.000000,20966.101562,12.817979,37286,36864
xtensor,meeting01_loso,audiomnist,snn-ae,direct,dense,2,1.500000,0.900000,2,43,3555943625641351436,val,0,0.001208,0.007105,0.998792,0.000000,0.000000,0.000000,0.046875,372240.000000,13047.195312,10.934069,37286,36864
xtensor,meeting01_loso,audiomnist,snn-ae,direct,dense,2,1.500000,0.990000,2,43,3555943625641351436,val,0,0.001227,0.008839,0.998773,0.000000,0.000000,0.000000,0.046875,372240.000000,13236.473633,15.187219,37286,36864
xtensor,meeting01_loso,audiomnist,snn-ae,direct,conv1d,2,0.500000,0.800000,2,43,3555943625641351436,val,0,0.000333,0.005801,0.999559,0.000000,0.000000,0.000000,0.074219,374340.000000,13676.626953,11.983090,37286,36864
xtensor,meeting01_loso,audiomnist,snn-ae,direct,conv1d,2,0.500000,0.900000,2,43,3555943625641351436,val,0,0.000328,0.005486,0.999566,0.000000,0.000000,0.000000,0.074219,374340.000000,13254.553711,57.154892,37286,36864
xtensor,meeting01_loso,audiomnist,snn-ae,direct,conv1d,2,0.500000,0.990000,2,43,3555943625641351436,val,0,0.000354,0.005614,0.999531,0.000000,0.000000,0.000000,0.074219,374340.000000,13182.564453,13.134222,37286,36864
xtensor,meeting01_loso,audiomnist,snn-ae,direct,conv1d,2,1.000000,0.800000,2,43,3555943625641351436,val,0,0.000454,0.012145,0.999398,0.000000,0.000000,0.000000,0.074219,374340.000000,13359.078125,12.762804,37286,36864
xtensor,meeting01_loso,audiomnist,snn-ae,direct,conv1d,2,1.000000,0.900000,2,43,3555943625641351436,val,0,0.000407,0.007044,0.999460,0.000000,0.000000,0.000000,0.074219,374340.000000,15686.593750,12.223486,37286,36864
xtensor,meeting01_loso,audiomnist,snn-ae,direct,conv1d,2,1.000000,0.990000,2,43,3555943625641351436,val,0,0.000346,0.005701,0.999542,0.000000,0.000000,0.000000,0.074219,374340.000000,13421.809570,12.163004,37286,36864
xtensor,meeting01_loso,audiomnist,snn-ae,direct,conv1d,2,1.500000,0.800000,2,43,3555943625641351436,val,0,0.000342,0.005876,0.999546,0.000000,0.000000,0.000000,0.074219,374340.000000,13432.160156,12.129689,37286,36864
xtensor,meeting01_loso,audiomnist,snn-ae,direct,conv1d,2,1.500000,0.900000,2,43,3555943625641351436,val,0,0.000340,0.005665,0.999549,0.000000,0.000000,0.000000,0.074219,374340.000000,13251.776367,11.658886,37286,36864
xtensor,meeting01_loso,audiomnist,snn-ae,direct,conv1d,2,1.500000,0.990000,2,43,3555943625641351436,val,0,0.000346,0.006221,0.999542,0.000000,0.000000,0.000000,0.074219,374340.000000,13578.783203,14.617101,37286,36864
xtensor,meeting01_loso,audiomnist,snn-ae,direct,recurrent,2,0.500000,0.800000,2,43,3555943625641351436,val,0,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.371094,397140.000000,50561.246094,954.606079,37286,36864
xtensor,meeting01_loso,audiomnist,snn-ae,direct,recurrent,2,0.500000,0.900000,2,43,3555943625641351436,val,0,0.000016,0.000131,0.999851,0.000000,0.000000,0.000000,0.390625,398640.000000,70129.406250,999.019531,37286,36864
xtensor,meeting01_loso,audiomnist,snn-ae,direct,recurrent,2,0.500000,0.990000,2,43,3555943625641351436,val,0,0.000001,0.000637,0.999995,0.000000,0.000000,0.000000,0.615391,415902.000000,100606.179688,1057.016235,37286,36864
xtensor,meeting01_loso,audiomnist,snn-ae,direct,recurrent,2,1.000000,0.800000,2,43,3555943625641351436,val,0,0.000000,0.000001,1.000000,0.000000,0.000000,0.000000,0.207031,384540.000000,57370.371094,962.121704,37286,36864
