Model,Codificacao,Camadas,MSE,MAE,R2,F1,SpikeRate,Energia,TempoTreinoMs
gru-ae,direct,1,0.00231414,0.0105257,0.997684,0,0,8.89344e+06,236589
gru-ae,latency,1,7.46304e-06,0.00174222,0.999042,0,0,8.89344e+06,784722
gru-ae,poisson,1,0.00843878,0.0187372,0.686394,0,0,8.89344e+06,389544
lstm-ae,direct,1,0.0126767,0.0268567,0.987319,0,0,1.18426e+07,219001
lstm-ae,latency,1,4.46633e-05,0.00179648,0.994269,0,0,1.18426e+07,436236
lstm-ae,poisson,1,0.00895053,0.0201452,0.667382,0,0,1.18426e+07,278615
snn-ae,direct,2,0.000527527,0.00710389,0.999301,0,0.0750243,374402,13748.7
snn-ae,direct,2,0.00115975,0.00946277,0.99884,0,0.046875,372240,16821.8
snn-ae,direct,2,0.00128425,0.00798661,0.985207,0,0.453843,415540,86350.6
snn-ae,latency,2,1.50238e-05,0.000888376,0.996114,0,0.514571,418459,75903.5
snn-ae,latency,2,0.00020994,0.00135609,0.972982,0,0.504038,413784,68287
snn-ae,latency,2,0.000271511,0.00210563,-0.658423,0,0.506952,407574,250953
snn-ae,poisson,2,0.0552026,0.157574,-2.18154,0,0.523692,408860,32837.4
snn-ae,poisson,2,0.0632412,0.165815,-1.3369,0,0.514049,418000,20664.2
snn-ae,poisson,2,0.0604179,0.154362,-1.46935,0,0.510589,414394,116754
transformer-ae,direct,1,0.00220912,0.00936568,0.997789,0,0,4.75546e+07,61677.7
transformer-ae,latency,1,4.36134e-05,0.000563082,0.994413,0,0,4.75546e+07,168310
transformer-ae,poisson,1,0.00132767,0.00366154,0.950635,0,0,4.75546e+07,126651
