backend,profile,dataset,model,encoding,architecture,layers,v_th,alpha,run,seed,config_hash,split,cv_fold,mse,mae,r2,precision,recall,f1,spike_rate,energy,train_ms,infer_ms,param_count,macs
xtensor,meeting01_loso,fsdd,lstm-ae,direct,lstm,1,0.000000,0.000000,1,42,1327769346908022152,val,3,0.013795,0.060463,0.986206,0.000000,0.000000,0.000000,0.000000,11842560.000000,832071.125000,1629.494873,122472,1184256
xtensor,meeting01_loso,fsdd,lstm-ae,direct,lstm,1,0.000000,0.000000,1,42,1327769346908022152,test,3,1.280855,0.684370,-0.280755,0.000000,0.000000,0.000000,0.000000,11842560.000000,0.000000,0.000000,122472,1184256
xtensor,meeting01_loso,fsdd,gru-ae,direct,gru,1,0.000000,0.000000,1,42,1327769346908022152,val,3,0.012556,0.056844,0.987444,0.000000,0.000000,0.000000,0.000000,8893440.000000,597615.187500,2891.489746,93032,889344
xtensor,meeting01_loso,fsdd,gru-ae,direct,gru,1,0.000000,0.000000,1,42,1327769346908022152,test,3,1.326848,0.691100,-0.326773,0.000000,0.000000,0.000000,0.000000,8893440.000000,0.000000,0.000000,93032,889344
xtensor,meeting01_loso,fsdd,transformer-ae,direct,transformer,1,0.000000,0.000000,1,42,1327769346908022152,val,3,0.012748,0.055913,0.987252,0.000000,0.000000,0.000000,0.000000,47554560.000000,149432.687500,440.823608,139176,4755456
xtensor,meeting01_loso,fsdd,transformer-ae,direct,transformer,1,0.000000,0.000000,1,42,1327769346908022152,test,3,1.016620,0.648877,-0.016520,0.000000,0.000000,0.000000,0.000000,47554560.000000,0.000000,0.000000,139176,4755456
xtensor,meeting01_loso,fsdd,snn-ae,direct,dense,2,0.500000,0.800000,1,42,1327769346908022152,val,3,0.010666,0.062477,0.989334,0.000000,0.000000,0.000000,0.051784,372617.000000,8948.641602,10.953950,37286,36864
xtensor,meeting01_loso,fsdd,snn-ae,direct,dense,2,0.500000,0.900000,1,42,1327769346908022152,val,3,0.011815,0.058117,0.988185,0.000000,0.000000,0.000000,0.050781,372540.000000,8897.597656,11.753985,37286,36864
xtensor,meeting01_loso,fsdd,snn-ae,direct,dense,2,0.500000,0.990000,1,42,1327769346908022152,val,3,0.015266,0.067364,0.984734,0.000000,0.000000,0.000000,0.060195,373263.000000,7700.172363,11.199652,37286,36864
xtensor,meeting01_loso,fsdd,snn-ae,direct,dense,2,1.000000,0.800000,1,42,1327769346908022152,val,3,0.010673,0.054683,0.989327,0.000000,0.000000,0.000000,0.054505,372826.000000,7678.971191,25.069906,37286,36864
xtensor,meeting01_loso,fsdd,snn-ae,direct,dense,2,1.000000,0.900000,1,42,1327769346908022152,val,3,0.013339,0.073062,0.986661,0.000000,0.000000,0.000000,0.061966,373399.000000,8973.454102,11.042159,37286,36864
