model,encoding,architecture,v_th,alpha,run_id,seed,cv_fold,split,speaker_id,recording_id,window_id,source_window_index,mse,mae
gru-ae,,gru,0.00000000,0.00000000,5,46,5,val,0,0,0,0,0.05952944,0.07190580
gru-ae,,gru,0.00000000,0.00000000,5,46,5,val,0,1,10,0,0.01209728,0.02453611
gru-ae,,gru,0.00000000,0.00000000,5,46,5,val,0,2,29,0,0.00809153,0.02053033
gru-ae,,gru,0.00000000,0.00000000,5,46,5,val,0,3,53,0,0.01049189,0.02293063
gru-ae,,gru,0.00000000,0.00000000,5,46,5,val,0,4,68,0,0.01287643,0.02529534
gru-ae,,gru,0.00000000,0.00000000,5,46,5,val,0,5,84,0,0.01236502,0.02480382
gru-ae,,gru,0.00000000,0.00000000,5,46,5,val,0,6,101,0,0.01206522,0.02450398
gru-ae,,gru,0.00000000,0.00000000,5,46,5,val,0,7,118,0,0.00895752,0.02139632
gru-ae,,gru,0.00000000,0.00000000,5,46,5,val,0,8,135,0,0.00721686,0.01965563
gru-ae,,gru,0.00000000,0.00000000,5,46,5,val,0,9,155,0,0.00754825,0.01998705
gru-ae,,gru,0.00000000,0.00000000,5,46,5,val,0,10,174,0,0.01588945,0.02832831
gru-ae,,gru,0.00000000,0.00000000,5,46,5,val,0,11,196,0,0.01054232,0.02298112
gru-ae,,gru,0.00000000,0.00000000,5,46,5,val,0,12,214,0,0.01277450,0.02521326
gru-ae,,gru,0.00000000,0.00000000,5,46,5,val,0,13,235,0,0.01275399,0.02519276
gru-ae,,gru,0.00000000,0.00000000,5,46,5,val,0,14,252,0,0.01592004,0.02833795
gru-ae,,gru,0.00000000,0.00000000,5,46,5,val,0,15,269,0,0.01570255,0.02814132
gru-ae,,gru,0.00000000,0.00000000,5,46,5,val,0,16,285,0,0.00749478,0.01993354
gru-ae,,gru,0.00000000,0.00000000,5,46,5,val,0,17,301,0,0.01204371,0.02448252
gru-ae,,gru,0.00000000,0.00000000,5,46,5,val,0,18,317,0,0.00603664,0.01847542
gru-ae,,gru,0.00000000,0.00000000,5,46,5,val,0,19,332,0,0.01500105,0.02743985
gru-ae,,gru,0.00000000,0.00000000,5,46,5,val,0,20,352,0,0.00870686,0.02114566
gru-ae,,gru,0.00000000,0.00000000,5,46,5,val,0,21,370,0,0.00859170,0.02103047
gru-ae,,gru,0.00000000,0.00000000,5,46,5,val,0,22,388,0,0.01344707,0.02588686
gru-ae,,gru,0.00000000,0.00000000,5,46,5,val,0,23,405,0,0.00990486,0.02234363
gru-ae,,gru,0.00000000,0.00000000,5,46,5,val,0,24,425,0,0.00787528,0.02031405
gru-ae,,gru,0.00000000,0.00000000,5,46,5,val,0,25,438,0,0.01538600,0.02782257
gru-ae,,gru,0.00000000,0.00000000,5,46,5,val,0,26,447,0,0.00534787,0.01778664
gru-ae,,gru,0.00000000,0.00000000,5,46,5,val,0,27,465,0,0.01032519,0.02276394
gru-ae,,gru,0.00000000,0.00000000,5,46,5,val,0,28,480,0,0.02032567,0.03276562
gru-ae,,gru,0.00000000,0.00000000,5,46,5,val,0,29,495,0,0.05646526,0.06887488
gru-ae,,gru,0.00000000,0.00000000,5,46,5,val,0,30,509,0,0.00609873,0.01853749
gru-ae,,gru,0.00000000,0.00000000,5,46,5,val,0,31,522,0,0.01357734,0.02601610
gru-ae,,gru,0.00000000,0.00000000,5,46,5,val,0,32,533,0,0.01330583,0.02572738
