Model,Codificacao,Camadas,MSE,MAE,R2,F1,SpikeRate,Energia,TempoTreinoMs
gru-ae,direct,1,0.694223,0.392955,0.305605,0,0,8.89344e+06,598448
gru-ae,latency,1,0.0727126,0.110289,0.644183,0,0,8.89344e+06,924896
gru-ae,poisson,1,0.0611639,0.0772779,0.265865,0,0,8.89344e+06,459706
lstm-ae,direct,1,0.670678,0.384474,0.329077,0,0,1.18426e+07,985763
lstm-ae,latency,1,0.0909611,0.118807,0.573381,0,0,1.18426e+07,471921
lstm-ae,poisson,1,0.0621519,0.0754053,0.255281,0,0,1.18426e+07,461236
snn-ae,direct,2,0.0819185,0.157445,0.889712,0.45306,0.138368,379267,32346.9
snn-ae,direct,2,0.0978622,0.172108,0.902141,0.464286,0.114031,377398,36264.4
snn-ae,direct,2,0.0487658,0.0703822,0.527003,0.0778868,0.533252,426618,174302
snn-ae,latency,2,0.0427965,0.0874055,0.573043,0.0506068,0.640046,438137,34999.9
snn-ae,latency,2,0.0354735,0.0787543,0.580311,0.06774,0.632313,417202,31741.7
snn-ae,latency,2,0.036243,0.0837723,0.477068,0.0607838,0.616699,416002,122413
snn-ae,poisson,2,0.0548887,0.152275,-2.00986,0.268326,0.534066,409656,24868
snn-ae,poisson,2,0.0710152,0.172443,-1.30824,0.293171,0.507102,407585,22888.4
snn-ae,poisson,2,0.0647306,0.15316,-1.26669,0.236147,0.515462,423960,110346
transformer-ae,direct,1,0.592085,0.372612,0.407723,0,0,4.75546e+07,97655.7
transformer-ae,latency,1,0.0766624,0.13004,0.606024,0,0,4.75546e+07,63313.3
transformer-ae,poisson,1,0.0566187,0.0672031,0.372556,0,0,4.75546e+07,162685
