born_generation,depth,latent,encoder_widths,encoding,time_steps,voltage_threshold,winning_seed_offset,alpha,beta,g1,g2,d_truth,d_penalized_mean,d_penalized_std,latent_activity,param_count,inference_cost,est_latency_ms,feasible,constraint_violation
0,3,24,122-102-24,direct,1,1,1,0.280982,0.933052,-0.652071,0.214034,1.66588,1.79809,0.00486403,0.314574,92976,46124,0.092248,1,0
0,6,3,91-84-77-43-19-3,direct,1,1,0,0.159461,0.906658,-0.747197,0.0661191,1.74845,1.80675,0.0140715,0.543392,84073,41593,0.083186,1,0
0,5,1,121-107-28-24-1,direct,1,1,2,0.0513848,0.906746,-0.855361,-0.0418691,1.85583,1.88826,0.00675811,0.370096,96047,47615,0.09523,1,0
0,2,68,79-68,direct,1,1,0,0.256978,0.932746,-0.675767,0.189724,1.68647,1.80064,0.00259056,0.223124,51674,25596,0.051192,1,0
0,2,12,59-12,direct,1,1,2,0.23071,0.92586,-0.69515,0.15657,1.70236,1.8064,0.00882488,0.364463,32010,15812,0.031624,1,0
0,4,9,88-58-22-9,direct,1,1,1,0.207827,0.914594,-0.706767,0.122422,1.71115,1.80416,0.0265939,0.326178,58813,29106,0.058212,1,0
0,6,3,124-104-73-50-39-3,direct,1,1,1,0.239224,0.91261,-0.673386,0.151834,1.68026,1.79051,0.0187928,0.456659,116937,57949,0.115898,1,0
0,3,16,88-79-16,direct,1,1,1,0.253553,0.931779,-0.678226,0.185332,1.68843,1.80101,0.00322873,0.373152,62094,30744,0.061488,1,0
0,2,24,85-24,direct,1,1,1,0.272929,0.932044,-0.659114,0.204973,1.67173,1.79527,0.00252378,0.294321,48050,23800,0.0476,1,0
0,6,51,121-119-115-100-58-51,direct,1,1,0,0.260934,0.931637,-0.670703,0.192571,1.68176,1.79564,0.000878713,0.261622,159969,79318,0.158636,1,0
0,6,6,74-67-42-26-12-6,direct,1,1,2,0.153297,0.920855,-0.767558,0.0741523,1.76911,1.81495,0.00228175,0.507105,57088,28192,0.056384,1,0
0,3,36,124-78-36,direct,1,1,0,0.251655,0.934693,-0.683038,0.186348,1.69332,1.80581,0.00239037,0.278555,89144,44224,0.088448,1,0
0,1,127,127,direct,1,1,0,0.287464,0.935716,-0.648253,0.22318,1.66329,1.79778,0.00353672,0.213102,65407,32512,0.065024,1,0
0,2,91,92-91,direct,1,1,1,0.288863,0.935435,-0.646572,0.224298,1.66178,1.79589,0.0021693,0.206616,64379,31924,0.063848,1,0
0,5,10,119-84-78-46-10,direct,1,1,1,0.224383,0.924272,-0.69989,0.148655,1.70638,1.80013,0.00545185,0.436971,103040,51060,0.10212,1,0
0,3,40,86-42-40,direct,1,1,2,0.261288,0.930665,-0.669377,0.191953,1.68038,1.79704,0.00298824,0.289849,55168,27308,0.054616,1,0
0,3,16,125-50-16,direct,1,1,0,0.240125,0.933325,-0.6932,0.17345,1.70206,1.80714,0.00275806,0.359685,78722,39050,0.0781,1,0
0,5,31,99-93-72-33-31,direct,1,1,1,0.256564,0.92576,-0.669196,0.182323,1.67912,1.79939,0.0135595,0.269284,90173,44646,0.089292,1,0
0,1,26,26,direct,1,1,1,0.240712,0.92995,-0.689238,0.170662,1.69784,1.80117,0.00380319,0.338082,13594,6656,0.013312,1,0
0,5,18,117-78-53-32-18,direct,1,1,0,0.205273,0.922296,-0.717023,0.127569,1.72176,1.80256,0.00447724,0.388337,91802,45484,0.090968,1,0
0,1,77,77,direct,1,1,0,0.281215,0.934806,-0.653591,0.216021,1.66764,1.79557,0.000980644,0.246724,39757,19712,0.039424,1,0
0,6,14,112-104-82-80-38-14,direct,1,1,1,0.205473,0.927012,-0.72154,0.132485,1.72663,1.8053,0.000800257,0.38794,119062,58980,0.11796,1,0
0,2,24,54-24,direct,1,1,0,0.292723,0.93147,-0.638747,0.224194,1.65401,1.79143,0.00550958,0.284011,30628,15120,0.03024,1,0
0,5,1,111-46-40-22-1,direct,1,1,1,0.0466124,0.905688,-0.859075,-0.0476998,1.85969,1.89259,0.00358908,0.668138,73223,36264,0.072528,1,0
0,3,29,89-63-29,direct,1,1,2,0.242166,0.931404,-0.689238,0.17357,1.69813,1.80183,0.00146974,0.314941,61025,30218,0.060436,1,0
0,3,9,125-47-9,direct,1,1,1,0.234311,0.923883,-0.689572,0.158194,1.69696,1.79961,0.0106318,0.404395,77205,38298,0.076596,1,0
0,3,19,92-39-19,direct,1,1,2,0.245631,0.929859,-0.684229,0.17549,1.69335,1.80429,0.00607059,0.327773,56299,27881,0.055762,1,0
0,4,7,126-65-53-7,direct,1,1,0,0.187613,0.918745,-0.731132,0.106358,1.7344,1.80661,0.00951976,0.56517,89275,44262,0.088524,1,0
0,3,31,117-82-31,direct,1,1,1,0.233556,0.930329,-0.696773,0.163886,1.70467,1.8029,0.00159248,0.286224,84861,42088,0.084176,1,0
