born_generation,depth,latent,encoder_widths,encoding,time_steps,voltage_threshold,winning_seed_offset,alpha,beta,g1,g2,d_truth,d_penalized_mean,d_penalized_std,latent_activity,param_count,inference_cost,est_latency_ms,feasible,constraint_violation
0,3,24,122-102-24,direct,1,1,1,0.273773,0.931228,-0.657455,0.205001,1.67008,1.79356,0.00387106,0.282693,92976,46124,0.092248,1,0
0,6,3,91-84-77-43-19-3,direct,1,1,2,0.124128,0.91239,-0.788261,0.036518,1.78863,1.81638,0.00477496,0.465792,84073,41593,0.083186,1,0
0,5,1,121-107-28-24-1,direct,1,1,1,0.0498873,0.906085,-0.856197,-0.0440281,1.85672,1.88869,0.00692087,0.594037,96047,47615,0.09523,1,0
0,2,68,79-68,direct,1,1,0,0.26658,0.934607,-0.668027,0.201188,1.68012,1.80087,0.00338139,0.218317,51674,25596,0.051192,1,0
0,2,12,59-12,direct,1,1,1,0.241098,0.92284,-0.681741,0.163938,1.68971,1.79537,0.00873289,0.335785,32010,15812,0.031624,1,0
0,4,9,88-58-22-9,direct,1,1,0,0.207852,0.925691,-0.717838,0.133543,1.72302,1.8094,0.00581162,0.364322,58813,29106,0.058212,1,0
0,6,3,124-104-73-50-39-3,direct,1,1,0,0.185842,0.905556,-0.719714,0.0913974,1.72214,1.79037,0.020332,0.419503,116937,57949,0.115898,1,0
0,3,16,88-79-16,direct,1,1,0,0.248307,0.934631,-0.686324,0.182939,1.69622,1.81064,0.00613863,0.326134,62094,30744,0.061488,1,0
0,2,24,85-24,direct,1,1,0,0.266416,0.934381,-0.667965,0.200796,1.68001,1.80223,0.00376517,0.290846,48050,23800,0.0476,1,0
0,6,51,121-119-115-100-58-51,direct,1,1,1,0.263389,0.926253,-0.662864,0.189642,1.67364,1.79071,0.00705482,0.185376,159969,79318,0.158636,1,0
0,6,6,74-67-42-26-12-6,direct,1,1,1,0.1497,0.911728,-0.762028,0.0614289,1.7631,1.80982,0.00840551,0.320967,57088,28192,0.056384,1,0
0,3,36,124-78-36,direct,1,1,1,0.254071,0.933679,-0.679607,0.18775,1.69007,1.80161,0.00111538,0.255326,89144,44224,0.088448,1,0
0,1,127,127,direct,1,1,0,0.281403,0.935381,-0.653978,0.216784,1.66812,1.79678,0.00203476,0.208495,65407,32512,0.065024,1,0
0,2,91,92-91,direct,1,1,1,0.269254,0.93532,-0.666066,0.204575,1.67858,1.79876,0.000341315,0.179394,64379,31924,0.063848,1,0
0,5,10,119-84-78-46-10,direct,1,1,2,0.28182,0.929286,-0.647465,0.211106,1.66094,1.78975,0.00426223,0.402374,103040,51060,0.10212,1,0
0,3,40,86-42-40,direct,1,1,1,0.267643,0.931174,-0.663531,0.198817,1.67537,1.79447,0.00310003,0.225156,55168,27308,0.054616,1,0
0,3,16,125-50-16,direct,1,1,2,0.258284,0.933226,-0.674942,0.19151,1.68585,1.8048,0.00780071,0.289796,78722,39050,0.0781,1,0
0,5,31,99-93-72-33-31,direct,1,1,2,0.241098,0.92637,-0.685272,0.167467,1.69357,1.79797,0.00819781,0.249917,90173,44646,0.089292,1,0
0,1,26,26,direct,1,1,1,0.239879,0.929696,-0.689816,0.169575,1.6983,1.80057,0.00341285,0.328032,13594,6656,0.013312,1,0
0,5,18,117-78-53-32-18,direct,1,1,1,0.234911,0.925096,-0.690185,0.160006,1.69774,1.80192,0.00967077,0.279646,91802,45484,0.090968,1,0
0,1,77,77,direct,1,1,0,0.288706,0.936068,-0.647362,0.224774,1.66263,1.79741,0.00223616,0.241978,39757,19712,0.039424,1,0
0,6,14,112-104-82-80-38-14,direct,1,1,0,0.225759,0.921514,-0.695755,0.147272,1.70214,1.79893,0.00983918,0.429416,119062,58980,0.11796,1,0
0,2,24,54-24,direct,1,1,1,0.243094,0.92866,-0.685566,0.171753,1.69429,1.79858,0.00454432,0.289657,30628,15120,0.03024,1,0
0,5,1,111-46-40-22-1,direct,1,1,2,0.0473455,0.909127,-0.861782,-0.0435275,1.86229,1.89019,0.00180508,0.512199,73223,36264,0.072528,1,0
0,3,29,89-63-29,direct,1,1,0,0.241707,0.932243,-0.690536,0.17395,1.69946,1.80541,0.00343311,0.286004,61025,30218,0.060436,1,0
0,3,9,125-47-9,direct,1,1,2,0.26316,0.922501,-0.659341,0.185662,1.6697,1.78694,0.00612504,0.344777,77205,38298,0.076596,1,0
0,3,19,92-39-19,direct,1,1,0,0.243953,0.930402,-0.686449,0.174355,1.69544,1.80316,0.00394909,0.309625,56299,27881,0.055762,1,0
0,4,7,126-65-53-7,direct,1,1,0,0.21608,0.922222,-0.706142,0.138302,1.71174,1.80524,0.00931069,0.480766,89275,44262,0.088524,1,0
0,3,31,117-82-31,direct,1,1,0,0.273815,0.933581,-0.659766,0.207395,1.67267,1.79806,0.00290772,0.248119,84861,42088,0.084176,1,0
0,4,11,98-87-48-11,direct,1,1,0,0.243621,0.926323,-0.682702,0.169944,1.69126,1.81374,0.016211,0.50276,77369,38318,0.076636,1,0
0,3,12,105-69-12,direct,1,1,1,0.240566,0.928351,-0.687785,0.168917,1.69622,1.80379,0.00777742,0.283642,70522,34953,0.069906,1,0
0,1,42,42,direct,1,1,1,0.286201,0.936596,-0.650395,0.222797,1.66537,1.79787,0.00179539,0.283841,21802,10752,0.021504,1,0
1,1,113,113,direct,1,1,1,0.28544,0.935094,-0.649654,0.220534,1.66433,1.79723,0.00264366,0.217135,58225,28928,0.057856,1,0
1,4,6,110-90-24-6,direct,1,1,1,0.173611,0.917218,-0.743607,0.0908285,1.74597,1.80433,0.00538629,0.434037,81438,40364,0.080728,1,0
1,3,13,86-42-13,direct,1,1,2,0.246047,0.929955,-0.683908,0.176003,1.69308,1.8005,0.00458605,0.349956,52873,26174,0.052348,1,0
1,4,9,90-72-23-9,direct,1,1,0,0.25905,0.922751,-0.663701,0.181801,1.6736,1.79257,0.0126191,0.365809,63401,31383,0.062766,1,0
1,1,99,99,direct,1,1,0,0.292974,0.937379,-0.644405,0.230353,1.66046,1.79911,0.00350889,0.225799,51043,25344,0.050688,1,0
1,3,43,99-72-43,direct,1,1,1,0.270341,0.932177,-0.661836,0.202517,1.67413,1.79593,0.00284477,0.234699,71777,35568,0.071136,1,0
1,3,67,102-85-67,direct,1,1,0,0.271954,0.934838,-0.662883,0.206792,1.67569,1.80007,0.00380395,0.211965,81651,40477,0.080954,1,0
1,6,20,122-92-77-58-24-20,direct,1,1,0,0.228092,0.923095,-0.695004,0.151187,1.70173,1.79397,0.0035351,0.278437,112778,55878,0.111756,1,0
1,2,60,125-60,direct,1,1,2,0.283491,0.935694,-0.652203,0.219186,1.66668,1.79933,0.00306363,0.219378,79566,39500,0.079,1,0
1,3,12,105-82-12,direct,1,1,2,0.222047,0.92532,-0.703273,0.147367,1.70964,1.80234,0.00499326,0.355462,73590,36474,0.072948,1,0
1,5,27,70-67-55-40-27,direct,1,1,1,0.233887,0.925882,-0.691995,0.159768,1.69952,1.80787,0.0104409,0.216136,59897,29575,0.05915,1,0
1,6,12,74-67-50-42-35-12,direct,1,1,2,0.193925,0.918871,-0.724946,0.112797,1.72863,1.80936,0.0106337,0.436173,63288,31242,0.062484,1,0
1,6,24,80-70-55-40-27-24,direct,1,1,0,0.200902,0.921081,-0.720179,0.121984,1.7245,1.80065,0.00344939,0.247439,68540,33858,0.067716,1,0
1,3,31,127-68-31,direct,1,1,1,0.288531,0.935463,-0.646931,0.223994,1.66209,1.80166,0.00634726,0.268512,87189,43256,0.086512,1,0
1,3,29,63-35-29,direct,1,1,1,0.263705,0.931012,-0.667306,0.194717,1.67864,1.79776,0.00398961,0.232637,39177,19348,0.038696,1,0
1,5,24,80-66-59-26-24,direct,1,1,0,0.187103,0.917758,-0.730655,0.104861,1.73383,1.80007,0.00340988,0.295633,64366,31812,0.063624,1,0
1,2,36,118-36,direct,1,1,1,0.291975,0.933984,-0.642009,0.225958,1.65748,1.79572,0.00415776,0.25453,69440,34456,0.068912,1,0
1,2,5,30-5,direct,1,1,2,0.18671,0.920317,-0.733607,0.107027,1.73691,1.81336,0.0128885,0.399951,15981,7830,0.01566,1,0
1,1,30,30,direct,1,1,1,0.279343,0.933915,-0.654572,0.213258,1.66826,1.79918,0.00517182,0.310277,15646,7680,0.01536,1,0
1,3,12,126-68-12,direct,1,1,1,0.253232,0.926378,-0.673146,0.17961,1.68276,1.79405,0.00608108,0.316086,83936,41640,0.08328,1,0
1,5,3,104-73-48-30-3,direct,1,1,1,0.129639,0.913139,-0.783501,0.0427781,1.78401,1.81134,0.00259653,0.529346,79269,39250,0.0785,1,0
1,6,22,119-90-47-42-29-22,direct,1,1,2,0.221061,0.922162,-0.701101,0.143223,1.70712,1.80028,0.00678302,0.265528,99400,49234,0.098468,1,0
1,4,9,111-58-22-9,direct,1,1,1,0.193261,0.922678,-0.729417,0.115938,1.7333,1.80987,0.00649305,0.41668,73303,36328,0.072656,1,0
1,2,91,105-91,direct,1,1,0,0.296656,0.935144,-0.638488,0.231801,1.6548,1.79659,0.00432226,0.194349,73427,36435,0.07287,1,0
1,2,18,38-18,direct,1,1,2,0.281913,0.923427,-0.641515,0.20534,1.65431,1.79649,0.0155502,0.31287,21174,10412,0.020824,1,0
2,3,5,124-72-5,direct,1,1,0,0.200205,0.920873,-0.720668,0.121078,1.72492,1.80944,0.0108411,0.436164,82717,41032,0.082064,1,0
2,1,38,38,direct,1,1,0,0.270558,0.930876,-0.660318,0.201434,1.67249,1.79382,0.00318361,0.295787,19750,9728,0.019456,1,0
2,1,57,57,direct,1,1,1,0.281276,0.935013,-0.653737,0.21629,1.66782,1.79842,0.00328648,0.264504,29497,14592,0.029184,1,0
2,3,12,68-58-12,direct,1,1,1,0.250004,0.932639,-0.682635,0.182643,1.69252,1.80131,0.00232159,0.303788,44616,22048,0.044096,1,0
2,2,68,80-68,direct,1,1,1,0.265738,0.932522,-0.666785,0.19826,1.67853,1.79719,0.00181555,0.206614,52324,25920,0.05184,1,0
2,1,80,80,direct,1,1,1,0.285219,0.935899,-0.65068,0.221119,1.66542,1.79761,0.00352715,0.240861,41296,20480,0.04096,1,0
2,3,12,47-35-12,direct,1,1,0,0.208121,0.926157,-0.718036,0.134279,1.72328,1.81238,0.00747494,0.338621,28626,14097,0.028194,1,0
2,1,91,91,direct,1,1,2,0.290442,0.935847,-0.645405,0.226288,1.66089,1.79647,0.00220815,0.231718,46939,23296,0.046592,1,0
2,5,10,118-84-78-46-10,direct,1,1,0,0.206284,0.924312,-0.718028,0.130596,1.72298,1.80166,0.00179734,0.402212,102358,50720,0.10144,1,0
2,1,68,68,direct,1,1,1,0.287207,0.936362,-0.649155,0.223569,1.66424,1.79876,0.00363871,0.253123,35140,17408,0.034816,1,0
2,2,30,36-30,direct,1,1,0,0.235523,0.930679,-0.695156,0.166202,1.70328,1.80316,0.00183169,0.274404,20950,10296,0.020592,1,0
2,3,43,115-114-43,direct,1,1,1,0.272255,0.934115,-0.66186,0.206369,1.67462,1.79783,0.0018498,0.23851,95661,47452,0.094904,1,0
2,1,121,121,direct,1,1,1,0.288888,0.935418,-0.64653,0.224306,1.66174,1.79443,0.00126138,0.211253,62329,30976,0.061952,1,0
2,5,26,88-66-59-49-26,direct,1,1,2,0.248061,0.928566,-0.680505,0.176628,1.68976,1.79986,0.00802754,0.261869,73596,36395,0.07279,1,0
2,2,30,80-30,direct,1,1,2,0.265012,0.933307,-0.668295,0.198319,1.68004,1.79905,0.00285228,0.27316,46206,22880,0.04576,1,0
2,5,26,101-80-66-59-26,direct,1,1,2,0.26458,0.929487,-0.664907,0.194068,1.67618,1.79113,0.00166311,0.240158,90182,44644,0.089288,1,0
2,3,26,110-51-26,direct,1,1,0,0.25998,0.930077,-0.670097,0.190057,1.68088,1.79775,0.00582635,0.244009,70796,35096,0.070192,1,0
2,2,18,100-18,direct,1,1,1,0.26053,0.935016,-0.674486,0.195547,1.68587,1.80691,0.00561614,0.302783,55274,27400,0.0548,1,0
2,4,9,90-72-16-9,direct,1,1,0,0.213426,0.92162,-0.708194,0.135045,1.71352,1.80573,0.00934354,0.434528,62253,30816,0.061632,1,0
2,2,19,93-19,direct,1,1,2,0.26303,0.932574,-0.669545,0.195604,1.68096,1.79957,0.00541809,0.309113,51611,25575,0.05115,1,0
2,3,105,115-114-105,direct,1,1,0,0.281041,0.935887,-0.654846,0.216928,1.669,1.79858,0.00322305,0.165352,109859,54520,0.10904,1,0
2,4,29,126-64-35-29,direct,1,1,0,0.240608,0.92635,-0.685742,0.166959,1.69399,1.80375,0.00923958,0.248943,87885,43575,0.08715,1,0
2,5,10,84-78-54-46-10,direct,1,1,1,0.268605,0.925397,-0.656792,0.194002,1.66811,1.79854,0.0127589,0.292483,71214,35212,0.070424,1,0
2,6,26,81-80-66-59-49-26,direct,1,1,0,0.19827,0.921144,-0.722874,0.119413,1.72701,1.8078,0.0118243,0.25472,82062,40555,0.08111,1,0
2,2,78,124-78,direct,1,1,2,0.282749,0.93535,-0.652601,0.218099,1.66693,1.79759,0.00217959,0.193974,83414,41416,0.082832,1,0
2,6,22,120-67-47-42-29-22,direct,1,1,0,0.189458,0.916829,-0.727371,0.106287,1.73064,1.8006,0.00754985,0.294002,92366,45739,0.091478,1,0
2,4,46,119-84-78-46,direct,1,1,2,0.281872,0.93436,-0.652488,0.216232,1.66658,1.80001,0.00484078,0.234143,102064,50600,0.1012,1,0
2,1,74,74,direct,1,1,2,0.296869,0.935568,-0.638699,0.232437,1.6551,1.79786,0.00549788,0.24807,38218,18944,0.037888,1,0
3,2,30,78-30,direct,1,1,2,0.265139,0.93351,-0.66837,0.198649,1.68016,1.80249,0.00436535,0.273554,45058,22308,0.044616,1,0
3,3,13,58-43-13,direct,1,1,1,0.237018,0.924328,-0.68731,0.161347,1.69501,1.80351,0.0138777,0.332303,36273,17901,0.035802,1,0
3,4,10,84-78-67-10,direct,1,1,0,0.212063,0.924286,-0.712223,0.136349,1.71764,1.80191,0.00362248,0.359596,68628,33952,0.067904,1,0
3,2,12,99-12,direct,1,1,2,0.265437,0.927205,-0.661767,0.192642,1.6729,1.79786,0.0148109,0.346824,53530,26532,0.053064,1,0
3,5,26,80-66-59-49-26,direct,1,1,1,0.214262,0.923438,-0.709176,0.1377,1.71471,1.80364,0.00722678,0.273508,68428,33819,0.067638,1,0
3,5,26,80-70-66-34-26,direct,1,1,0,0.197519,0.921775,-0.724256,0.119293,1.72838,1.79889,0.000615838,0.270746,68438,33828,0.067656,1,0
3,4,45,90-72-67-45,direct,1,1,0,0.274673,0.933824,-0.659152,0.208497,1.6722,1.79649,0.00177646,0.221078,75477,37359,0.074718,1,0
3,2,26,118-26,direct,1,1,0,0.258284,0.932835,-0.674551,0.191119,1.68542,1.80182,0.00316209,0.292398,67070,33276,0.066552,1,0
3,2,30,90-30,direct,1,1,2,0.271758,0.932491,-0.660733,0.20425,1.67325,1.79894,0.0070909,0.252831,51946,25740,0.05148,1,0
3,3,30,90-50-30,direct,1,1,1,0.267913,0.932222,-0.66431,0.200135,1.6763,1.79705,0.00301579,0.290733,58646,29040,0.05808,1,0
3,1,124,124,direct,1,1,0,0.289171,0.936406,-0.647235,0.225577,1.66261,1.79564,0.000631022,0.210767,63868,31744,0.063488,1,0
3,5,9,90-72-42-29-9,direct,1,1,2,0.235462,0.921693,-0.686231,0.157155,1.69354,1.78973,0.00499196,0.441422,68777,34023,0.068046,1,0
3,4,6,108-90-24-6,direct,1,1,2,0.223653,0.922994,-0.699341,0.146647,1.70566,1.79338,0.00255076,0.571501,80050,39672,0.079344,1,0
3,1,58,58,direct,1,1,2,0.294781,0.936396,-0.641615,0.231178,1.65781,1.79449,0.00101299,0.261307,30010,14848,0.029696,1,0
3,3,26,42-40-26,direct,1,1,2,0.247272,0.927539,-0.680267,0.17481,1.68934,1.79733,0.00456358,0.250849,27390,13472,0.026944,1,0
3,2,88,110-88,direct,1,1,1,0.285389,0.935584,-0.650194,0.220973,1.66492,1.79861,0.00302279,0.183217,76244,37840,0.07568,1,0
3,3,13,42-26-13,direct,1,1,0,0.220346,0.922131,-0.701785,0.142477,1.70774,1.79804,0.00603442,0.35004,24769,12182,0.024364,1,0
