born_generation,depth,latent,encoder_widths,encoding,time_steps,voltage_threshold,winning_seed_offset,alpha,beta,g1,g2,d_truth,d_penalized_mean,d_penalized_std,latent_activity,param_count,inference_cost,est_latency_ms,feasible,constraint_violation
0,3,24,122-102-24,direct,1,1,1,0.237388,0.938575,-0.701186,0.175963,1.71026,1.81714,0.00513685,0.21261,92976,46124,0.092248,1,0
0,6,3,91-84-77-43-19-3,direct,1,1,2,0.148723,0.93082,-0.782097,0.0795431,1.78387,1.84159,0.0079167,0.403119,84073,41593,0.083186,1,0
0,5,1,121-107-28-24-1,direct,1,1,1,0,0.939947,-0.939947,-0.0600529,1.94088,1.97616,0.000109437,0.577764,96047,47615,0.09523,1,0
0,2,68,79-68,direct,1,1,0,0.229614,0.939245,-0.709631,0.168859,1.71795,1.81723,0.000258365,0.152587,51674,25596,0.051192,1,0
0,2,12,59-12,direct,1,1,2,0.211942,0.935428,-0.723486,0.147369,1.72978,1.82594,0.00810942,0.288801,32010,15812,0.031624,1,0
0,4,9,88-58-22-9,direct,1,1,2,0.191136,0.939315,-0.748179,0.130451,1.75304,1.8318,0.00271806,0.268444,58813,29106,0.058212,1,0
0,6,3,124-104-73-50-39-3,direct,1,1,1,0.114409,0.930511,-0.816103,0.0449202,1.81666,1.85898,0.0126351,0.38274,116937,57949,0.115898,1,0
0,3,16,88-79-16,direct,1,1,1,0.221226,0.937459,-0.716233,0.158685,1.72355,1.8234,0.00489637,0.280249,62094,30744,0.061488,1,0
0,2,24,85-24,direct,1,1,2,0.246473,0.939137,-0.692664,0.18561,1.70281,1.81932,0.00563964,0.220703,48050,23800,0.0476,1,0
0,6,51,121-119-115-100-58-51,direct,1,1,0,0.203333,0.938451,-0.735117,0.141784,1.7409,1.82791,0.00284266,0.175642,159969,79318,0.158636,1,0
0,6,6,74-67-42-26-12-6,direct,1,1,1,0.131218,0.938735,-0.807516,0.0699529,1.80887,1.8647,0.0172605,0.277909,57088,28192,0.056384,1,0
0,3,36,124-78-36,direct,1,1,2,0.250375,0.939164,-0.68879,0.189539,1.69939,1.81734,0.00590445,0.180781,89144,44224,0.088448,1,0
0,1,127,127,direct,1,1,1,0.25302,0.939001,-0.685981,0.192021,1.69688,1.81111,0.00161113,0.121865,65407,32512,0.065024,1,0
0,2,91,92-91,direct,1,1,0,0.250914,0.939345,-0.688431,0.19026,1.69912,1.81237,0.00127626,0.120661,64379,31924,0.063848,1,0
0,5,10,119-84-78-46-10,direct,1,1,2,0.206707,0.94037,-0.733663,0.147077,1.73989,1.83094,0.00451857,0.29757,103040,51060,0.10212,1,0
0,3,40,86-42-40,direct,1,1,1,0.227584,0.938585,-0.711001,0.166168,1.71905,1.81732,0.00112301,0.159759,55168,27308,0.054616,1,0
0,3,16,125-50-16,direct,1,1,1,0.241426,0.941832,-0.700406,0.183258,1.71025,1.824,0.00744724,0.268166,78722,39050,0.0781,1,0
0,5,31,99-93-72-33-31,direct,1,1,1,0.199674,0.939644,-0.73997,0.139318,1.74554,1.83004,0.00216923,0.191597,90173,44646,0.089292,1,0
0,1,26,26,direct,1,1,2,0.205236,0.938757,-0.733521,0.143992,1.73949,1.82899,0.00367138,0.221992,13594,6656,0.013312,1,0
0,5,18,117-78-53-32-18,direct,1,1,1,0.163612,0.935303,-0.771691,0.0989145,1.77445,1.83683,0.00590623,0.189364,91802,45484,0.090968,1,0
0,1,77,77,direct,1,1,2,0.251913,0.938542,-0.686629,0.190455,1.69735,1.81391,0.00409148,0.144801,39757,19712,0.039424,1,0
0,6,14,112-104-82-80-38-14,direct,1,1,0,0.19724,0.941695,-0.744455,0.138935,1.74998,1.83747,0.0073009,0.365951,119062,58980,0.11796,1,0
0,2,24,54-24,direct,1,1,0,0.209403,0.935521,-0.726118,0.144925,1.73219,1.82358,0.00600736,0.192246,30628,15120,0.03024,1,0
0,5,1,111-46-40-22-1,direct,1,1,1,0,0.940212,-0.940212,-0.0597884,1.94113,1.97624,0.000119447,0.604778,73223,36264,0.072528,1,0
0,3,29,89-63-29,direct,1,1,2,0.220235,0.940412,-0.720177,0.160648,1.72766,1.82464,0.00272112,0.222426,61025,30218,0.060436,1,0
0,3,9,125-47-9,direct,1,1,0,0.179243,0.936684,-0.757441,0.115928,1.76126,1.83931,0.0130243,0.324979,77205,38298,0.076596,1,0
0,3,19,92-39-19,direct,1,1,1,0.224012,0.942105,-0.718093,0.166117,1.72611,1.82655,0.002714,0.228233,56299,27881,0.055762,1,0
0,4,7,126-65-53-7,direct,1,1,2,0.181914,0.932426,-0.750512,0.114341,1.75424,1.83158,0.010732,0.395356,89275,44262,0.088524,1,0
0,3,31,117-82-31,direct,1,1,0,0.23136,0.938923,-0.707563,0.170283,1.71603,1.8185,0.0030064,0.202461,84861,42088,0.084176,1,0
0,4,11,98-87-48-11,direct,1,1,2,0.237009,0.938228,-0.701218,0.175237,1.71022,1.82838,0.0110196,0.284147,77369,38318,0.076636,1,0
0,3,12,105-69-12,direct,1,1,1,0.217925,0.93869,-0.720766,0.156615,1.72788,1.82821,0.0061222,0.244698,70522,34953,0.069906,1,0
0,1,42,42,direct,1,1,1,0.238226,0.939667,-0.701441,0.177892,1.71072,1.82095,0.00808886,0.180171,21802,10752,0.021504,1,0
1,3,16,88-23-16,direct,1,1,2,0.18275,0.937649,-0.754898,0.120399,1.75902,1.83445,0.00435874,0.229673,50334,24920,0.04984,1,0
1,2,30,77-30,direct,1,1,1,0.223403,0.935026,-0.711624,0.158429,1.71894,1.8191,0.00523908,0.202443,44484,22022,0.044044,1,0
1,3,5,88-23-5,direct,1,1,2,0.182308,0.938228,-0.75592,0.120535,1.76005,1.84627,0.0176894,0.358815,49817,24667,0.049334,1,0
1,2,23,26-23,direct,1,1,2,0.182998,0.940758,-0.75776,0.123756,1.76211,1.83541,0.000891012,0.263494,14839,7254,0.014508,1,0
1,4,26,70-55-27-26,direct,1,1,2,0.192063,0.934799,-0.742736,0.126861,1.74735,1.82882,0.00821648,0.21856,48500,23957,0.047914,1,0
1,5,1,121-107-68-24-1,direct,1,1,2,0,0.939815,-0.939815,-0.0601852,1.94075,1.97607,6.31586e-05,0.397943,106607,52855,0.10571,1,0
1,1,108,108,direct,1,1,2,0.245068,0.939482,-0.694413,0.18455,1.70443,1.81486,0.00173269,0.127446,55660,27648,0.055296,1,0
1,1,68,68,direct,1,1,0,0.23623,0.936806,-0.700576,0.173035,1.70936,1.81445,0.00283585,0.153108,35140,17408,0.034816,1,0
