born_generation,depth,latent,encoder_widths,encoding,time_steps,voltage_threshold,winning_seed_offset,alpha,beta,g1,g2,d_truth,d_penalized_mean,d_penalized_std,latent_activity,param_count,inference_cost,est_latency_ms,feasible,constraint_violation
0,3,24,122-102-24,direct,1,1,2,0.293586,0.92926,-0.635674,0.222847,1.65078,1.78478,0.00314409,0.30966,92976,46124,0.092248,1,0
0,6,3,91-84-77-43-19-3,direct,1,1,0,0.244763,0.903593,-0.65883,0.148357,1.66545,1.76971,0.0133715,0.42609,84073,41593,0.083186,1,0
0,5,1,121-107-28-24-1,direct,1,1,0,0.161194,0.885119,-0.723925,0.0463127,1.72455,1.75374,0.00188264,0.350298,96047,47615,0.09523,1,0
0,2,68,79-68,direct,1,1,0,0.286352,0.930308,-0.643956,0.21666,1.65817,1.78866,0.00432244,0.205155,51674,25596,0.051192,1,0
0,2,12,59-12,direct,1,1,1,0.290906,0.924956,-0.63405,0.215862,1.64825,1.78042,0.00494219,0.311434,32010,15812,0.031624,1,0
0,4,9,88-58-22-9,direct,1,1,0,0.288364,0.917585,-0.629222,0.205949,1.64219,1.76761,0.00559146,0.391624,58813,29106,0.058212,1,0
0,6,3,124-104-73-50-39-3,direct,1,1,1,0.275424,0.913867,-0.638443,0.189291,1.64934,1.76667,0.00461949,0.414702,116937,57949,0.115898,1,0
0,3,16,88-79-16,direct,1,1,2,0.256598,0.925802,-0.669204,0.1824,1.67914,1.78985,0.00428837,0.309816,62094,30744,0.061488,1,0
0,2,24,85-24,direct,1,1,1,0.284876,0.928844,-0.643968,0.21372,1.6578,1.78615,0.00224831,0.254119,48050,23800,0.0476,1,0
0,6,51,121-119-115-100-58-51,direct,1,1,0,0.281244,0.92546,-0.644216,0.206705,1.65716,1.78369,0.00562952,0.245112,159969,79318,0.158636,1,0
0,6,6,74-67-42-26-12-6,direct,1,1,1,0.298777,0.915101,-0.616325,0.213878,1.63041,1.77483,0.013941,0.295538,57088,28192,0.056384,1,0
0,3,36,124-78-36,direct,1,1,1,0.309189,0.927047,-0.617858,0.236235,1.63501,1.78393,0.00769676,0.286698,89144,44224,0.088448,1,0
0,1,127,127,direct,1,1,1,0.298368,0.935589,-0.637221,0.233957,1.65385,1.79408,0.00225352,0.210926,65407,32512,0.065024,1,0
0,2,91,92-91,direct,1,1,2,0.286622,0.930322,-0.6437,0.216944,1.65796,1.78737,0.00201238,0.170214,64379,31924,0.063848,1,0
0,5,10,119-84-78-46-10,direct,1,1,1,0.289032,0.923267,-0.634236,0.212299,1.64797,1.78095,0.00703103,0.42174,103040,51060,0.10212,1,0
0,3,40,86-42-40,direct,1,1,1,0.292072,0.929497,-0.637425,0.22157,1.65235,1.78426,0.00168198,0.224561,55168,27308,0.054616,1,0
0,3,16,125-50-16,direct,1,1,2,0.270202,0.925004,-0.654802,0.195206,1.66628,1.78681,0.00437161,0.302524,78722,39050,0.0781,1,0
0,5,31,99-93-72-33-31,direct,1,1,1,0.286457,0.924475,-0.638018,0.210933,1.65154,1.78114,0.00603664,0.238401,90173,44646,0.089292,1,0
0,1,26,26,direct,1,1,2,0.278086,0.929083,-0.650997,0.207169,1.66394,1.78974,0.0040434,0.292797,13594,6656,0.013312,1,0
0,5,18,117-78-53-32-18,direct,1,1,0,0.293286,0.92249,-0.629205,0.215776,1.64343,1.77777,0.00588747,0.345209,91802,45484,0.090968,1,0
0,1,77,77,direct,1,1,1,0.304622,0.932931,-0.62831,0.237553,1.64555,1.78874,0.00287128,0.238666,39757,19712,0.039424,1,0
0,6,14,112-104-82-80-38-14,direct,1,1,0,0.267282,0.922066,-0.654784,0.189348,1.66558,1.78017,0.00261226,0.479151,119062,58980,0.11796,1,0
0,2,24,54-24,direct,1,1,2,0.267672,0.923002,-0.65533,0.190674,1.66628,1.78309,0.00606266,0.273251,30628,15120,0.03024,1,0
0,5,1,111-46-40-22-1,direct,1,1,1,0.165743,0.885053,-0.71931,0.0507959,1.72006,1.7517,0.00141822,0.530591,73223,36264,0.072528,1,0
0,3,29,89-63-29,direct,1,1,1,0.299174,0.929819,-0.630644,0.228993,1.64664,1.78572,0.00468377,0.241603,61025,30218,0.060436,1,0
0,3,9,125-47-9,direct,1,1,1,0.2875,0.921186,-0.633686,0.208686,1.64696,1.77884,0.0078855,0.376971,77205,38298,0.076596,1,0
0,3,19,92-39-19,direct,1,1,0,0.266412,0.923893,-0.657481,0.190305,1.66837,1.78734,0.00543633,0.276625,56299,27881,0.055762,1,0
0,4,7,126-65-53-7,direct,1,1,0,0.280738,0.919567,-0.638829,0.200305,1.65103,1.77304,0.00511005,0.543133,89275,44262,0.088524,1,0
0,3,31,117-82-31,direct,1,1,2,0.279589,0.928079,-0.64849,0.207668,1.66152,1.78382,0.000909321,0.313559,84861,42088,0.084176,1,0
0,4,11,98-87-48-11,direct,1,1,1,0.295318,0.926918,-0.6316,0.222236,1.64667,1.77912,0.00180345,0.309797,77369,38318,0.076636,1,0
0,3,12,105-69-12,direct,1,1,0,0.275012,0.924559,-0.649547,0.199572,1.66158,1.7835,0.00384591,0.373705,70522,34953,0.069906,1,0
0,1,42,42,direct,1,1,0,0.278784,0.929974,-0.651191,0.208758,1.66434,1.78907,0.00205597,0.265954,21802,10752,0.021504,1,0
1,3,16,88-23-16,direct,1,1,0,0.290048,0.920441,-0.630393,0.210488,1.64392,1.771,0.00513538,0.268316,50334,24920,0.04984,1,0
1,2,30,77-30,direct,1,1,1,0.271306,0.926858,-0.655553,0.198164,1.66737,1.78607,0.003014,0.265379,44484,22022,0.044044,1,0
1,4,9,111-58-22-9,direct,1,1,2,0.276874,0.919143,-0.642269,0.196017,1.65393,1.77272,0.00535456,0.291443,73303,36328,0.072656,1,0
1,4,9,90-72-23-9,direct,1,1,2,0.254977,0.914146,-0.659169,0.169123,1.66777,1.77868,0.0125278,0.342962,63401,31383,0.062766,1,0
1,1,99,99,direct,1,1,2,0.289817,0.934382,-0.644564,0.224199,1.65978,1.79236,0.000969353,0.226328,51043,25344,0.050688,1,0
1,3,43,99-72-43,direct,1,1,1,0.30119,0.928596,-0.627406,0.229786,1.64355,1.78338,0.00387459,0.226407,71777,35568,0.071136,1,0
1,1,35,35,direct,1,1,0,0.294603,0.929645,-0.635042,0.224248,1.65035,1.79165,0.00705496,0.279012,18211,8960,0.01792,1,0
1,2,23,24-23,direct,1,1,0,0.299982,0.920692,-0.620711,0.220674,1.63567,1.76965,0.00509088,0.242422,13719,6696,0.013392,1,0
1,4,7,65-53-35-7,direct,1,1,1,0.259815,0.921381,-0.661566,0.181196,1.67142,1.78363,0.00541404,0.355466,44939,22185,0.04437,1,0
1,1,88,88,direct,1,1,1,0.301501,0.933812,-0.632311,0.235313,1.64919,1.79111,0.00302359,0.231535,45400,22528,0.045056,1,0
1,6,12,109-96-70-35-26-12,direct,1,1,2,0.304617,0.91697,-0.612353,0.221587,1.62751,1.77146,0.0100127,0.311656,98460,48760,0.09752,1,0
1,2,6,38-6,direct,1,1,1,0.262879,0.916523,-0.653644,0.179403,1.66335,1.77846,0.00975149,0.375288,20250,9956,0.019912,1,0
1,3,72,99-93-72,direct,1,1,0,0.295264,0.930775,-0.635511,0.226039,1.65106,1.78479,0.001069,0.21321,83206,41247,0.082494,1,0
1,5,26,126-80-66-49-26,direct,1,1,1,0.277422,0.928197,-0.650776,0.205619,1.66353,1.78773,0.00281205,0.283841,105172,52124,0.104248,1,0
1,6,1,83-55-35-30-15-1,direct,1,1,0,0.155896,0.885317,-0.729422,0.0412131,1.72991,1.75612,0.00153369,0.496621,59199,29253,0.058506,1,0
1,2,54,114-54,direct,1,1,1,0.296142,0.930662,-0.63452,0.226804,1.65018,1.78583,0.00213914,0.220757,71218,35340,0.07068,1,0
1,2,22,114-22,direct,1,1,2,0.282992,0.927351,-0.644359,0.210343,1.65776,1.78416,0.00393772,0.293806,63890,31692,0.063384,1,0
1,5,15,83-55-35-30-15,direct,1,1,1,0.288911,0.925004,-0.636093,0.213916,1.65002,1.78076,0.0041463,0.292773,59153,29238,0.058476,1,0
