born_generation,depth,latent,encoder_widths,encoding,time_steps,voltage_threshold,alpha,beta,g1,g2,d_truth,d_penalized_mean,d_penalized_std,latent_activity,param_count,inference_cost,est_latency_ms,feasible,constraint_violation
0,3,24,122-102-24,direct,1,1,0.273364,0.924124,-0.650759,0.197488,1.66253,1.78601,0.00763856,0.357142,92976,46124,0.092248,1,0
0,6,3,91-84-77-43-19-3,direct,1,1,0.224369,0.900529,-0.67616,0.124898,1.68081,1.77408,0.0177715,0.308788,84073,41593,0.083186,1,0
0,5,1,121-107-28-24-1,direct,1,1,0.153073,0.864021,-0.710948,0.0170939,1.71103,1.7226,0.00179295,0.258603,96047,47615,0.09523,1,0
0,2,68,79-68,direct,1,1,0.262928,0.927869,-0.664941,0.190797,1.67584,1.79344,0.00532348,0.187186,51674,25596,0.051192,1,0
0,2,12,59-12,direct,1,1,0.25694,0.922277,-0.665337,0.179218,1.67495,1.78615,0.00542547,0.243169,32010,15812,0.031624,1,0
0,4,9,88-58-22-9,direct,1,1,0.27604,0.919591,-0.643552,0.195631,1.65515,1.77918,0.012982,0.248077,58813,29106,0.058212,1,0
0,6,3,124-104-73-50-39-3,direct,1,1,0.195118,0.916711,-0.721592,0.111829,1.72522,1.79699,0.00800904,0.346246,116937,57949,0.115898,1,0
0,3,16,88-79-16,direct,1,1,0.198499,0.918576,-0.720077,0.117076,1.72406,1.79756,0.00369584,0.28732,62094,30744,0.061488,1,0
0,2,24,85-24,direct,1,1,0.225164,0.926466,-0.701302,0.15163,1.70805,1.80022,0.00287516,0.229682,48050,23800,0.0476,1,0
0,6,51,121-119-115-100-58-51,direct,1,1,0.236048,0.919284,-0.683236,0.155332,1.69039,1.79321,0.0109233,0.228603,159969,79318,0.158636,1,0
0,6,6,74-67-42-26-12-6,direct,1,1,0.262144,0.908245,-0.646101,0.170389,1.6549,1.76462,0.00799494,0.267244,57088,28192,0.056384,1,0
0,3,36,124-78-36,direct,1,1,0.297184,0.92446,-0.627276,0.221644,1.6423,1.77895,0.00674237,0.267826,89144,44224,0.088448,1,0
0,1,127,127,direct,1,1,0.288157,0.934772,-0.646615,0.222929,1.66164,1.79576,0.00312547,0.209121,65407,32512,0.065024,1,0
0,2,91,92-91,direct,1,1,0.268219,0.927893,-0.659674,0.196112,1.67122,1.79383,0.00605491,0.163831,64379,31924,0.063848,1,0
0,5,10,119-84-78-46-10,direct,1,1,0.237411,0.920026,-0.682615,0.157438,1.68996,1.79348,0.0138719,0.348576,103040,51060,0.10212,1,0
0,3,40,86-42-40,direct,1,1,0.247354,0.925575,-0.678221,0.17293,1.68711,1.79186,0.00246114,0.196173,55168,27308,0.054616,1,0
0,3,16,125-50-16,direct,1,1,0.257898,0.922197,-0.6643,0.180095,1.67402,1.78701,0.0058699,0.295641,78722,39050,0.0781,1,0
0,5,31,99-93-72-33-31,direct,1,1,0.222583,0.923191,-0.700608,0.145774,1.70684,1.79555,0.0037558,0.207518,90173,44646,0.089292,1,0
0,1,26,26,direct,1,1,0.243482,0.927091,-0.683609,0.170573,1.69223,1.79756,0.00594267,0.249603,13594,6656,0.013312,1,0
0,5,18,117-78-53-32-18,direct,1,1,0.254468,0.922685,-0.668217,0.177153,1.6776,1.78444,0.00427386,0.30208,91802,45484,0.090968,1,0
0,1,77,77,direct,1,1,0.269845,0.930815,-0.66097,0.20066,1.67305,1.79173,0.00154029,0.227339,39757,19712,0.039424,1,0
0,6,14,112-104-82-80-38-14,direct,1,1,0.302349,0.926672,-0.624323,0.229022,1.64039,1.78407,0.0111285,0.32619,119062,58980,0.11796,1,0
0,2,24,54-24,direct,1,1,0.244426,0.920817,-0.67639,0.165243,1.68451,1.79209,0.00889566,0.221727,30628,15120,0.03024,1,0
0,5,1,111-46-40-22-1,direct,1,1,0.160986,0.864683,-0.703696,0.0256688,1.70389,1.72142,0.00217998,0.277553,73223,36264,0.072528,1,0
0,3,29,89-63-29,direct,1,1,0.314208,0.928777,-0.614569,0.242984,1.63275,1.78944,0.0106839,0.216794,61025,30218,0.060436,1,0
0,3,9,125-47-9,direct,1,1,0.251352,0.918489,-0.667137,0.169841,1.67577,1.78763,0.00950342,0.349546,77205,38298,0.076596,1,0
0,3,19,92-39-19,direct,1,1,0.230055,0.919528,-0.689473,0.149583,1.69608,1.80083,0.0139134,0.233141,56299,27881,0.055762,1,0
0,4,7,126-65-53-7,direct,1,1,0.246145,0.920389,-0.674244,0.166535,1.68251,1.78554,0.00483159,0.521095,89275,44262,0.088524,1,0
0,3,31,117-82-31,direct,1,1,0.283674,0.925708,-0.642034,0.209382,1.65533,1.78614,0.00578359,0.2554,84861,42088,0.084176,1,0
0,4,11,98-87-48-11,direct,1,1,0.260787,0.923148,-0.662361,0.183935,1.67251,1.78917,0.00671996,0.399703,77369,38318,0.076636,1,0
0,3,12,105-69-12,direct,1,1,0.228399,0.920955,-0.692555,0.149354,1.69913,1.79305,0.00505651,0.350648,70522,34953,0.069906,1,0
0,1,42,42,direct,1,1,0.266648,0.929633,-0.662985,0.19628,1.67453,1.79048,0.000956731,0.243521,21802,10752,0.021504,1,0
1,1,113,113,direct,1,1,0.294298,0.933078,-0.638781,0.227376,1.65448,1.79153,0.00272853,0.21481,58225,28928,0.057856,1,0
1,4,6,110-90-24-6,direct,1,1,0.186936,0.91078,-0.723845,0.0977163,1.72661,1.79063,0.00504406,0.422896,81438,40364,0.080728,1,0
1,5,9,111-96-31-22-9,direct,1,1,0.23582,0.912419,-0.676599,0.148239,1.68314,1.7784,0.00810633,0.227471,86641,42928,0.085856,1,0
1,4,36,128-103-78-36,direct,1,1,0.249754,0.925599,-0.675845,0.175353,1.68499,1.79219,0.00558117,0.284184,114498,56794,0.113588,1,0
1,3,24,90-85-24,direct,1,1,0.25434,0.921076,-0.666736,0.175416,1.67594,1.79619,0.0124,0.31469,66090,32730,0.06546,1,0
1,1,35,35,direct,1,1,0.278267,0.92845,-0.650183,0.206718,1.66308,1.79771,0.00996393,0.248357,18211,8960,0.01792,1,0
1,2,23,24-23,direct,1,1,0.270497,0.914821,-0.644323,0.185318,1.65473,1.76866,0.00393561,0.250337,13719,6696,0.013392,1,0
1,4,7,65-53-35-7,direct,1,1,0.244672,0.915401,-0.670729,0.160072,1.67838,1.79406,0.0187439,0.283469,44939,22185,0.04437,1,0
1,1,88,88,direct,1,1,0.285489,0.933721,-0.648232,0.21921,1.66275,1.79518,0.00323283,0.222997,45400,22528,0.045056,1,0
1,6,12,109-96-70-35-26-12,direct,1,1,0.318762,0.916612,-0.59785,0.235373,1.61509,1.77837,0.0186597,0.208925,98460,48760,0.09752,1,0
1,2,6,38-6,direct,1,1,0.266493,0.915763,-0.64927,0.182256,1.65931,1.78558,0.0141259,0.293269,20250,9956,0.019912,1,0
1,6,14,113-104-82-80-38-14,direct,1,1,0.20179,0.921003,-0.719213,0.122793,1.72359,1.80327,0.00989601,0.238526,119784,59340,0.11868,1,0
