born_generation,depth,latent,encoder_widths,encoding,time_steps,voltage_threshold,winning_seed_offset,alpha,beta,g1,g2,d_truth,d_penalized_mean,d_penalized_std,latent_activity,param_count,inference_cost,est_latency_ms,feasible,constraint_violation
0,5,19,77-76-58-20-19,direct,1,1,1,0.0700143,0.969827,-0.899813,0.0398416,1.90023,1.92992,0.00850669,0.695245,63761,31512,0.063024,1,0
0,6,1,121-107-93-28-24-1,poisson,16,0.2,2,0.116039,0.939418,-0.823379,0.0554572,1.82422,1.88111,0.0216911,0.0861735,115351,914784,1.82957,1,0
0,2,68,79-68,direct,1,1,2,0.263,0.936434,-0.673434,0.199434,1.68528,1.80466,0.00211009,0.514087,51674,25596,0.051192,1,0
0,1,38,38,poisson,16,0.2,1,0.238205,0.92728,-0.689075,0.165485,1.69716,1.79801,0.004885,0.217018,19750,155648,0.311296,1,0
0,3,66,126-76-66,latency,16,0.2,2,0.263735,0.935175,-0.67144,0.19891,1.68323,1.80339,0.00343268,0.381152,94422,749568,1.49914,1,0
0,3,2,122-9-2,poisson,16,0.2,0,0.0857199,0.92004,-0.83432,0.00575958,1.83433,1.86902,0.0279351,0.619579,65216,517568,1.03514,1,0
0,5,5,117-51-34-23-5,direct,1,1,2,0.0569255,0.971799,-0.914873,0.0287244,1.91509,1.95099,0.0266878,0.681905,77811,38550,0.0771,1,0
0,2,55,67-55,direct,1,1,2,0.258905,0.937795,-0.678889,0.1967,1.69037,1.80737,0.00167567,0.455065,42119,20837,0.041674,1,0
0,6,51,119-118-115-94-77-51,direct,1,1,1,0,0.988899,-0.988899,-0.0111007,1.98893,1.99848,0.00215295,0.112496,161455,80051,0.160102,1,0
0,6,35,109-96-70-50-42-35,poisson,16,0.2,1,0.0542218,0.925828,-0.871606,-0.0199505,1.87171,1.89255,0.00748172,1.03887,105341,834528,1.66906,1,0
0,2,22,103-22,direct,1,1,0,0.249637,0.9367,-0.687063,0.186338,1.69732,1.81073,0.00301807,0.498757,57752,28634,0.057268,1,0
0,2,1,38-1,direct,1,1,1,0,0.953307,-0.953307,-0.0466931,1.95386,1.985,0.00269394,0.468099,19865,9766,0.019532,1,0
0,3,9,43-13-9,latency,16,0.2,1,0.16927,0.915741,-0.746471,0.0850104,1.74854,1.82283,0.018695,0.200956,23745,186944,0.373888,1,0
0,4,36,114-72-61-36,latency,16,0.2,0,0.226849,0.924816,-0.697967,0.151666,1.70473,1.80229,0.00682781,0.342584,88746,703680,1.40736,1,0
0,5,31,109-98-93-72-31,poisson,16,0.2,2,0.0829454,0.916914,-0.833969,-0.000140439,1.83397,1.83937,0.00376181,1.05195,114287,906048,1.8121,1,0
0,1,4,4,latency,16,0.2,0,0.153719,0.911905,-0.758185,0.0656241,1.75941,1.80483,0.00655915,0.118295,2308,16384,0.032768,1,0
0,6,18,97-78-70-53-32-18,direct,1,1,2,0.0656404,0.975051,-0.909411,0.0406919,1.90984,1.95929,0.0291056,0.806954,88614,43840,0.08768,1,0
0,1,77,77,direct,1,1,1,0.27504,0.933266,-0.658226,0.208307,1.67126,1.79539,0.0016283,0.188747,39757,19712,0.039424,1,0
0,4,16,115-104-42-16,latency,16,0.2,0,0.228009,0.925422,-0.697412,0.153431,1.70433,1.81266,0.0131131,0.418592,93674,743040,1.48608,1,0
0,1,35,35,direct,1,1,0,0.249887,0.92387,-0.673983,0.173757,1.68298,1.79087,0.00551988,0.170113,18211,8960,0.01792,1,0
0,3,29,89-63-29,direct,1,1,2,0.223308,0.939965,-0.716658,0.163273,1.7244,1.82491,0.00417589,0.729407,61025,30218,0.060436,1,0
0,2,22,121-22,direct,1,1,0,0.233904,0.931596,-0.697692,0.1655,1.70574,1.80579,0.00308511,0.556339,67796,33638,0.067276,1,0
0,6,32,92-90-64-39-33-32,direct,1,1,0,0,0.988814,-0.988814,-0.0111855,1.98885,1.99847,0.00216928,0.126848,85786,42431,0.084862,1,0
0,1,35,35,latency,16,0.2,0,0.216432,0.920877,-0.704445,0.137309,1.70997,1.79459,0.00378013,0.214911,18211,143360,0.28672,1,0
0,5,19,127-68-63-58-19,latency,16,0.2,1,0.171152,0.913005,-0.741852,0.0841572,1.74388,1.80387,0.00792941,0.232141,101283,803008,1.60602,1,0
0,3,61,126-81-61,latency,16,0.2,2,0.266646,0.933626,-0.66698,0.200272,1.67897,1.80117,0.00487472,0.392895,95537,758448,1.5169,1,0
0,5,12,107-103-42-20-12,latency,16,0.2,0,0.154532,0.912324,-0.757792,0.0668553,1.75906,1.80819,0.00735966,0.218385,88450,701104,1.40221,1,0
0,5,3,104-92-66-29-3,direct,1,1,1,0.0620636,0.975794,-0.91373,0.0378573,1.9141,1.94828,0.010068,1.20215,89371,44265,0.08853,1,0
0,3,67,120-108-67,direct,1,1,2,0.243639,0.931183,-0.687544,0.174823,1.69658,1.80433,0.00378214,0.709201,102611,50916,0.101832,1,0
0,2,30,85-30,direct,1,1,0,0.243243,0.930154,-0.686911,0.173398,1.6958,1.80565,0.00659741,0.501868,49076,24310,0.04862,1,0
0,2,45,90-45,poisson,16,0.2,1,0.277906,0.938089,-0.660183,0.215995,1.67418,1.80363,0.00291399,0.284852,54661,433440,0.86688,1,0
0,6,52,114-113-109-100-83-52,direct,1,1,1,0.14018,0.977325,-0.837145,0.117505,1.8409,1.9686,0.0416576,0.161002,157144,77899,0.155798,1,0
1,2,67,72-67,direct,1,1,1,0.267065,0.937732,-0.670667,0.204797,1.68317,1.80644,0.00273073,0.473858,46979,23256,0.046512,1,0
1,1,122,122,direct,1,1,1,0.292297,0.93638,-0.644083,0.228677,1.65991,1.79715,0.00263685,0.200045,62842,31232,0.062464,1,0
1,1,92,92,direct,1,1,0,0.281866,0.933388,-0.651522,0.215254,1.66549,1.79612,0.00321115,0.19575,47452,23552,0.047104,1,0
