born_generation,depth,latent,encoder_widths,encoding,time_steps,voltage_threshold,winning_seed_offset,alpha,beta,g1,g2,d_truth,d_penalized_mean,d_penalized_std,latent_activity,param_count,inference_cost,est_latency_ms,feasible,constraint_violation
0,5,19,77-76-58-20-19,direct,1,1,2,0.0686649,0.962796,-0.894131,0.0314608,1.89439,1.94744,0.0377831,0.878136,63761,31512,0.063024,1,0
0,6,1,121-107-93-28-24-1,poisson,16,0.2,1,0.0347068,0.953439,-0.918732,-0.011854,1.91877,1.97267,0.0333546,0.0434464,115351,914784,1.82957,1,0
0,2,68,79-68,direct,1,1,1,0.263855,0.937432,-0.673577,0.201287,1.68564,1.80485,0.00179544,0.502077,51674,25596,0.051192,1,0
0,1,38,38,poisson,16,0.2,1,0.24943,0.9294,-0.679969,0.17883,1.68946,1.79896,0.00665589,0.249788,19750,155648,0.311296,1,0
0,3,66,126-76-66,latency,16,0.2,2,0.27415,0.933714,-0.659564,0.207864,1.67253,1.79778,0.00250736,0.235041,94422,749568,1.49914,1,0
0,3,2,122-9-2,poisson,16,0.2,2,0.0489351,0.929034,-0.880099,-0.0220305,1.88023,1.90928,0.0225337,0.902226,65216,517568,1.03514,1,0
0,5,5,117-51-34-23-5,direct,1,1,1,0.0547614,0.976217,-0.921456,0.0309783,1.92171,1.95461,0.0143285,0.613525,77811,38550,0.0771,1,0
0,2,55,67-55,direct,1,1,0,0.239888,0.933951,-0.694063,0.17384,1.70296,1.80864,0.00276037,0.529385,42119,20837,0.041674,1,0
0,6,51,119-118-115-94-77-51,direct,1,1,0,1,1,0,1,1.41421,2,0,0,161455,80051,0.160102,0,1
0,6,35,109-96-70-50-42-35,poisson,16,0.2,2,0.0493427,0.923821,-0.874478,-0.0268364,1.87467,1.89899,0.00734078,1.04594,105341,834528,1.66906,1,0
0,2,22,103-22,direct,1,1,0,0.273608,0.932906,-0.659298,0.206515,1.6721,1.80022,0.00508661,0.539629,57752,28634,0.057268,1,0
0,2,1,38-1,direct,1,1,1,0,0.947619,-0.947619,-0.052381,1.94832,1.98104,0.00228215,0.482629,19865,9766,0.019532,1,0
0,3,9,43-13-9,latency,16,0.2,0,0.182477,0.915726,-0.733249,0.0982031,1.73603,1.81359,0.0147263,0.179558,23745,186944,0.373888,1,0
0,4,36,114-72-61-36,latency,16,0.2,1,0.216781,0.921124,-0.704343,0.137905,1.70991,1.8025,0.0100827,0.163855,88746,703680,1.40736,1,0
0,5,31,109-98-93-72-31,poisson,16,0.2,1,0.0677424,0.927509,-0.859767,-0.00474861,1.85977,1.87386,0.00802144,1.36802,114287,906048,1.8121,1,0
0,1,4,4,latency,16,0.2,1,0.0859071,0.909425,-0.823518,-0.00466833,1.82352,1.86969,0.0326176,0.102671,2308,16384,0.032768,1,0
0,6,18,97-78-70-53-32-18,direct,1,1,2,0.0838282,0.959825,-0.875997,0.0436533,1.8765,1.96736,0.0461617,0.262876,88614,43840,0.08768,1,0
0,1,77,77,direct,1,1,0,0.297678,0.935228,-0.637551,0.232906,1.65403,1.79513,0.00360797,0.194034,39757,19712,0.039424,1,0
0,4,16,115-104-42-16,latency,16,0.2,1,0.180135,0.917196,-0.737061,0.097331,1.73979,1.80546,0.00765916,0.196903,93674,743040,1.48608,1,0
0,1,35,35,direct,1,1,0,0.256252,0.928723,-0.67247,0.184975,1.68267,1.79356,0.0022044,0.17877,18211,8960,0.01792,1,0
0,3,29,89-63-29,direct,1,1,2,0.21326,0.933643,-0.720383,0.146904,1.72664,1.81894,0.00670437,0.749947,61025,30218,0.060436,1,0
0,2,22,121-22,direct,1,1,1,0.249304,0.935576,-0.686272,0.18488,1.69638,1.80908,0.00546577,0.591728,67796,33638,0.067276,1,0
0,6,32,92-90-64-39-33-32,direct,1,1,1,0.113754,0.962587,-0.848833,0.0763408,1.85041,1.934,0.0469143,0.543764,85786,42431,0.084862,1,0
0,1,35,35,latency,16,0.2,0,0.233815,0.92537,-0.691555,0.159186,1.69903,1.79443,0.00187712,0.160056,18211,143360,0.28672,1,0
0,5,19,127-68-63-58-19,latency,16,0.2,0,0.153415,0.920684,-0.767268,0.0740989,1.76882,1.81651,0.00453045,0.213865,101283,803008,1.60602,1,0
0,3,61,126-81-61,latency,16,0.2,0,0.268661,0.93347,-0.664809,0.202131,1.67703,1.8,0.00359635,0.264221,95537,758448,1.5169,1,0
0,5,12,107-103-42-20-12,latency,16,0.2,2,0.194043,0.906305,-0.712262,0.100349,1.7152,1.79856,0.0266391,0.21547,88450,701104,1.40221,1,0
0,5,3,104-92-66-29-3,direct,1,1,2,0.0125013,0.974559,-0.962058,-0.0129396,1.9621,1.97947,0.00925975,0.91792,89371,44265,0.08853,1,0
0,3,67,120-108-67,direct,1,1,2,0.243175,0.931324,-0.688148,0.174499,1.69714,1.80462,0.00481903,0.725506,102611,50916,0.101832,1,0
0,2,30,85-30,direct,1,1,2,0.255357,0.938051,-0.682694,0.193408,1.69377,1.80809,0.000879539,0.522277,49076,24310,0.04862,1,0
0,2,45,90-45,poisson,16,0.2,2,0.272817,0.936893,-0.664076,0.20971,1.67724,1.80107,0.0010883,0.349199,54661,433440,0.86688,1,0
0,6,52,114-113-109-100-83-52,direct,1,1,0,0,0.975122,-0.975122,-0.0248779,1.97528,1.99662,0.00478386,0.0703983,157144,77899,0.155798,1,0
1,2,45,90-45,latency,16,0.2,1,0.26907,0.931678,-0.662608,0.200749,1.67468,1.79875,0.0046548,0.208563,54661,433440,0.86688,1,0
1,1,122,122,direct,1,1,1,0.293078,0.937287,-0.644209,0.230366,1.66027,1.79867,0.00244774,0.201095,62842,31232,0.062464,1,0
1,1,92,92,direct,1,1,0,0.281716,0.933923,-0.652206,0.215639,1.66622,1.79663,0.00341098,0.200384,47452,23552,0.047104,1,0
