born_generation,depth,latent,encoder_widths,encoding,time_steps,voltage_threshold,alpha,beta,g1,g2,d_truth,d_penalized_mean,d_penalized_std,latent_activity,param_count,inference_cost,est_latency_ms,feasible,constraint_violation
0,3,24,122-102-24,poisson,16,0.2,0.254373,0.930666,-0.676293,0.185039,1.68647,1.80092,0.00616341,0.590657,92976,737984,1.47597,1,0
0,5,19,77-76-58-20-19,poisson,16,0.2,0.0532704,0.928182,-0.874911,-0.018548,1.875,1.89182,0.00789587,0.74876,63761,504192,1.00838,1,0
0,1,59,59,poisson,16,0.2,0.26019,0.932405,-0.672215,0.192595,1.68327,1.79991,0.00375504,0.242856,30523,241664,0.483328,1,0
0,3,19,91-77-19,poisson,16,0.2,0.255845,0.933048,-0.677203,0.188893,1.68781,1.80393,0.0047299,0.554727,64143,508256,1.01651,1,0
0,1,8,8,poisson,16,0.2,0.17508,0.921925,-0.746845,0.0970044,1.74954,1.80973,0.0038467,0.0988249,4360,32768,0.065536,1,0
0,5,1,121-107-28-24-1,poisson,16,0.2,0.0399513,0.900132,-0.860181,-0.0599164,1.86115,1.92278,0.0211369,0.912943,96047,761840,1.52368,1,0
0,2,39,80-39,poisson,16,0.2,0.280586,0.93643,-0.655844,0.217016,1.67,1.79993,0.00357694,0.312297,47655,377600,0.7552,1,0
0,4,1,56-38-3-1,poisson,16,0.2,0.125,0.944444,-0.819444,0.0694444,1.82077,1.9422,0.0588453,0.0020689,33613,265296,0.530592,1,0
0,4,6,52-38-18-6,poisson,16,0.2,0.145084,0.92425,-0.779167,0.0693341,1.78052,1.85495,0.0421094,0.696267,32638,257280,0.51456,1,0
0,3,12,59-30-12,poisson,16,0.2,0.203698,0.929508,-0.72581,0.133207,1.73094,1.81214,0.00401281,0.377824,34914,275744,0.551488,1,0
0,4,26,126-66-49-26,poisson,16,0.2,0.183208,0.923927,-0.740718,0.107135,1.74401,1.80964,0.00211392,0.662373,90924,721280,1.44256,1,0
0,3,6,111-78-6,poisson,16,0.2,0.224693,0.930445,-0.705753,0.155138,1.71279,1.82236,0.0132182,0.80312,75724,600672,1.20134,1,0
0,2,9,58-9,poisson,16,0.2,0.279734,0.93085,-0.651116,0.210583,1.66449,1.80983,0.020602,0.235411,31121,245920,0.49184,1,0
0,6,39,124-121-104-73-50-39,poisson,16,0.2,0.0560666,0.923877,-0.867811,-0.020056,1.86792,1.89196,0.00884232,1.21341,146287,1160384,2.32077,1,0
0,1,30,30,poisson,16,0.2,0.241151,0.924921,-0.683769,0.166072,1.69194,1.79686,0.00655323,0.213807,15646,122880,0.24576,1,0
0,2,57,88-57,poisson,16,0.2,0.275426,0.938831,-0.663405,0.214256,1.67715,1.8067,0.00299769,0.297655,55577,440704,0.881408,1,0
