born_generation,depth,latent,encoder_widths,encoding,time_steps,voltage_threshold,alpha,beta,g1,g2,d_truth,d_penalized_mean,d_penalized_std,latent_activity,param_count,inference_cost,est_latency_ms,feasible,constraint_violation
0,3,24,122-102-24,latency,16,0.2,0.248484,0.934436,-0.685951,0.18292,1.69585,1.80829,0.00671536,0.482959,92976,737984,1.47597,1,0
0,5,19,77-76-58-20-19,latency,16,0.2,0.155015,0.912176,-0.757161,0.0671913,1.75845,1.80695,0.00862364,0.19762,63761,504192,1.00838,1,0
0,1,59,59,latency,16,0.2,0.262756,0.929742,-0.666985,0.192498,1.67806,1.79313,0.00191744,0.212494,30523,241664,0.483328,1,0
0,3,19,91-77-19,latency,16,0.2,0.256193,0.933807,-0.677614,0.189999,1.68834,1.80529,0.00409757,0.436381,64143,508256,1.01651,1,0
0,1,8,8,latency,16,0.2,0.184067,0.920751,-0.736683,0.104818,1.73984,1.80307,0.00150333,0.12567,4360,32768,0.065536,1,0
0,5,1,121-107-28-24-1,latency,16,0.2,0.119565,0.913095,-0.79353,0.0326603,1.79383,1.87632,0.0463104,0.348967,96047,761840,1.52368,1,0
0,2,39,80-39,latency,16,0.2,0.267174,0.933676,-0.666502,0.200849,1.67856,1.80108,0.00363742,0.318417,47655,377600,0.7552,1,0
0,4,1,56-38-3-1,latency,16,0.2,0.079573,0.921164,-0.841591,0.000737008,1.84159,1.87159,0.0272876,0.183011,33613,265296,0.530592,1,0
0,4,6,52-38-18-6,latency,16,0.2,0.138079,0.918849,-0.78077,0.056928,1.78168,1.82507,0.00711796,0.205113,32638,257280,0.51456,1,0
0,3,12,59-30-12,latency,16,0.2,0.213381,0.925772,-0.712391,0.139152,1.71804,1.80557,0.0059988,0.239137,34914,275744,0.551488,1,0
0,4,26,126-66-49-26,latency,16,0.2,0.226008,0.925692,-0.699684,0.1517,1.70644,1.80539,0.00775824,0.365424,90924,721280,1.44256,1,0
0,3,6,111-78-6,latency,16,0.2,0.206066,0.919599,-0.713532,0.125665,1.71813,1.79979,0.00665905,0.531848,75724,600672,1.20134,1,0
0,2,9,58-9,latency,16,0.2,0.175404,0.917842,-0.742438,0.0932468,1.74493,1.81038,0.00976778,0.285283,31121,245920,0.49184,1,0
0,6,39,124-121-104-73-50-39,latency,16,0.2,0.155277,0.905155,-0.749878,0.0604322,1.75092,1.79398,0.00697886,0.21205,146287,1160384,2.32077,1,0
0,1,30,30,latency,16,0.2,0.207735,0.923377,-0.715642,0.131112,1.72065,1.79914,0.0020532,0.19732,15646,122880,0.24576,1,0
0,2,57,88-57,latency,16,0.2,0.286299,0.936712,-0.650414,0.223011,1.66541,1.797,0.00082148,0.314782,55577,440704,0.881408,1,0
1,6,9,124-104-73-50-39-9,latency,16,0.2,0.113698,0.910156,-0.796458,0.0238536,1.79662,1.81281,0.00162824,0.285448,117411,930928,1.86186,1,0
1,3,9,105-58-9,latency,16,0.2,0.221537,0.92913,-0.707593,0.150667,1.71423,1.81801,0.012753,0.466203,67575,535872,1.07174,1,0
1,4,6,125-52-18-6,latency,16,0.2,0.195108,0.913205,-0.718098,0.108313,1.72151,1.8027,0.0180425,0.306241,79740,632704,1.26541,1,0
1,3,30,77-42-30,latency,16,0.2,0.238509,0.931693,-0.693184,0.170203,1.70172,1.80291,0.00170714,0.322942,48936,387296,0.774592,1,0
1,3,19,91-78-19,latency,16,0.2,0.251149,0.931628,-0.680478,0.182777,1.69039,1.79935,0.00208453,0.436839,64365,510016,1.02003,1,0
1,2,30,59-30,latency,16,0.2,0.265464,0.933413,-0.667949,0.198877,1.67976,1.80112,0.00581368,0.285396,34152,269984,0.539968,1,0
2,1,99,99,latency,16,0.2,0.287684,0.9354,-0.647716,0.223084,1.66275,1.79658,0.00232084,0.215309,51043,405504,0.811008,1,0
2,2,30,33-30,latency,16,0.2,0.248797,0.93108,-0.682284,0.179877,1.69187,1.79901,0.0012992,0.205859,19228,151008,0.302016,1,0
2,1,66,66,latency,16,0.2,0.271486,0.932205,-0.660719,0.203691,1.67316,1.79583,0.0034877,0.216903,34114,270336,0.540672,1,0
2,2,59,69-59,latency,16,0.2,0.27083,0.934824,-0.663994,0.205654,1.67665,1.80162,0.00323214,0.306315,43923,347760,0.69552,1,0
2,1,24,24,latency,16,0.2,0.19957,0.915482,-0.715911,0.115052,1.71976,1.80085,0.0118361,0.18823,12568,98304,0.196608,1,0
2,1,49,49,latency,16,0.2,0.256414,0.930388,-0.673974,0.186803,1.68436,1.79617,0.00269852,0.206584,25393,200704,0.401408,1,0
2,3,9,123-58-9,latency,16,0.2,0.248197,0.933113,-0.684916,0.18131,1.69464,1.80444,0.00406593,0.499183,78915,626304,1.25261,1,0
3,1,81,81,latency,16,0.2,0.275326,0.932038,-0.656712,0.207365,1.66964,1.79377,0.00313078,0.213075,41809,331776,0.663552,1,0
3,2,30,114-30,latency,16,0.2,0.270307,0.934374,-0.664067,0.204681,1.67661,1.80054,0.00285625,0.368747,65722,521664,1.04333,1,0
3,2,30,49-30,latency,16,0.2,0.246465,0.934198,-0.687733,0.180663,1.69737,1.80866,0.00446754,0.26154,28412,224224,0.448448,1,0
3,1,62,62,latency,16,0.2,0.278737,0.93204,-0.653303,0.210778,1.66669,1.79265,0.00208354,0.215427,32062,253952,0.507904,1,0
3,2,33,59-33,latency,16,0.2,0.245425,0.931983,-0.686557,0.177408,1.69586,1.80064,0.00066441,0.294397,34509,272816,0.545632,1,0
3,1,52,52,latency,16,0.2,0.250859,0.929871,-0.679012,0.18073,1.68871,1.79616,0.00111996,0.214874,26932,212992,0.425984,1,0
3,2,5,69-5,latency,16,0.2,0.199144,0.921455,-0.722311,0.120599,1.72653,1.80819,0.0146006,0.303605,36417,288144,0.576288,1,0
4,3,30,36-33-30,latency,16,0.2,0.22374,0.926151,-0.70241,0.149891,1.709,1.81265,0.0119042,0.237636,23212,182304,0.364608,1,0
4,2,19,30-19,latency,16,0.2,0.243335,0.933862,-0.690527,0.177198,1.69979,1.81002,0.00903964,0.201898,16835,132000,0.264,1,0
4,1,33,33,latency,16,0.2,0.218323,0.922198,-0.703876,0.140521,1.70966,1.79667,0.00516643,0.199563,17185,135168,0.270336,1,0
4,2,33,120-33,latency,16,0.2,0.252713,0.936203,-0.68349,0.188916,1.69406,1.80661,0.00206995,0.361752,69889,554880,1.10976,1,0
4,1,98,98,latency,16,0.2,0.279772,0.934799,-0.655028,0.214571,1.66888,1.79704,0.00231137,0.214555,50530,401408,0.802816,1,0
4,2,59,117-59,latency,16,0.2,0.272445,0.935761,-0.663316,0.208206,1.6763,1.80024,0.00241869,0.342369,74259,589680,1.17936,1,0
4,2,30,62-30,latency,16,0.2,0.266671,0.93284,-0.666169,0.19951,1.67807,1.80344,0.00608952,0.277608,35874,283712,0.567424,1,0
