born_generation,depth,latent,encoder_widths,encoding,time_steps,voltage_threshold,alpha,beta,g1,g2,d_truth,d_penalized_mean,d_penalized_std,latent_activity,param_count,inference_cost,est_latency_ms,feasible,constraint_violation
0,3,24,122-102-24,poisson,16,0.2,0.2562,0.829579,-0.573379,0.085779,1.57572,1.62596,0,0.359134,92976,737984,1.47597,1,0
0,5,19,77-76-58-20-19,direct,1,1,0.158045,0.882225,-0.72418,0.0402697,1.72465,1.74824,0,0.455753,63761,31512,0.063024,1,0
0,1,59,59,poisson,16,0.2,0.297251,0.814174,-0.516923,0.111425,1.52101,1.58628,0,0.238785,30523,241664,0.483328,1,0
0,3,19,91-77-19,latency,16,0.2,0.30653,0.822518,-0.515987,0.129048,1.52147,1.59706,0,0.252714,64143,508256,1.01651,1,0
0,1,8,8,poisson,16,0.2,0.215931,0.794414,-0.578483,0.0103453,1.57852,1.58458,0,0.109826,4360,32768,0.065536,1,0
0,5,1,121-107-28-24-1,poisson,16,0.2,0.0190409,0.789744,-0.770703,-0.191215,1.781,1.89301,0,0.310651,96047,761840,1.52368,1,0
1,4,19,76-58-20-19,direct,1,1,0.21051,0.883825,-0.673315,0.0943351,1.67597,1.73123,0,0.287908,51391,25404,0.050808,1,0
1,4,8,58-20-19-8,direct,1,1,0.0566271,0.942582,-0.885955,-0.000790468,1.88596,1.88642,0,0.208194,33538,16540,0.03308,1,0
1,5,19,127-77-76-20-19,poisson,16,0.2,0.13877,0.797918,-0.659148,-0.0633122,1.66036,1.69744,0,0.342418,100961,800688,1.60138,1,0
1,6,19,77-76-58-48-20-19,direct,1,1,1,1,0,1,1.41421,2,0,0,69025,34096,0.068192,0,1
