born_generation,depth,latent,encoder_widths,encoding,time_steps,voltage_threshold,alpha,beta,g1,g2,d_truth,d_penalized_mean,d_penalized_std,latent_activity,param_count,inference_cost,est_latency_ms,feasible,constraint_violation
0,3,24,122-102-24,poisson,16,0.2,0.2562,0.829579,-0.573379,0.085779,1.57572,1.62596,0,0.359134,92976,737984,1.47597,1,0
0,5,19,77-76-58-20-19,direct,1,1,0.158045,0.882225,-0.72418,0.0402697,1.72465,1.74824,0,0.455753,63761,31512,0.063024,1,0
0,1,59,59,poisson,16,0.2,0.297251,0.814174,-0.516923,0.111425,1.52101,1.58628,0,0.238785,30523,241664,0.483328,1,0
0,3,19,91-77-19,latency,16,0.2,0.30653,0.822518,-0.515987,0.129048,1.52147,1.59706,0,0.252714,64143,508256,1.01651,1,0
0,1,8,8,poisson,16,0.2,0.215931,0.794414,-0.578483,0.0103453,1.57852,1.58458,0,0.109826,4360,32768,0.065536,1,0
0,5,1,121-107-28-24-1,poisson,16,0.2,0.0190409,0.789744,-0.770703,-0.191215,1.781,1.89301,0,0.310651,96047,761840,1.52368,1,0
0,2,39,80-39,latency,16,0.2,0.343298,0.834705,-0.491407,0.178002,1.50199,1.60626,0,0.185026,47655,377600,0.7552,1,0
0,4,1,56-38-3-1,latency,16,0.2,0.0592898,0.776557,-0.717267,-0.164153,1.72509,1.82125,0,0.152543,33613,265296,0.530592,1,0
0,4,6,52-38-18-6,poisson,16,0.2,0.112535,0.816484,-0.703949,-0.0709816,1.70543,1.74701,0,0.199234,32638,257280,0.51456,1,0
0,3,12,59-30-12,poisson,16,0.2,0.25131,0.827778,-0.576468,0.0790875,1.57845,1.62478,0,0.177644,34914,275744,0.551488,1,0
0,4,26,126-66-49-26,latency,16,0.2,0.222781,0.819583,-0.596802,0.042364,1.59736,1.62218,0,0.175661,90924,721280,1.44256,1,0
0,3,6,111-78-6,poisson,16,0.2,0.224163,0.807631,-0.583468,0.0317944,1.58379,1.60241,0,0.380292,75724,600672,1.20134,1,0
0,2,9,58-9,direct,1,1,0.246989,0.829426,-0.582437,0.076415,1.58428,1.62904,0,0.40809,31121,15370,0.03074,1,0
0,6,39,124-121-104-73-50-39,direct,1,1,0.0946252,0.896553,-0.801928,-0.00882175,1.80195,1.80712,0,0.787179,146287,72524,0.145048,1,0
0,1,30,30,poisson,16,0.2,0.206723,0.802821,-0.596097,0.0095439,1.59613,1.60172,0,0.227958,15646,122880,0.24576,1,0
0,2,57,88-57,direct,1,1,0.310623,0.831907,-0.521284,0.142529,1.52795,1.61144,0,0.382975,55577,27544,0.055088,1,0
1,1,30,30,direct,1,1,0.258822,0.82094,-0.562119,0.0797618,1.56415,1.61088,0,0.148848,15646,7680,0.01536,1,0
1,6,12,73-59-50-39-30-12,direct,1,1,1,1,0,1,1.41421,2,0,0,59620,29425,0.05885,0,1
1,3,9,58-32-9,latency,16,0.2,0.205563,0.817501,-0.611938,0.023064,1.6121,1.62561,0,0.162891,34429,271872,0.543744,1,0
1,3,54,88-57-54,direct,1,1,0.298887,0.836691,-0.537804,0.135578,1.54377,1.62319,0,0.402113,61844,30622,0.061244,1,0
1,5,1,77-76-28-20-1,poisson,16,0.2,0,0.942857,-0.942857,-0.0571429,1.9437,1.97717,0,0.0016681,57203,452352,0.904704,1,0
1,2,57,88-57,poisson,16,0.2,0.332873,0.840865,-0.507992,0.173738,1.51797,1.61974,0,0.198956,55577,440704,0.881408,1,0
1,3,77,91-90-77,latency,16,0.2,0.317103,0.828524,-0.511421,0.145627,1.51842,1.60373,0,0.221998,77527,614656,1.22931,1,0
1,3,19,91-78-19,poisson,16,0.2,0.31264,0.816676,-0.504036,0.129317,1.50959,1.58534,0,0.302914,64365,510016,1.02003,1,0
1,2,30,59-30,poisson,16,0.2,0.293562,0.838132,-0.54457,0.131694,1.55017,1.62732,0,0.136147,34152,269984,0.539968,1,0
