reference,condition,metric,n_folds_ref,n_folds_cond,mean_ref,mean_cond,delta_mean,cohens_d,p_value,test,significant_0.05
e05_p01_dsnn_fused_early_dep_flat_raw,e05_p01_dsnn_eeg_indep_flat_raw,eer,15,15,0.45340466666666673,0.4650644,0.011659733333333255,0.08213681155668437,0.97796630859375,wilcoxon(paired),0
e05_p01_dsnn_fused_early_dep_flat_raw,e05_p01_dsnn_fused_late_dep_flat_raw,eer,15,15,0.45340466666666673,0.4730829333333333,0.019678266666666555,0.14427789744986333,0.803955078125,wilcoxon(paired),0
e05_p01_dsnn_fused_early_dep_flat_raw,e05_p01_dsnn_eeg_dep_flat_raw,eer,15,15,0.45340466666666673,0.47681493333333336,0.023410266666666624,0.19705344587982804,0.803955078125,wilcoxon(paired),0
e05_p01_dsnn_fused_early_dep_flat_raw,e05_p01_dsnn_eeg_dep_nested_raw,eer,15,15,0.45340466666666673,0.4825592666666666,0.029154599999999864,0.21477783587156687,0.43262594902013973,wilcoxon(paired),0
e05_p01_dsnn_fused_early_dep_flat_raw,e05_p01_dsnn_eeg_indep_nested_raw,eer,15,15,0.45340466666666673,0.5026931333333333,0.049288466666666586,0.3464667979524642,0.76153564453125,wilcoxon(paired),0
e05_p01_dsnn_fused_early_dep_flat_raw,e05_p01_dsnn_fused_early_indep_flat_raw,eer,15,15,0.45340466666666673,0.5039239333333333,0.05051926666666656,0.3896456065837667,0.45428466796875,wilcoxon(paired),0
e05_p01_dsnn_fused_early_dep_flat_raw,e05_p01_dsnn_fused_early_dep_nested_raw,eer,15,15,0.45340466666666673,0.5104745333333331,0.05706986666666641,0.41926043839324784,0.359130859375,wilcoxon(paired),0
e05_p01_dsnn_fused_early_dep_flat_raw,e05_p01_dsnn_fused_late_indep_flat_raw,eer,15,15,0.45340466666666673,0.5137997333333335,0.060395066666666775,0.4928219145204447,0.12054443359375,wilcoxon(paired),0
e05_p01_dsnn_fused_early_dep_flat_raw,e05_p01_dsnn_fused_early_indep_nested_raw,eer,15,15,0.45340466666666673,0.5234845333333333,0.0700798666666666,0.5114815036033779,0.30279541015625,wilcoxon(paired),0
e05_p01_dsnn_fused_early_dep_flat_raw,e05_p01_dsnn_fused_late_indep_nested_raw,eer,15,15,0.45340466666666673,0.529967,0.07656233333333323,0.7059602418811072,0.02557373046875,wilcoxon(paired),1
e05_p01_dsnn_fused_early_dep_flat_raw,e05_p01_dsnn_fused_late_dep_nested_raw,eer,15,15,0.45340466666666673,0.5614489333333333,0.10804426666666661,1.0939246202512196,0.00018310546875,wilcoxon(paired),1
e05_p01_dsnn_fused_early_dep_flat_raw,e05_p01_dsnn_voice_indep_flat_std,eer,15,15,0.45340466666666673,0.5904938666666666,0.13708919999999986,1.453008509584905,0.00152587890625,wilcoxon(paired),1
e05_p01_dsnn_fused_early_dep_flat_raw,e05_p01_dsnn_voice_dep_flat_raw,eer,15,15,0.45340466666666673,0.5935023333333334,0.14009766666666662,1.2354276497854875,0.00262451171875,wilcoxon(paired),1
e05_p01_dsnn_fused_early_dep_flat_raw,e05_p01_dsnn_voice_indep_flat_raw,eer,15,15,0.45340466666666673,0.6048561333333332,0.15145146666666648,1.423115881117932,0.00201416015625,wilcoxon(paired),1
e05_p01_dsnn_fused_early_dep_flat_raw,e05_p01_dsnn_voice_indep_nested_std,eer,15,15,0.45340466666666673,0.613369,0.15996433333333332,1.5519743826818955,0.00115966796875,wilcoxon(paired),1
e05_p01_dsnn_fused_early_dep_flat_raw,e05_p01_dsnn_voice_dep_nested_raw,eer,15,15,0.45340466666666673,0.6139498,0.16054513333333326,1.4649810325542452,0.00537109375,wilcoxon(paired),1
e05_p01_dsnn_fused_early_dep_flat_raw,e05_p01_dsnn_voice_dep_flat_std,eer,15,15,0.45340466666666673,0.6262518,0.1728471333333333,1.6375943397077455,0.0006103515625,wilcoxon(paired),1
e05_p01_dsnn_fused_early_dep_flat_raw,e05_p01_dsnn_voice_indep_nested_raw,eer,15,15,0.45340466666666673,0.6263258666666667,0.17292119999999994,1.6928115242302326,0.0006103515625,wilcoxon(paired),1
e05_p01_dsnn_fused_early_dep_flat_raw,e05_p01_dsnn_voice_dep_nested_std,eer,15,15,0.45340466666666673,0.6269591333333333,0.17355446666666657,1.801466601334164,0.00030517578125,wilcoxon(paired),1
e05_p01_dsnn_fused_early_dep_flat_raw,e05_p01_dsnn_fused_late_indep_flat_std,eer,15,15,0.45340466666666673,0.6343863333333334,0.18098166666666665,1.6089363399717123,0.00115966796875,wilcoxon(paired),1
