feature_set fold epoch train_loss val_loss epoch_ms spike_rate sops
handcrafted-lfcc 0 1 2.275316 nan 134.004 0.368 132023
handcrafted-lfcc 0 2 1.483011 nan 119.273 0.399 135397
handcrafted-lfcc 0 3 1.379460 nan 126.130 0.401 135625
handcrafted-lfcc 0 4 1.336350 nan 120.462 0.402 134386
handcrafted-lfcc 0 5 1.297011 nan 123.784 0.403 134697
handcrafted-lfcc 0 6 1.262841 nan 121.527 0.407 135483
handcrafted-lfcc 0 7 1.253861 nan 143.404 0.404 135588
handcrafted-lfcc 0 8 1.233908 nan 136.869 0.403 135001
handcrafted-lfcc 0 9 1.216413 nan 137.094 0.399 134899
handcrafted-lfcc 0 10 1.216007 nan 133.052 0.402 135054
handcrafted-lfcc 0 11 1.193346 nan 128.518 0.402 134412
handcrafted-lfcc 0 12 1.198101 nan 122.978 0.403 135196
handcrafted-lfcc 0 13 1.180026 nan 145.820 0.406 135378
handcrafted-lfcc 0 14 1.172988 nan 149.498 0.403 134565
handcrafted-lfcc 0 15 1.194881 nan 176.804 0.405 135034
handcrafted-lfcc 0 16 1.167724 nan 120.942 0.401 134734
handcrafted-lfcc 0 17 1.156459 nan 133.352 0.404 134748
handcrafted-lfcc 0 18 1.153533 nan 136.119 0.405 135803
handcrafted-lfcc 0 19 1.157824 nan 149.045 0.404 135340
handcrafted-lfcc 0 20 1.163246 nan 130.278 0.402 134943
handcrafted-lfcc 0 21 1.129575 nan 144.612 0.403 135407
handcrafted-lfcc 0 22 1.144848 nan 131.193 0.403 134463
handcrafted-lfcc 0 23 1.137611 nan 141.003 0.403 134671
handcrafted-lfcc 0 24 1.139099 nan 125.438 0.401 134051
handcrafted-lfcc 0 25 1.136563 nan 130.802 0.408 135531
handcrafted-lfcc 0 26 1.128502 nan 137.495 0.402 134437
handcrafted-lfcc 0 27 1.126902 nan 126.492 0.401 134169
handcrafted-lfcc 0 28 1.119744 nan 135.712 0.404 135339
handcrafted-lfcc 0 29 1.122259 nan 150.897 0.406 135984
handcrafted-lfcc 0 30 1.139306 nan 127.476 0.404 134954
handcrafted-lfcc 0 31 1.116922 nan 145.220 0.404 135354
handcrafted-lfcc 0 32 1.114355 nan 471.804 0.404 135198
handcrafted-lfcc 0 33 1.111015 nan 162.870 0.403 135109
handcrafted-lfcc 0 34 1.121166 nan 135.519 0.399 133883
handcrafted-lfcc 0 35 1.124125 nan 127.571 0.404 135160
handcrafted-lfcc 0 36 1.132815 nan 142.379 0.404 135187
handcrafted-lfcc 0 37 1.109565 nan 121.465 0.401 134176
handcrafted-lfcc 0 38 1.123995 nan 148.832 0.406 135388
handcrafted-lfcc 0 39 1.115065 nan 146.699 0.402 134769
handcrafted-lfcc 0 40 1.124596 nan 122.365 0.400 134105
handcrafted-lfcc 0 41 1.118153 nan 117.526 0.406 135411
handcrafted-lfcc 0 42 1.104983 nan 125.454 0.400 133671
handcrafted-lfcc 0 43 1.116035 nan 133.695 0.403 134455
handcrafted-lfcc 0 44 1.121428 nan 128.310 0.405 136004
handcrafted-lfcc 0 45 1.115859 nan 139.940 0.410 136432
handcrafted-lfcc 0 46 1.122576 nan 123.692 0.403 134328
handcrafted-lfcc 0 47 1.112957 nan 130.123 0.409 136092
handcrafted-lfcc 0 48 1.104284 nan 138.175 0.403 134575
handcrafted-lfcc 0 49 1.107036 nan 130.197 0.406 135095
handcrafted-lfcc 0 50 1.112659 nan 123.677 0.408 136066
handcrafted-lfcc 1 1 2.064263 nan 99.895 0.340 130221
handcrafted-lfcc 1 2 1.265323 nan 103.551 0.379 132196
handcrafted-lfcc 1 3 1.071841 nan 93.960 0.403 133223
handcrafted-lfcc 1 4 1.006203 nan 90.171 0.411 133470
handcrafted-lfcc 1 5 0.970174 nan 107.439 0.408 132332
handcrafted-lfcc 1 6 0.945829 nan 97.748 0.411 133617
