feature_set fold epoch train_loss val_loss epoch_ms spike_rate sops
handcrafted-lfcc 0 1 2.491272 4.298365 212.950 0.368 132275
handcrafted-lfcc 0 2 1.206984 6.570179 240.043 0.404 135138
handcrafted-lfcc 0 3 1.101927 7.453307 233.296 0.417 137726
handcrafted-lfcc 0 4 1.082347 7.727519 256.802 0.416 135270
handcrafted-lfcc 0 5 1.068128 8.025660 264.149 0.421 136153
handcrafted-lfcc 0 6 1.056125 8.146156 230.303 0.419 136615
handcrafted-lfcc 0 7 1.032838 8.277040 223.015 0.421 137971
handcrafted-lfcc 0 8 1.024391 8.274671 220.913 0.423 135072
handcrafted-lfcc 0 9 1.026118 8.584639 204.857 0.426 139471
handcrafted-lfcc 0 10 1.009161 8.571580 203.514 0.423 135042
handcrafted-lfcc 0 11 0.994370 8.755928 209.034 0.424 135142
handcrafted-lfcc 1 1 3.884853 1.925369 105.347 0.334 131962
handcrafted-lfcc 1 2 2.410109 2.422539 101.835 0.348 132992
handcrafted-lfcc 1 3 1.311218 2.950611 108.141 0.366 134144
handcrafted-lfcc 1 4 0.515254 3.939194 99.864 0.383 134898
handcrafted-lfcc 1 5 0.167522 4.838410 105.701 0.402 136078
handcrafted-lfcc 1 6 0.058521 5.689820 101.763 0.418 137386
handcrafted-lfcc 1 7 0.023090 6.388903 108.342 0.424 137325
handcrafted-lfcc 1 8 0.011991 6.844809 97.696 0.435 138560
handcrafted-lfcc 1 9 0.007397 7.202321 99.550 0.437 137931
handcrafted-lfcc 1 10 0.005438 7.482924 99.341 0.441 138705
handcrafted-lfcc 1 11 0.004137 7.686264 100.464 0.444 139335
handcrafted-lfcc 2 1 3.884853 1.925369 97.843 0.334 131962
handcrafted-lfcc 2 2 2.410109 2.422539 113.197 0.348 132992
handcrafted-lfcc 2 3 1.311218 2.950611 119.540 0.366 134144
handcrafted-lfcc 2 4 0.515254 3.939194 117.028 0.383 134898
handcrafted-lfcc 2 5 0.167522 4.838410 121.019 0.402 136078
handcrafted-lfcc 2 6 0.058521 5.689820 105.752 0.418 137386
handcrafted-lfcc 2 7 0.023090 6.388903 105.164 0.424 137325
handcrafted-lfcc 2 8 0.011991 6.844809 95.649 0.435 138560
handcrafted-lfcc 2 9 0.007397 7.202321 96.160 0.437 137931
handcrafted-lfcc 2 10 0.005438 7.482924 99.204 0.441 138705
handcrafted-lfcc 2 11 0.004137 7.686264 96.138 0.444 139335
handcrafted-lfcc 3 1 3.884853 1.925369 103.216 0.334 131962
handcrafted-lfcc 3 2 2.410109 2.422539 104.626 0.348 132992
handcrafted-lfcc 3 3 1.311218 2.950611 105.160 0.366 134144
handcrafted-lfcc 3 4 0.515254 3.939194 96.922 0.383 134898
handcrafted-lfcc 3 5 0.167522 4.838410 108.230 0.402 136078
handcrafted-lfcc 3 6 0.058521 5.689820 101.661 0.418 137386
handcrafted-lfcc 3 7 0.023090 6.388903 103.475 0.424 137325
handcrafted-lfcc 3 8 0.011991 6.844809 111.320 0.435 138560
handcrafted-lfcc 3 9 0.007397 7.202321 113.050 0.437 137931
handcrafted-lfcc 3 10 0.005438 7.482924 105.875 0.441 138705
handcrafted-lfcc 3 11 0.004137 7.686264 103.250 0.444 139335
handcrafted-lfcc 4 1 3.884853 1.925369 96.832 0.334 131962
handcrafted-lfcc 4 2 2.410109 2.422539 100.302 0.348 132992
handcrafted-lfcc 4 3 1.311218 2.950611 109.662 0.366 134144
handcrafted-lfcc 4 4 0.515254 3.939194 102.285 0.383 134898
handcrafted-lfcc 4 5 0.167522 4.838410 105.719 0.402 136078
handcrafted-lfcc 4 6 0.058521 5.689820 119.120 0.418 137386
handcrafted-lfcc 4 7 0.023090 6.388903 125.347 0.424 137325
handcrafted-lfcc 4 8 0.011991 6.844809 116.028 0.435 138560
handcrafted-lfcc 4 9 0.007397 7.202321 115.223 0.437 137931
handcrafted-lfcc 4 10 0.005438 7.482924 109.189 0.441 138705
handcrafted-lfcc 4 11 0.004137 7.686264 96.349 0.444 139335
