feature_set fold epoch train_loss val_loss epoch_ms spike_rate sops
handcrafted-lfcc 0 1 1.609359 4.388625 190.225 0.240 82380
handcrafted-lfcc 0 2 0.543751 6.383653 149.416 0.232 73999
handcrafted-lfcc 0 3 0.306195 7.862208 153.781 0.270 81833
handcrafted-lfcc 0 4 0.210435 8.476869 155.455 0.290 87979
handcrafted-lfcc 0 5 0.162733 8.883933 152.512 0.292 85892
handcrafted-lfcc 0 6 0.131300 9.253937 151.799 0.312 91345
handcrafted-lfcc 0 7 0.109066 9.545608 138.287 0.319 91923
handcrafted-lfcc 0 8 0.092071 9.873526 137.083 0.339 99003
handcrafted-lfcc 0 9 0.075482 10.075836 131.496 0.335 96202
handcrafted-lfcc 0 10 0.065775 10.329037 127.405 0.337 95899
handcrafted-lfcc 0 11 0.057196 10.577760 127.097 0.300 84128
handcrafted-lfcc 1 1 1.550130 4.283048 117.977 0.231 82070
handcrafted-lfcc 1 2 0.764389 5.788755 145.857 0.239 78894
handcrafted-lfcc 1 3 0.522793 6.956294 144.687 0.275 86986
handcrafted-lfcc 1 4 0.412743 7.693883 147.742 0.294 90818
handcrafted-lfcc 1 5 0.346236 8.238283 148.421 0.298 91979
handcrafted-lfcc 1 6 0.295994 8.755109 150.399 0.280 83875
handcrafted-lfcc 1 7 0.251575 9.221847 138.379 0.335 99782
handcrafted-lfcc 1 8 0.222803 9.466710 137.514 0.326 97262
handcrafted-lfcc 1 9 0.196835 9.768756 134.432 0.352 104956
handcrafted-lfcc 1 10 0.170050 9.944533 129.393 0.361 106143
handcrafted-lfcc 1 11 0.150881 10.162024 115.577 0.354 104304
handcrafted-lfcc 2 1 1.629308 4.422123 134.566 0.209 71391
handcrafted-lfcc 2 2 0.648398 6.174877 139.918 0.250 80498
handcrafted-lfcc 2 3 0.388749 7.604926 138.288 0.269 82399
handcrafted-lfcc 2 4 0.288461 8.328493 145.212 0.291 87979
handcrafted-lfcc 2 5 0.231928 8.625553 154.768 0.288 84336
handcrafted-lfcc 2 6 0.193590 8.887691 147.777 0.323 95042
handcrafted-lfcc 2 7 0.164697 9.164340 164.052 0.308 87040
handcrafted-lfcc 2 8 0.137966 9.452139 155.652 0.314 87924
handcrafted-lfcc 2 9 0.120239 9.685896 146.514 0.330 93541
handcrafted-lfcc 2 10 0.099564 9.881960 145.542 0.324 91464
handcrafted-lfcc 2 11 0.086268 10.074047 137.207 0.327 91001
handcrafted-lfcc 3 1 1.589300 4.999677 208.808 0.197 67742
handcrafted-lfcc 3 2 0.578581 7.331839 216.421 0.243 77147
handcrafted-lfcc 3 3 0.354091 8.651655 214.881 0.246 74268
handcrafted-lfcc 3 4 0.269794 9.115767 210.145 0.283 83794
handcrafted-lfcc 3 5 0.227613 9.372078 138.981 0.283 82246
handcrafted-lfcc 3 6 0.192235 9.673867 138.212 0.312 90047
handcrafted-lfcc 3 7 0.163241 9.733452 133.756 0.303 85257
handcrafted-lfcc 3 8 0.137745 9.910893 139.960 0.314 87921
handcrafted-lfcc 3 9 0.123610 10.092481 123.314 0.333 94017
handcrafted-lfcc 3 10 0.108353 10.186023 113.814 0.327 91582
handcrafted-lfcc 3 11 0.094304 10.323952 105.735 0.321 89049
handcrafted-lfcc 4 1 1.429300 2.881552 77.170 0.192 70736
handcrafted-lfcc 4 2 0.557966 3.259043 67.258 0.206 72734
handcrafted-lfcc 4 3 0.207157 3.736637 71.261 0.264 89365
handcrafted-lfcc 4 4 0.085047 4.193949 64.189 0.264 87399
handcrafted-lfcc 4 5 0.044834 4.613921 65.619 0.292 93981
handcrafted-lfcc 4 6 0.025621 4.973370 69.024 0.296 93221
handcrafted-lfcc 4 7 0.016038 5.245487 63.932 0.316 97960
handcrafted-lfcc 4 8 0.010940 5.466598 67.559 0.337 103687
handcrafted-lfcc 4 9 0.008190 5.628088 67.124 0.312 94883
handcrafted-lfcc 4 10 0.006219 5.768867 71.041 0.339 103350
handcrafted-lfcc 4 11 0.004738 5.874449 68.600 0.310 93483
