feature_set fold epoch train_loss val_loss epoch_ms spike_rate sops
handcrafted-lfcc 0 1 3.428588 nan 61.234 0.370 155650
handcrafted-lfcc 0 2 2.291070 nan 68.429 0.379 157953
handcrafted-lfcc 0 3 1.684163 nan 64.514 0.376 155973
handcrafted-lfcc 0 4 1.189208 nan 65.727 0.397 158197
handcrafted-lfcc 0 5 1.209728 nan 84.618 0.406 158707
handcrafted-lfcc 0 6 1.113704 nan 76.233 0.406 158707
handcrafted-lfcc 0 7 1.135377 nan 68.035 0.405 158662
handcrafted-lfcc 0 8 1.120257 nan 64.774 0.410 158977
handcrafted-lfcc 0 9 1.147610 nan 67.343 0.406 158752
handcrafted-lfcc 0 10 1.153222 nan 62.828 0.410 158962
handcrafted-lfcc 0 11 1.107540 nan 69.957 0.411 159022
handcrafted-lfcc 0 12 1.111783 nan 68.537 0.413 159142
handcrafted-lfcc 0 13 1.101931 nan 67.885 0.410 158962
handcrafted-lfcc 0 14 1.100676 nan 62.912 0.412 159127
handcrafted-lfcc 0 15 1.094575 nan 75.306 0.414 159247
handcrafted-lfcc 0 16 1.088597 nan 70.405 0.414 159247
handcrafted-lfcc 0 17 1.090798 nan 70.482 0.413 159142
handcrafted-lfcc 0 18 1.100155 nan 63.722 0.409 157998
handcrafted-lfcc 0 19 1.089367 nan 69.849 0.413 159172
handcrafted-lfcc 0 20 1.086467 nan 65.706 0.410 158058
handcrafted-lfcc 0 21 1.087548 nan 65.774 0.413 159157
handcrafted-lfcc 0 22 1.095569 nan 67.097 0.412 159082
handcrafted-lfcc 0 23 1.101006 nan 73.350 0.413 159157
handcrafted-lfcc 0 24 1.095411 nan 66.673 0.412 159112
handcrafted-lfcc 0 25 1.092281 nan 67.934 0.405 156884
handcrafted-lfcc 0 26 1.114892 nan 66.618 0.410 158962
handcrafted-lfcc 0 27 1.092277 nan 69.374 0.409 157998
handcrafted-lfcc 0 28 1.083189 nan 72.891 0.409 158028
handcrafted-lfcc 0 29 1.130230 nan 92.971 0.412 159127
handcrafted-lfcc 0 30 1.089971 nan 65.483 0.414 159232
handcrafted-lfcc 0 31 1.095062 nan 74.753 0.416 159337
handcrafted-lfcc 0 32 1.109082 nan 155.499 0.414 159247
handcrafted-lfcc 0 33 1.096544 nan 95.403 0.414 159217
handcrafted-lfcc 0 34 1.080698 nan 87.571 0.412 158208
handcrafted-lfcc 0 35 1.107142 nan 107.687 0.417 159427
handcrafted-lfcc 0 36 1.081589 nan 115.480 0.411 158155
handcrafted-lfcc 0 37 1.091566 nan 111.011 0.412 159097
handcrafted-lfcc 0 38 1.093482 nan 113.305 0.415 159307
handcrafted-lfcc 0 39 1.082668 nan 69.660 0.415 159307
handcrafted-lfcc 0 40 1.083692 nan 64.569 0.412 159127
handcrafted-lfcc 0 41 1.114446 nan 71.644 0.413 159172
handcrafted-lfcc 0 42 1.082074 nan 67.105 0.417 159427
handcrafted-lfcc 0 43 1.098584 nan 81.761 0.413 159187
handcrafted-lfcc 0 44 1.109419 nan 68.754 0.415 159307
handcrafted-lfcc 0 45 1.080606 nan 87.212 0.416 159352
handcrafted-lfcc 0 46 1.089194 nan 63.448 0.416 159352
handcrafted-lfcc 0 47 1.079998 nan 73.147 0.412 158178
handcrafted-lfcc 0 48 1.076080 nan 65.424 0.417 159382
handcrafted-lfcc 0 49 1.089464 nan 61.897 0.415 159307
handcrafted-lfcc 0 50 1.098231 nan 62.795 0.416 159367
handcrafted-lfcc 1 1 3.175181 nan 61.254 0.410 160166
handcrafted-lfcc 1 2 2.000480 nan 59.135 0.415 160388
