feature_set fold epoch train_loss val_loss epoch_ms spike_rate sops
handcrafted-lfcc 0 1 2.644287 nan 129.254 0.154 53618
handcrafted-lfcc 0 2 1.363922 nan 185.901 0.231 87463
handcrafted-lfcc 0 3 0.712381 nan 116.742 0.214 68129
handcrafted-lfcc 0 4 0.463689 nan 111.996 0.260 87270
handcrafted-lfcc 0 5 0.376973 nan 128.999 0.242 77086
handcrafted-lfcc 0 6 0.308027 nan 119.089 0.224 73901
handcrafted-lfcc 0 7 0.266758 nan 126.854 0.196 64454
handcrafted-lfcc 0 8 0.235229 nan 126.285 0.281 89366
handcrafted-lfcc 0 9 0.213738 nan 131.405 0.282 86778
handcrafted-lfcc 0 10 0.186891 nan 114.169 0.304 92746
handcrafted-lfcc 0 11 0.163496 nan 135.681 0.312 94217
handcrafted-lfcc 0 12 0.143340 nan 172.659 0.327 101072
handcrafted-lfcc 0 13 0.129177 nan 144.278 0.244 71534
handcrafted-lfcc 0 14 0.114510 nan 198.358 0.301 89515
handcrafted-lfcc 0 15 0.104488 nan 227.765 0.311 92857
handcrafted-lfcc 0 16 0.095099 nan 186.989 0.324 93807
handcrafted-lfcc 0 17 0.085358 nan 240.044 0.255 75218
handcrafted-lfcc 0 18 0.092874 nan 188.942 0.344 100374
handcrafted-lfcc 0 19 0.085091 nan 213.062 0.323 91686
handcrafted-lfcc 0 20 0.064321 nan 160.585 0.276 80648
handcrafted-lfcc 0 21 0.068118 nan 176.492 0.279 81611
handcrafted-lfcc 0 22 0.057065 nan 259.320 0.324 90748
handcrafted-lfcc 0 23 0.049927 nan 268.376 0.308 88165
handcrafted-lfcc 0 24 0.048897 nan 149.174 0.371 111237
handcrafted-lfcc 0 25 0.044128 nan 150.594 0.326 93829
handcrafted-lfcc 0 26 0.037402 nan 122.187 0.273 80890
handcrafted-lfcc 0 27 0.033445 nan 121.038 0.357 100472
handcrafted-lfcc 0 28 0.032366 nan 126.578 0.332 92486
handcrafted-lfcc 0 29 0.030276 nan 140.344 0.309 89253
handcrafted-lfcc 0 30 0.027824 nan 115.671 0.349 102151
handcrafted-lfcc 0 31 0.026283 nan 105.729 0.373 106653
handcrafted-lfcc 0 32 0.025167 nan 129.482 0.359 101447
handcrafted-lfcc 0 33 0.022939 nan 118.948 0.279 75976
handcrafted-lfcc 0 34 0.020570 nan 126.573 0.327 89595
handcrafted-lfcc 0 35 0.019593 nan 113.163 0.302 83488
handcrafted-lfcc 0 36 0.017931 nan 120.126 0.332 92358
handcrafted-lfcc 0 37 0.016610 nan 132.679 0.352 99811
handcrafted-lfcc 0 38 0.016000 nan 134.404 0.308 83197
handcrafted-lfcc 0 39 0.014969 nan 116.516 0.403 113865
handcrafted-lfcc 0 40 0.014409 nan 114.892 0.353 99950
handcrafted-lfcc 0 41 0.013732 nan 133.994 0.343 94547
handcrafted-lfcc 0 42 0.013133 nan 137.673 0.411 116225
handcrafted-lfcc 0 43 0.012954 nan 192.138 0.332 97579
