feature_set fold epoch train_loss val_loss epoch_ms spike_rate sops
handcrafted-lfcc 0 1 2.126963 3.793961 119.538 0.395 158047
handcrafted-lfcc 0 2 0.430649 5.248343 104.862 0.411 159027
handcrafted-lfcc 0 3 0.068770 6.958876 108.897 0.433 160831
handcrafted-lfcc 0 4 0.014031 7.965882 111.392 0.449 161958
handcrafted-lfcc 0 5 0.005532 8.736476 107.554 0.458 161354
handcrafted-lfcc 0 6 0.002717 9.321463 111.849 0.470 162948
handcrafted-lfcc 0 7 0.001542 9.643515 114.932 0.475 163273
handcrafted-lfcc 0 8 0.001173 9.837926 105.425 0.474 162309
handcrafted-lfcc 0 9 0.001000 10.015944 110.951 0.476 162453
handcrafted-lfcc 0 10 0.000811 10.185334 114.451 0.478 163177
handcrafted-lfcc 0 11 0.000714 10.268317 117.357 0.479 163056
handcrafted-lfcc 1 1 1.563958 4.380546 102.745 0.401 158254
handcrafted-lfcc 1 2 0.328948 5.948023 99.418 0.414 158614
handcrafted-lfcc 1 3 0.056263 7.253314 103.010 0.432 159945
handcrafted-lfcc 1 4 0.016499 8.411682 100.184 0.447 160815
handcrafted-lfcc 1 5 0.005983 9.120053 101.169 0.458 161517
handcrafted-lfcc 1 6 0.003042 9.688941 101.142 0.463 161807
handcrafted-lfcc 1 7 0.001809 10.058045 122.310 0.472 162531
handcrafted-lfcc 1 8 0.001221 10.283211 97.444 0.473 162250
handcrafted-lfcc 1 9 0.000938 10.533635 101.087 0.476 162738
handcrafted-lfcc 1 10 0.000724 10.835230 97.165 0.479 162884
handcrafted-lfcc 1 11 0.000570 10.973466 101.363 0.480 162643
handcrafted-lfcc 2 1 1.563958 3.131290 145.391 0.401 158254
handcrafted-lfcc 2 2 0.328948 4.425176 152.244 0.414 158614
handcrafted-lfcc 2 3 0.056263 5.822551 140.414 0.432 159945
handcrafted-lfcc 2 4 0.016499 6.625973 150.076 0.447 160815
handcrafted-lfcc 2 5 0.005983 7.499864 140.906 0.458 161517
handcrafted-lfcc 2 6 0.003042 8.079243 110.868 0.463 161807
handcrafted-lfcc 2 7 0.001809 8.551886 111.141 0.472 162531
handcrafted-lfcc 2 8 0.001221 8.866493 113.582 0.473 162250
handcrafted-lfcc 2 9 0.000938 9.175390 108.612 0.476 162738
handcrafted-lfcc 2 10 0.000724 9.436387 110.587 0.479 162884
handcrafted-lfcc 2 11 0.000570 9.593255 103.169 0.480 162643
handcrafted-lfcc 3 1 1.563958 3.131290 100.343 0.401 158254
handcrafted-lfcc 3 2 0.328948 4.425176 99.914 0.414 158614
handcrafted-lfcc 3 3 0.056263 5.822551 108.434 0.432 159945
handcrafted-lfcc 3 4 0.016499 6.625973 109.515 0.447 160815
handcrafted-lfcc 3 5 0.005983 7.499864 117.685 0.458 161517
handcrafted-lfcc 3 6 0.003042 8.079243 105.635 0.463 161807
handcrafted-lfcc 3 7 0.001809 8.551886 104.404 0.472 162531
handcrafted-lfcc 3 8 0.001221 8.866493 99.298 0.473 162250
handcrafted-lfcc 3 9 0.000938 9.175390 102.413 0.476 162738
handcrafted-lfcc 3 10 0.000724 9.436387 100.590 0.479 162884
handcrafted-lfcc 3 11 0.000570 9.593255 103.997 0.480 162643
handcrafted-lfcc 4 1 1.563958 3.131290 139.562 0.401 158254
handcrafted-lfcc 4 2 0.328948 4.425176 124.029 0.414 158614
handcrafted-lfcc 4 3 0.056263 5.822551 107.904 0.432 159945
handcrafted-lfcc 4 4 0.016499 6.625973 103.671 0.447 160815
handcrafted-lfcc 4 5 0.005983 7.499864 96.179 0.458 161517
handcrafted-lfcc 4 6 0.003042 8.079243 97.549 0.463 161807
handcrafted-lfcc 4 7 0.001809 8.551886 99.109 0.472 162531
handcrafted-lfcc 4 8 0.001221 8.866493 99.593 0.473 162250
handcrafted-lfcc 4 9 0.000938 9.175390 98.371 0.476 162738
handcrafted-lfcc 4 10 0.000724 9.436387 94.716 0.479 162884
handcrafted-lfcc 4 11 0.000570 9.593255 98.635 0.480 162643
