feature_set fold epoch train_loss val_loss epoch_ms spike_rate sops
handcrafted-lfcc 0 1 1.852869 3.305259 289.609 0.224 83031
handcrafted-lfcc 0 2 0.613304 4.752205 279.290 0.245 83656
handcrafted-lfcc 0 3 0.394887 5.540348 286.945 0.262 86214
handcrafted-lfcc 0 4 0.311346 5.959676 300.731 0.263 87339
handcrafted-lfcc 0 5 0.258881 6.319598 280.070 0.273 88535
handcrafted-lfcc 0 6 0.215828 6.635580 271.299 0.296 93062
handcrafted-lfcc 0 7 0.182002 6.936454 271.713 0.289 89884
handcrafted-lfcc 0 8 0.155571 7.275794 278.080 0.311 98371
handcrafted-lfcc 0 9 0.135929 7.576097 283.549 0.310 95072
handcrafted-lfcc 0 10 0.115183 7.727428 291.912 0.314 96397
handcrafted-lfcc 0 11 0.097220 7.980304 256.238 0.304 91911
handcrafted-lfcc 1 1 1.622453 4.941649 293.988 0.187 68319
handcrafted-lfcc 1 2 0.736411 6.795085 306.578 0.256 85403
handcrafted-lfcc 1 3 0.530370 7.712465 297.493 0.253 79575
handcrafted-lfcc 1 4 0.425440 8.176154 297.909 0.285 91126
handcrafted-lfcc 1 5 0.352269 8.504211 307.357 0.292 91071
handcrafted-lfcc 1 6 0.297461 8.778761 305.004 0.291 89178
handcrafted-lfcc 1 7 0.266126 9.044220 325.743 0.286 87847
handcrafted-lfcc 1 8 0.233402 9.176682 299.338 0.296 88730
handcrafted-lfcc 1 9 0.205022 9.482430 307.420 0.310 92486
handcrafted-lfcc 1 10 0.172045 9.646004 300.771 0.314 93177
handcrafted-lfcc 1 11 0.154046 9.741661 280.898 0.322 97022
handcrafted-lfcc 2 1 1.747487 4.774359 252.097 0.217 78812
handcrafted-lfcc 2 2 0.582592 6.703060 277.226 0.258 86295
handcrafted-lfcc 2 3 0.337612 7.827211 348.149 0.265 83807
handcrafted-lfcc 2 4 0.239165 8.366388 341.013 0.273 85921
handcrafted-lfcc 2 5 0.197820 8.759002 276.400 0.312 97927
handcrafted-lfcc 2 6 0.165421 9.022787 277.288 0.318 94787
handcrafted-lfcc 2 7 0.143799 9.250738 291.526 0.282 83186
handcrafted-lfcc 2 8 0.123396 9.434314 284.327 0.323 98697
handcrafted-lfcc 2 9 0.108680 9.553102 276.470 0.335 99916
handcrafted-lfcc 2 10 0.098273 9.727562 290.492 0.335 100326
handcrafted-lfcc 2 11 0.084307 9.789380 262.428 0.296 87137
handcrafted-lfcc 3 1 1.874459 5.257742 332.578 0.199 74635
handcrafted-lfcc 3 2 0.616848 7.877659 293.915 0.245 81486
handcrafted-lfcc 3 3 0.333313 8.731394 304.806 0.270 85421
handcrafted-lfcc 3 4 0.249821 9.077106 309.681 0.267 80942
handcrafted-lfcc 3 5 0.199770 9.394494 348.861 0.291 87604
handcrafted-lfcc 3 6 0.162185 9.510092 350.294 0.306 92868
handcrafted-lfcc 3 7 0.138073 9.678711 304.894 0.301 90987
handcrafted-lfcc 3 8 0.117905 9.944817 309.400 0.297 88233
handcrafted-lfcc 3 9 0.100810 10.016666 275.681 0.295 86936
handcrafted-lfcc 3 10 0.084928 10.162821 271.767 0.299 87862
handcrafted-lfcc 3 11 0.072388 10.370379 266.163 0.319 92131
handcrafted-lfcc 4 1 1.760238 5.395976 401.926 0.193 68717
handcrafted-lfcc 4 2 0.704738 8.092017 418.616 0.242 80499
handcrafted-lfcc 4 3 0.457437 9.523424 423.730 0.259 81733
handcrafted-lfcc 4 4 0.345705 10.165133 412.716 0.261 81382
handcrafted-lfcc 4 5 0.278924 10.609107 407.111 0.262 79553
handcrafted-lfcc 4 6 0.234625 10.864880 410.692 0.278 84561
handcrafted-lfcc 4 7 0.195127 11.199016 425.570 0.290 85390
handcrafted-lfcc 4 8 0.163077 11.408209 294.047 0.265 76647
handcrafted-lfcc 4 9 0.137551 11.623149 247.620 0.310 90678
handcrafted-lfcc 4 10 0.120116 11.847166 256.450 0.278 79087
handcrafted-lfcc 4 11 0.103704 12.019197 254.945 0.291 83145
