feature_set fold epoch train_loss val_loss epoch_ms spike_rate sops
handcrafted-lfcc-fused-early 0 1 2.987883 nan 110.329 0.377 157658
handcrafted-lfcc-fused-early 0 2 1.577828 nan 103.295 0.391 158733
handcrafted-lfcc-fused-early 0 3 1.251879 nan 113.017 0.421 160905
handcrafted-lfcc-fused-early 0 4 1.148806 nan 102.665 0.423 160119
handcrafted-lfcc-fused-early 0 5 1.105653 nan 103.465 0.428 160968
handcrafted-lfcc-fused-early 0 6 1.111246 nan 105.978 0.430 161141
handcrafted-lfcc-fused-early 0 7 1.091836 nan 106.686 0.430 161126
handcrafted-lfcc-fused-early 0 8 1.084155 nan 110.449 0.431 161083
handcrafted-lfcc-fused-early 0 9 1.060692 nan 103.120 0.433 160980
handcrafted-lfcc-fused-early 0 10 1.060912 nan 115.823 0.434 161355
handcrafted-lfcc-fused-early 0 11 1.061829 nan 125.149 0.432 160913
handcrafted-lfcc-fused-early 0 12 1.060834 nan 121.546 0.433 161278
handcrafted-lfcc-fused-early 0 13 1.056437 nan 120.350 0.432 161018
handcrafted-lfcc-fused-early 0 14 1.051152 nan 195.620 0.433 160932
handcrafted-lfcc-fused-early 0 15 1.046276 nan 117.937 0.435 161644
handcrafted-lfcc-fused-early 0 16 1.052770 nan 121.397 0.433 161306
handcrafted-lfcc-fused-early 0 17 1.045197 nan 137.873 0.433 160953
handcrafted-lfcc-fused-early 0 18 1.038341 nan 855.596 0.432 160928
handcrafted-lfcc-fused-early 0 19 1.036415 nan 275.187 0.434 161269
handcrafted-lfcc-fused-early 0 20 1.034276 nan 323.049 0.434 161264
handcrafted-lfcc-fused-early 0 21 1.036484 nan 167.908 0.438 161698
handcrafted-lfcc-fused-early 0 22 1.040320 nan 103.619 0.435 160399
handcrafted-lfcc-fused-early 0 23 1.045813 nan 97.498 0.435 160854
handcrafted-lfcc-fused-early 0 24 1.043918 nan 100.778 0.436 161235
handcrafted-lfcc-fused-early 0 25 1.032113 nan 102.966 0.438 161496
handcrafted-lfcc-fused-early 0 26 1.037817 nan 124.077 0.437 161449
handcrafted-lfcc-fused-early 0 27 1.028338 nan 139.212 0.437 161177
handcrafted-lfcc-fused-early 0 28 1.031801 nan 142.391 0.437 161333
handcrafted-lfcc-fused-early 0 29 1.032347 nan 121.205 0.438 161499
handcrafted-lfcc-fused-early 0 30 1.037600 nan 118.373 0.438 161167
handcrafted-lfcc-fused-early 0 31 1.029480 nan 171.507 0.439 161462
handcrafted-lfcc-fused-early 0 32 1.033219 nan 302.655 0.439 161772
handcrafted-lfcc-fused-early 0 33 1.037405 nan 124.501 0.440 161735
handcrafted-lfcc-fused-early 0 34 1.021792 nan 113.395 0.440 161492
handcrafted-lfcc-fused-early 0 35 1.023741 nan 105.716 0.440 161937
handcrafted-lfcc-fused-early 0 36 1.023716 nan 105.796 0.438 161378
handcrafted-lfcc-fused-early 0 37 1.027906 nan 96.231 0.438 161146
handcrafted-lfcc-fused-early 0 38 1.047932 nan 121.154 0.436 160936
handcrafted-lfcc-fused-early 0 39 1.035422 nan 104.537 0.441 161793
handcrafted-lfcc-fused-early 0 40 1.028792 nan 136.267 0.441 162045
handcrafted-lfcc-fused-early 0 41 1.024929 nan 160.533 0.439 161455
handcrafted-lfcc-fused-early 0 42 1.035031 nan 127.176 0.439 161583
handcrafted-lfcc-fused-early 0 43 1.031561 nan 98.061 0.439 161227
handcrafted-lfcc-fused-early 0 44 1.025426 nan 101.145 0.441 162377
handcrafted-lfcc-fused-early 0 45 1.029966 nan 160.879 0.440 161501
handcrafted-lfcc-fused-early 0 46 1.027099 nan 131.264 0.440 161526
handcrafted-lfcc-fused-early 0 47 1.032378 nan 176.674 0.439 161108
handcrafted-lfcc-fused-early 0 48 1.028502 nan 200.480 0.439 161574
handcrafted-lfcc-fused-early 0 49 1.023788 nan 147.513 0.440 161637
handcrafted-lfcc-fused-early 0 50 1.032898 nan 111.576 0.439 161104
handcrafted-lfcc-fused-early 1 1 2.638458 nan 95.030 0.411 158972
handcrafted-lfcc-fused-early 1 2 1.450841 nan 185.638 0.417 159157
handcrafted-lfcc-fused-early 1 3 1.201833 nan 172.218 0.435 160208
handcrafted-lfcc-fused-early 1 4 1.131362 nan 127.866 0.439 160792
handcrafted-lfcc-fused-early 1 5 1.115949 nan 108.333 0.444 160769
handcrafted-lfcc-fused-early 1 6 1.124575 nan 118.485 0.448 161224
handcrafted-lfcc-fused-early 1 7 1.118560 nan 107.043 0.450 161352
handcrafted-lfcc-fused-early 1 8 1.119978 nan 138.763 0.449 161299
handcrafted-lfcc-fused-early 1 9 1.102034 nan 92.426 0.449 161206
handcrafted-lfcc-fused-early 1 10 1.103558 nan 102.801 0.447 161040
