feature_set fold epoch train_loss val_loss epoch_ms spike_rate sops
handcrafted-lfcc-fused-early 0 1 1.968940 nan 115.430 0.200 73964
handcrafted-lfcc-fused-early 0 2 0.824897 nan 112.956 0.230 78097
handcrafted-lfcc-fused-early 0 3 0.459115 nan 121.827 0.257 83651
handcrafted-lfcc-fused-early 0 4 0.316926 nan 118.112 0.268 83901
handcrafted-lfcc-fused-early 0 5 0.230569 nan 111.110 0.276 84803
handcrafted-lfcc-fused-early 0 6 0.175983 nan 114.951 0.278 84968
handcrafted-lfcc-fused-early 0 7 0.137481 nan 118.626 0.288 87534
handcrafted-lfcc-fused-early 0 8 0.110087 nan 118.530 0.299 88925
handcrafted-lfcc-fused-early 0 9 0.086768 nan 114.008 0.289 84220
handcrafted-lfcc-fused-early 0 10 0.070480 nan 140.236 0.293 85841
handcrafted-lfcc-fused-early 0 11 0.057647 nan 162.214 0.291 83467
handcrafted-lfcc-fused-early 0 12 0.046498 nan 313.619 0.304 88133
handcrafted-lfcc-fused-early 0 13 0.038364 nan 196.103 0.299 86167
handcrafted-lfcc-fused-early 0 14 0.033627 nan 127.487 0.317 90507
handcrafted-lfcc-fused-early 0 15 0.028529 nan 113.551 0.329 94559
handcrafted-lfcc-fused-early 0 16 0.024947 nan 140.122 0.324 92220
handcrafted-lfcc-fused-early 0 17 0.021415 nan 119.067 0.331 94259
handcrafted-lfcc-fused-early 0 18 0.018506 nan 110.401 0.327 93336
handcrafted-lfcc-fused-early 0 19 0.015857 nan 115.432 0.318 90545
handcrafted-lfcc-fused-early 0 20 0.014607 nan 193.305 0.323 89365
handcrafted-lfcc-fused-early 0 21 0.013267 nan 170.943 0.337 96085
handcrafted-lfcc-fused-early 0 22 0.011634 nan 115.183 0.337 94924
handcrafted-lfcc-fused-early 0 23 0.010460 nan 112.373 0.349 98685
handcrafted-lfcc-fused-early 0 24 0.009504 nan 130.974 0.312 86188
handcrafted-lfcc-fused-early 0 25 0.008673 nan 129.498 0.329 92012
handcrafted-lfcc-fused-early 0 26 0.007921 nan 112.172 0.338 94250
handcrafted-lfcc-fused-early 0 27 0.007408 nan 114.061 0.342 96134
handcrafted-lfcc-fused-early 0 28 0.006888 nan 112.395 0.319 88435
handcrafted-lfcc-fused-early 0 29 0.006368 nan 111.787 0.328 91054
handcrafted-lfcc-fused-early 0 30 0.005832 nan 115.920 0.345 96989
handcrafted-lfcc-fused-early 0 31 0.005473 nan 110.744 0.330 90518
handcrafted-lfcc-fused-early 0 32 0.005112 nan 110.366 0.326 90236
handcrafted-lfcc-fused-early 0 33 0.004826 nan 121.644 0.329 89985
handcrafted-lfcc-fused-early 0 34 0.004640 nan 132.510 0.328 90485
handcrafted-lfcc-fused-early 0 35 0.004344 nan 123.702 0.339 93744
handcrafted-lfcc-fused-early 0 36 0.004088 nan 113.369 0.339 91344
handcrafted-lfcc-fused-early 0 37 0.003835 nan 115.163 0.328 89734
handcrafted-lfcc-fused-early 0 38 0.003598 nan 116.918 0.356 98032
handcrafted-lfcc-fused-early 0 39 0.003445 nan 110.321 0.336 92643
handcrafted-lfcc-fused-early 0 40 0.003258 nan 118.042 0.344 93685
handcrafted-lfcc-fused-early 0 41 0.003139 nan 134.034 0.328 88125
handcrafted-lfcc-fused-early 0 42 0.002963 nan 108.573 0.340 91951
handcrafted-lfcc-fused-early 0 43 0.002844 nan 109.797 0.342 94273
handcrafted-lfcc-fused-early 0 44 0.002700 nan 111.483 0.353 97830
handcrafted-lfcc-fused-early 0 45 0.002567 nan 108.319 0.340 92085
handcrafted-lfcc-fused-early 0 46 0.002426 nan 112.069 0.347 93871
handcrafted-lfcc-fused-early 0 47 0.002328 nan 114.356 0.345 94451
handcrafted-lfcc-fused-early 0 48 0.002220 nan 111.171 0.359 98160
